Market,Selection,Odds,matchup,timestamp
Money Line – Game,Syntainics MBC,1.555,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Money Line – Game,Pharmaserv Marburg,2.320,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -1.5,1.613,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +1.5,2.180,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -2.0,1.653,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +2.0,2.110,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -2.5,1.699,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +2.5,2.040,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -3.0,1.763,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +3.0,1.970,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -3.5,1.840,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +3.5,1.892,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -4.0,1.925,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +4.0,1.819,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -4.5,2.010,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +4.5,1.740,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -5.0,2.090,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +5.0,1.675,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -5.5,2.170,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +5.5,1.617,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -6.0,2.260,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +6.0,1.571,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Syntainics MBC -6.5,2.340,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Handicap – Game,Pharmaserv Marburg +6.5,1.529,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 144.5,1.649,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 144.5,2.150,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 145,1.684,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 145,2.100,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 145.5,1.724,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 145.5,2.040,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 146,1.763,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 146,1.990,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 146.5,1.813,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 146.5,1.925,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 147,1.869,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 147,1.869,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 147.5,1.925,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 147.5,1.819,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 148,1.980,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 148,1.769,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 148.5,2.030,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 148.5,1.729,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 149,2.090,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 149,1.689,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Over 149.5,2.140,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
Total – Game,Under 149.5,1.653,Syntainics MBC vs Pharmaserv Marburg,2026-04-13 14:10:13
