Market,Selection,Odds,matchup,timestamp
Money Line – Game,EPG Baskets Koblenz,4.28,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:35:41
Money Line – Game,Crailsheim Merlins,1.163,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:35:41
Handicap – Game,EPG Baskets Koblenz +9.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:35:41
Handicap – Game,Crailsheim Merlins -9.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:35:41
Total – Game,Over 171,1.9,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:35:41
Total – Game,Under 171,1.84,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:35:41
Total – Game,Under 171,1.84,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:44:14
Handicap – Game,Crailsheim Merlins -9.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:44:14
Total – Game,Over 171,1.9,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:44:14
Money Line – Game,Crailsheim Merlins,1.163,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:44:14
Money Line – Game,EPG Baskets Koblenz,4.28,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:44:14
Handicap – Game,EPG Baskets Koblenz +9.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:44:14
Money Line – Game,EPG Baskets Koblenz,4.28,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:48:54
Money Line – Game,Crailsheim Merlins,1.163,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:48:54
Handicap – Game,EPG Baskets Koblenz +9.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:48:54
Handicap – Game,Crailsheim Merlins -9.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:48:54
Total – Game,Over 171,1.9,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:48:54
Total – Game,Under 171,1.84,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:48:54
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:57:17
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:57:17
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:57:17
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:57:17
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:57:17
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 22:57:17
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:04:28
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:04:28
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:04:28
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:04:28
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:04:28
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:04:28
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:22:58
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:22:58
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:22:58
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:22:58
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:22:58
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:22:58
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:30:24
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:30:24
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:30:24
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:30:24
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:30:24
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:30:24
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:42:01
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:42:01
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:42:01
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:42:01
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:42:01
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:42:01
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:47:42
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:47:42
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:47:42
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:47:42
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:47:42
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:47:42
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:55:10
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:55:10
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:55:10
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:55:10
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:55:10
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-12 23:55:10
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 00:00:57
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 00:00:57
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 00:00:57
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 00:00:57
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 00:00:57
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 00:00:57
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:00:34
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:00:34
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:00:34
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:00:34
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:00:34
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:00:34
Money Line – Game,EPG Baskets Koblenz,4.0,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:07:26
Money Line – Game,Crailsheim Merlins,1.187,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:07:26
Handicap – Game,EPG Baskets Koblenz +8.5,1.862,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:07:26
Handicap – Game,Crailsheim Merlins -8.5,1.877,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:07:26
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:07:26
Total – Game,Under 171,1.833,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 02:07:26
Total – Game,Over 171,1.909,EPG Baskets Koblenz vs Crailsheim Merlins,2025-10-13 03:25:39
