team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.28,1.163,9.5,1.862,-9.5,1.877,171.0,1.9,171.0,1.84,2025-10-12 22:35:41
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.28,1.163,9.5,1.862,-9.5,1.877,171.0,1.9,171.0,1.84,2025-10-12 22:44:14
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.28,1.163,9.5,1.862,-9.5,1.877,171.0,1.9,171.0,1.84,2025-10-12 22:48:54
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-12 22:57:17
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-12 23:04:28
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-12 23:22:58
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-12 23:30:24
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-12 23:42:01
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-12 23:47:42
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-12 23:55:10
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 00:00:57
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 02:00:34
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 02:07:26
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 03:17:16
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 03:25:39
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 03:52:55
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 04:32:34
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 04:39:21
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 05:27:18
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 05:34:03
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 05:45:24
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 06:00:12
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 06:42:26
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 06:49:29
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 07:29:38
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 07:44:22
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 07:50:23
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 09:00:35
EPG Baskets Koblenz,Crailsheim Merlins,https://www.pinnacle.com/en/basketball/germany-pro-a/epg-baskets-koblenz-vs-crailsheim-merlins/1617240280/,4.0,1.187,8.5,1.862,-8.5,1.877,171.0,1.909,171.0,1.833,2025-10-13 09:34:21
