Market,Selection,Odds,matchup,timestamp
Money Line – Game,Vikos,1.97,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 156,2.12,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 156.5,1.645,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 156.5,2.06,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 157,1.684,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 157,2.01,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 157.5,1.724,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 157.5,1.952,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 158,1.775,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 158,1.9,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 156,1.613,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 158.5,1.84,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 159,1.787,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 159.5,1.934,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 159.5,1.74,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 160,1.99,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 160,1.699,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 160.5,2.04,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 160.5,1.662,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 161,2.09,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Under 161,1.625,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 159,1.877,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,GS Lavrio +1.5,1.621,Vikos vs GS Lavrio,2025-10-05 22:55:57
Total – Game,Over 158.5,1.826,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,GS Lavrio +1.0,1.653,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,Vikos -1.5,2.07,Vikos vs GS Lavrio,2025-10-05 22:55:57
Money Line – Game,GS Lavrio,1.709,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,Vikos +5.0,1.476,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,GS Lavrio -5.0,2.34,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,Vikos +4.5,1.515,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,GS Lavrio -4.5,2.26,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,Vikos +4.0,1.561,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,Vikos +3.5,1.617,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,GS Lavrio -3.5,2.09,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,Vikos +3.0,1.68,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,GS Lavrio -4.0,2.17,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,GS Lavrio -1.0,1.729,Vikos vs GS Lavrio,2025-10-05 22:55:57
Handicap – Game,Vikos +2.5,1.751,Vikos vs GS Lavrio,2025-10-05 22:55:57
