team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-05 22:55:57
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-05 23:02:43
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-05 23:23:10
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-05 23:28:06
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-05 23:42:03
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-05 23:48:11
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-05 23:56:22
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 00:01:00
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 01:56:07
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 03:09:38
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 03:17:12
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 03:59:37
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 04:04:58
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 04:33:19
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 04:40:18
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 04:48:51
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 04:54:00
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 05:28:03
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 05:36:07
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 05:45:32
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 05:58:37
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 06:39:57
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 06:59:41
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.97,1.709,2.5,1.751,-2.5,1.917,158.5,1.826,158.5,1.84,2025-10-06 07:07:22
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.8,1.869,-1.0,1.833,1.0,1.833,158.5,1.84,158.5,1.826,2025-10-06 07:45:42
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 07:57:31
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 08:04:24
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 08:36:21
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 08:44:23
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 09:31:51
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 09:38:47
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 09:47:52
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 10:00:00
Vikos,GS Lavrio,https://www.pinnacle.com/en/basketball/greece-elite-league/vikos-vs-gs-lavrio/1616574739/,1.602,2.13,-3.0,1.877,3.0,1.787,158.5,1.833,158.5,1.833,2025-10-06 10:05:43
