Market,Selection,Odds,matchup,timestamp
Money Line – Game,Kolossos Rhodes,1.392,Kolossos Rhodes vs Panionios BC,2025-10-31 23:44:23
Money Line – Game,Panionios BC,2.97,Kolossos Rhodes vs Panionios BC,2025-10-31 23:44:23
Handicap – Game,Kolossos Rhodes -5.5,1.826,Kolossos Rhodes vs Panionios BC,2025-10-31 23:44:23
Handicap – Game,Panionios BC +5.5,2.0,Kolossos Rhodes vs Panionios BC,2025-10-31 23:44:23
Total – Game,Over 158.5,1.884,Kolossos Rhodes vs Panionios BC,2025-10-31 23:44:23
Total – Game,Under 158.5,1.934,Kolossos Rhodes vs Panionios BC,2025-10-31 23:44:23
Money Line – Game,Kolossos Rhodes,1.392,Kolossos Rhodes vs Panionios BC,2025-10-31 23:56:40
Money Line – Game,Panionios BC,2.97,Kolossos Rhodes vs Panionios BC,2025-10-31 23:56:40
Handicap – Game,Kolossos Rhodes -5.5,1.826,Kolossos Rhodes vs Panionios BC,2025-10-31 23:56:40
Handicap – Game,Panionios BC +5.5,2.0,Kolossos Rhodes vs Panionios BC,2025-10-31 23:56:40
Total – Game,Over 158.5,1.884,Kolossos Rhodes vs Panionios BC,2025-10-31 23:56:40
Total – Game,Under 158.5,1.934,Kolossos Rhodes vs Panionios BC,2025-10-31 23:56:40
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 21:44:22
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 21:44:22
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 21:44:22
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 21:44:22
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 21:44:22
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 21:44:22
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 21:58:40
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 21:58:40
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 21:58:40
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 21:58:40
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 21:58:40
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 21:58:40
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 22:08:05
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 22:08:05
Handicap – Game,Maroussi Athens +2.5,1.925,AO Mykonos vs Maroussi Athens,2025-11-01 22:08:05
Money Line – Game,Maroussi Athens,2.23,AO Mykonos vs Maroussi Athens,2025-11-01 22:08:05
Money Line – Game,AO Mykonos,1.666,AO Mykonos vs Maroussi Athens,2025-11-01 22:08:05
Handicap – Game,AO Mykonos -2.5,1.892,AO Mykonos vs Maroussi Athens,2025-11-01 22:08:05
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:08:05
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 22:08:05
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:08:05
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 22:08:05
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 22:08:05
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 22:08:05
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 22:27:00
Handicap – Game,Maroussi Athens +2.5,1.925,AO Mykonos vs Maroussi Athens,2025-11-01 22:27:00
Handicap – Game,AO Mykonos -2.5,1.892,AO Mykonos vs Maroussi Athens,2025-11-01 22:27:00
Money Line – Game,Maroussi Athens,2.23,AO Mykonos vs Maroussi Athens,2025-11-01 22:27:00
Money Line – Game,AO Mykonos,1.666,AO Mykonos vs Maroussi Athens,2025-11-01 22:27:00
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 22:27:00
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:27:00
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 22:27:00
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 22:27:00
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 22:27:00
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 22:27:00
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:27:00
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 22:45:49
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 22:45:49
Handicap – Game,Maroussi Athens +2.5,1.98,AO Mykonos vs Maroussi Athens,2025-11-01 22:45:49
Handicap – Game,AO Mykonos -2.5,1.84,AO Mykonos vs Maroussi Athens,2025-11-01 22:45:49
Money Line – Game,Maroussi Athens,2.3,AO Mykonos vs Maroussi Athens,2025-11-01 22:45:49
Money Line – Game,AO Mykonos,1.625,AO Mykonos vs Maroussi Athens,2025-11-01 22:45:49
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:45:49
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 22:45:49
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 22:45:49
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 22:45:49
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 22:45:49
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:45:49
Money Line – Game,Maroussi Athens,2.3,AO Mykonos vs Maroussi Athens,2025-11-01 22:58:04
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 22:58:04
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 22:58:04
Handicap – Game,Maroussi Athens +2.5,1.98,AO Mykonos vs Maroussi Athens,2025-11-01 22:58:04
Handicap – Game,AO Mykonos -2.5,1.84,AO Mykonos vs Maroussi Athens,2025-11-01 22:58:04
Money Line – Game,AO Mykonos,1.625,AO Mykonos vs Maroussi Athens,2025-11-01 22:58:04
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:58:04
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 22:58:04
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 22:58:04
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 22:58:04
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 22:58:04
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 22:58:04
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 23:07:58
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 23:07:58
Handicap – Game,Maroussi Athens +2.5,1.98,AO Mykonos vs Maroussi Athens,2025-11-01 23:07:58
Handicap – Game,AO Mykonos -2.5,1.84,AO Mykonos vs Maroussi Athens,2025-11-01 23:07:58
Money Line – Game,Maroussi Athens,2.3,AO Mykonos vs Maroussi Athens,2025-11-01 23:07:58
Money Line – Game,AO Mykonos,1.625,AO Mykonos vs Maroussi Athens,2025-11-01 23:07:58
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:07:58
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 23:07:58
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 23:07:58
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 23:07:58
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 23:07:58
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:07:58
Money Line – Game,Maroussi Athens,2.3,AO Mykonos vs Maroussi Athens,2025-11-01 23:26:49
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 23:26:49
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 23:26:49
Handicap – Game,Maroussi Athens +2.5,1.98,AO Mykonos vs Maroussi Athens,2025-11-01 23:26:49
Handicap – Game,AO Mykonos -2.5,1.84,AO Mykonos vs Maroussi Athens,2025-11-01 23:26:49
Money Line – Game,AO Mykonos,1.625,AO Mykonos vs Maroussi Athens,2025-11-01 23:26:49
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 23:26:49
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:26:49
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 23:26:49
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 23:26:49
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 23:26:49
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:26:49
Money Line – Game,Maroussi Athens,2.3,AO Mykonos vs Maroussi Athens,2025-11-01 23:34:17
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 23:34:17
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 23:34:17
Handicap – Game,Maroussi Athens +2.5,1.98,AO Mykonos vs Maroussi Athens,2025-11-01 23:34:17
Handicap – Game,AO Mykonos -2.5,1.84,AO Mykonos vs Maroussi Athens,2025-11-01 23:34:17
Money Line – Game,AO Mykonos,1.625,AO Mykonos vs Maroussi Athens,2025-11-01 23:34:17
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 23:34:17
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:34:17
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 23:34:17
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 23:34:17
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 23:34:17
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:34:17
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 23:44:40
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 23:44:40
Handicap – Game,AO Mykonos -2.5,1.84,AO Mykonos vs Maroussi Athens,2025-11-01 23:44:40
Money Line – Game,Maroussi Athens,2.3,AO Mykonos vs Maroussi Athens,2025-11-01 23:44:40
Money Line – Game,AO Mykonos,1.625,AO Mykonos vs Maroussi Athens,2025-11-01 23:44:40
Handicap – Game,Maroussi Athens +2.5,1.98,AO Mykonos vs Maroussi Athens,2025-11-01 23:44:40
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:44:40
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 23:44:40
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 23:44:40
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 23:44:40
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 23:44:40
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:44:40
Handicap – Game,Maroussi Athens +2.5,1.98,AO Mykonos vs Maroussi Athens,2025-11-01 23:58:09
Handicap – Game,AO Mykonos -2.5,1.84,AO Mykonos vs Maroussi Athens,2025-11-01 23:58:09
Money Line – Game,Maroussi Athens,2.3,AO Mykonos vs Maroussi Athens,2025-11-01 23:58:09
Money Line – Game,AO Mykonos,1.625,AO Mykonos vs Maroussi Athens,2025-11-01 23:58:09
Total – Game,Under 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:58:09
Handicap – Game,Olympiakos BC -25.5,1.961,Olympiakos BC vs Iraklis 2022,2025-11-01 23:58:09
Handicap – Game,Iraklis 2022 +25.5,1.862,Olympiakos BC vs Iraklis 2022,2025-11-01 23:58:09
Money Line – Game,Iraklis 2022,18.44,Olympiakos BC vs Iraklis 2022,2025-11-01 23:58:09
Money Line – Game,Olympiakos BC,1.011,Olympiakos BC vs Iraklis 2022,2025-11-01 23:58:09
Total – Game,Over 169,1.9,AO Mykonos vs Maroussi Athens,2025-11-01 23:58:09
Total – Game,Over 164,1.909,Olympiakos BC vs Iraklis 2022,2025-11-01 23:58:09
Total – Game,Under 169,1.917,AO Mykonos vs Maroussi Athens,2025-11-01 23:58:09
Money Line – Game,Maroussi Athens,6.66,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:41:05
Money Line – Game,Panathinaikos BC,1.094,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:41:05
Handicap – Game,Maroussi Athens +15.5,1.917,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:41:05
Handicap – Game,Panathinaikos BC -15.5,1.9,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:41:05
Total – Game,Over 172,1.99,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:41:05
Total – Game,Under 172,1.833,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:41:05
Money Line – Game,Maroussi Athens,6.66,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:58:20
Money Line – Game,Panathinaikos BC,1.094,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:58:20
Handicap – Game,Maroussi Athens +15.5,1.917,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:58:20
Handicap – Game,Panathinaikos BC -15.5,1.9,Maroussi Athens vs Panathinaikos BC,2025-12-26 15:58:20
