team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Kolossos Rhodes,Panionios BC,https://www.pinnacle.com/en/basketball/greek-basket-league/kolossos-rhodes-vs-panionios-bc/1618304760/,1.392,2.97,-5.5,1.826,5.5,2.0,158.5,1.884,158.5,1.934,2025-10-31 23:44:23
Kolossos Rhodes,Panionios BC,https://www.pinnacle.com/en/basketball/greek-basket-league/kolossos-rhodes-vs-panionios-bc/1618304760/,1.392,2.97,-5.5,1.826,5.5,2.0,158.5,1.884,158.5,1.934,2025-10-31 23:56:40
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 21:44:22
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 21:58:40
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 22:08:05
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.666,2.23,-2.5,1.892,2.5,1.925,169.0,1.9,169.0,1.917,2025-11-01 22:08:05
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 22:27:00
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.666,2.23,-2.5,1.892,2.5,1.925,169.0,1.9,169.0,1.917,2025-11-01 22:27:00
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 22:45:49
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.625,2.3,-2.5,1.84,2.5,1.98,169.0,1.9,169.0,1.917,2025-11-01 22:45:49
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.625,2.3,-2.5,1.84,2.5,1.98,169.0,1.9,169.0,1.917,2025-11-01 22:58:04
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 22:58:04
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 23:07:58
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.625,2.3,-2.5,1.84,2.5,1.98,169.0,1.9,169.0,1.917,2025-11-01 23:07:58
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 23:26:49
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.625,2.3,-2.5,1.84,2.5,1.98,169.0,1.9,169.0,1.917,2025-11-01 23:26:49
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 23:34:17
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.625,2.3,-2.5,1.84,2.5,1.98,169.0,1.9,169.0,1.917,2025-11-01 23:34:17
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 23:44:40
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.625,2.3,-2.5,1.84,2.5,1.98,169.0,1.9,169.0,1.917,2025-11-01 23:44:40
Olympiakos BC,Iraklis 2022,https://www.pinnacle.com/en/basketball/greek-basket-league/olympiakos-bc-vs-iraklis-2022/1618389645/,1.011,18.44,-25.5,1.961,25.5,1.862,164.0,1.909,164.0,1.909,2025-11-01 23:58:09
AO Mykonos,Maroussi Athens,https://www.pinnacle.com/en/basketball/greek-basket-league/ao-mykonos-vs-maroussi-athens/1618396799/,1.625,2.3,-2.5,1.84,2.5,1.98,169.0,1.9,169.0,1.917,2025-11-01 23:58:09
Maroussi Athens,Panathinaikos BC,https://www.pinnacle.com/en/basketball/greek-basket-league/maroussi-athens-vs-panathinaikos-bc/1621567135/,6.66,1.094,15.5,1.917,-15.5,1.9,172.0,1.99,172.0,1.833,2025-12-26 15:41:05
Maroussi Athens,Panathinaikos BC,https://www.pinnacle.com/en/basketball/greek-basket-league/maroussi-athens-vs-panathinaikos-bc/1621567135/,6.66,1.094,15.5,1.917,-15.5,1.9,172.0,1.99,172.0,1.833,2025-12-26 15:58:20
Kolossos Rhodes,AO Mykonos,https://www.pinnacle.com/en/basketball/greek-basket-league/kolossos-rhodes-vs-ao-mykonos/1621546829/,1.393,2.96,-5.0,1.9,5.0,1.917,159.0,1.952,159.0,1.869,2025-12-26 20:03:23
Kolossos Rhodes,AO Mykonos,https://www.pinnacle.com/en/basketball/greek-basket-league/kolossos-rhodes-vs-ao-mykonos/1621546829/,1.393,2.96,-5.0,1.9,5.0,1.917,159.0,1.952,159.0,1.869,2025-12-26 20:41:56
AEK Athens,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/greek-basket-league/aek-athens-vs-aris-thessaloniki-bc/1621546828/,1.353,3.15,-6.0,1.925,6.0,1.892,162.5,1.909,162.5,1.909,2025-12-26 21:02:54
Kolossos Rhodes,AO Mykonos,https://www.pinnacle.com/en/basketball/greek-basket-league/kolossos-rhodes-vs-ao-mykonos/1621546829/,1.393,2.96,-5.0,1.9,5.0,1.917,159.0,1.952,159.0,1.869,2025-12-26 21:34:29
AEK Athens,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/greek-basket-league/aek-athens-vs-aris-thessaloniki-bc/1621546828/,1.353,3.15,-6.0,1.925,6.0,1.892,162.5,1.909,162.5,1.909,2025-12-26 21:48:10
AEK Athens,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/greek-basket-league/aek-athens-vs-aris-thessaloniki-bc/1621546828/,1.353,3.15,-6.0,1.925,6.0,1.892,162.5,1.909,162.5,1.909,2025-12-26 21:59:20
AEK Athens,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/greek-basket-league/aek-athens-vs-aris-thessaloniki-bc/1621546828/,1.353,3.15,-6.0,1.925,6.0,1.892,162.5,1.909,162.5,1.909,2025-12-26 22:50:16
AEK Athens,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/greek-basket-league/aek-athens-vs-aris-thessaloniki-bc/1621546828/,1.353,3.15,-6.0,1.925,6.0,1.892,162.5,1.909,162.5,1.909,2025-12-26 23:29:11
Kolossos Rhodes,AO Mykonos,https://www.pinnacle.com/en/basketball/greek-basket-league/kolossos-rhodes-vs-ao-mykonos/1621546829/,1.393,2.96,-5.0,1.9,5.0,1.917,159.0,1.952,159.0,1.869,2025-12-26 23:29:11
AEK Athens,Aris Thessaloniki BC,https://www.pinnacle.com/en/basketball/greek-basket-league/aek-athens-vs-aris-thessaloniki-bc/1621546828/,1.353,3.15,-6.0,1.925,6.0,1.892,162.5,1.909,162.5,1.909,2025-12-26 23:47:26
