Market,Selection,Odds,matchup,timestamp
Money Line – Game,Aso Basket El Progreso,1.08,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 166,2.1,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 166.5,1.598,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 166.5,2.05,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 167,1.632,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 167,2.0,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 167.5,1.675,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 167.5,1.943,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 168,1.719,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 168,1.884,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 166,1.564,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 168.5,1.833,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 169,1.775,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 169.5,1.877,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 169.5,1.729,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 170,1.925,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 170,1.689,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 170.5,1.98,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 170.5,1.649,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 171,2.03,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Under 171,1.613,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 169,1.819,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +13.5,1.497,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 168.5,1.769,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +13.0,1.54,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -13.5,2.2,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Money Line – Game,Pat City,4.45,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -8.5,1.515,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +8.5,2.17,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -9.0,1.555,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +9.0,2.09,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -9.5,1.606,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -10.0,1.662,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +10.0,1.943,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -10.5,1.729,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +9.5,2.01,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +12.5,1.588,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -11.0,1.813,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +11.0,1.787,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -11.5,1.892,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +11.5,1.709,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -12.0,1.97,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +12.0,1.645,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -12.5,2.04,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Pat City +10.5,1.862,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Handicap – Game,Aso Basket El Progreso -13.0,2.12,Aso Basket El Progreso vs Pat City,2025-09-25 01:57:23
Total – Game,Over 168,1.719,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 167.5,1.943,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 167.5,1.675,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 167,2.0,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 166,2.1,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 166.5,2.05,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 166.5,1.598,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 168,1.884,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 167,1.632,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 168.5,1.769,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 171,1.613,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 169,1.819,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 169,1.775,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 169.5,1.877,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 169.5,1.729,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 170,1.925,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 170,1.689,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 170.5,1.98,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 170.5,1.649,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 171,2.03,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Over 166,1.564,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
Total – Game,Under 168.5,1.833,Aso Basket El Progreso vs Pat City,2025-09-25 02:09:17
