team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Guatemala Maxi,Retalhuleu Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/guatemala-maxi-vs-retalhuleu-maxi/1619822255/,1.2,3.88,-8.5,1.869,8.5,1.869,110.5,1.909,110.5,1.826,2025-11-20 17:03:44
Guatemala Maxi,Retalhuleu Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/guatemala-maxi-vs-retalhuleu-maxi/1619822255/,1.2,3.88,-8.5,1.869,8.5,1.869,110.5,1.909,110.5,1.826,2025-11-20 17:46:42
Guatemala Maxi,Retalhuleu Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/guatemala-maxi-vs-retalhuleu-maxi/1619822255/,1.2,3.88,-8.5,1.869,8.5,1.869,110.5,1.909,110.5,1.826,2025-11-20 18:41:28
Guatemala Maxi,Retalhuleu Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/guatemala-maxi-vs-retalhuleu-maxi/1619822255/,1.199,3.88,-8.5,1.877,8.5,1.862,109.5,1.943,109.5,1.8,2025-11-20 19:01:32
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,30.0,1.775,-30.0,1.892,118.5,1.9,118.5,1.775,2025-11-22 19:58:48
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.5,1.757,-26.5,1.917,116.0,1.847,116.0,1.819,2025-11-22 20:15:31
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,,,,,,,,,2025-11-22 20:32:19
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 20:47:29
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 21:00:03
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 21:08:06
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 21:28:10
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 21:44:44
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 21:58:05
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 22:07:37
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.806,-26.0,1.943,116.0,1.917,116.0,1.826,2025-11-22 22:27:25
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.787,-26.0,1.952,116.0,1.925,116.0,1.819,2025-11-22 22:32:00
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,,,26.0,1.787,-26.0,1.961,116.0,1.925,116.0,1.813,2025-11-22 22:45:42
Panajachel Maxi,Guatemala Maxi,https://www.pinnacle.com/en/basketball/guatemala-maxi-fem-women/panajachel-maxi-vs-guatemala-maxi/1620053192/,N/A,N/A,+26.0,1.787,-26.0,1.961,116,1.925,116,1.813,2025-11-22 22:58:08
