team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,8.25,1.014,20.5,1.84,-20.5,1.826,122.5,1.84,122.5,1.826,2025-12-02 00:16:06
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,8.25,1.014,20.5,1.84,-20.5,1.826,122.5,1.84,122.5,1.826,2025-12-02 02:22:59
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,8.25,1.014,20.5,1.84,-20.5,1.826,122.5,1.84,122.5,1.826,2025-12-02 03:41:19
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,8.25,1.014,20.5,1.84,-20.5,1.826,122.5,1.84,122.5,1.826,2025-12-02 04:28:01
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,8.25,1.014,20.5,1.84,-20.5,1.826,122.5,1.84,122.5,1.826,2025-12-02 04:56:17
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,8.25,1.014,20.5,1.84,-20.5,1.826,122.5,1.84,122.5,1.826,2025-12-02 05:45:59
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,8.25,1.014,20.5,1.84,-20.5,1.826,122.5,1.84,122.5,1.826,2025-12-02 06:02:25
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,10.01,1.02,20.5,1.892,-20.5,1.847,122.5,1.869,122.5,1.869,2025-12-02 07:31:44
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,10.01,1.02,20.5,1.892,-20.5,1.847,122.5,1.869,122.5,1.869,2025-12-02 08:11:44
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,10.01,1.02,20.5,1.892,-20.5,1.847,122.5,1.869,122.5,1.869,2025-12-02 08:43:48
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,10.01,1.02,20.5,1.892,-20.5,1.847,122.5,1.869,122.5,1.869,2025-12-02 09:05:42
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,10.01,1.02,20.5,1.892,-20.5,1.847,122.5,1.869,122.5,1.869,2025-12-02 09:45:28
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,10.01,1.02,20.5,1.892,-20.5,1.847,122.5,1.869,122.5,1.869,2025-12-02 10:02:52
On Bong,Tsuen Wan,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/on-bong-vs-tsuen-wan/1620584066/,10.19,1.019,21.5,1.917,-21.5,1.826,122.5,1.84,122.5,1.9,2025-12-02 10:37:57
Seven Up,Kwan On,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/seven-up-vs-kwan-on/1621171393/,3.36,1.224,7.5,1.84,-7.5,1.826,119.5,1.869,119.5,1.869,2025-12-15 00:00:54
Tsuen Wan,Well Born,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/tsuen-wan-vs-well-born/1624794366/,1.047,6.04,-14.0,1.862,14.0,1.806,117.5,1.854,117.5,1.806,2026-03-03 01:31:58
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.07,5.3,-12.0,1.84,12.0,1.826,117.0,1.877,117.0,1.787,2026-03-03 01:31:58
Tsuen Wan,Well Born,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/tsuen-wan-vs-well-born/1624794366/,1.047,6.04,-14.0,1.862,14.0,1.806,117.5,1.854,117.5,1.806,2026-03-03 03:59:42
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.07,5.3,-12.0,1.84,12.0,1.826,117.0,1.877,117.0,1.787,2026-03-03 03:59:42
Tsuen Wan,Well Born,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/tsuen-wan-vs-well-born/1624794366/,1.047,6.04,-14.0,1.862,14.0,1.806,117.5,1.854,117.5,1.806,2026-03-03 05:15:27
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.07,5.3,-12.0,1.84,12.0,1.826,117.0,1.877,117.0,1.787,2026-03-03 05:15:27
Tsuen Wan,Well Born,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/tsuen-wan-vs-well-born/1624794366/,1.059,6.71,-14.0,1.9,14.0,1.84,117.5,1.892,117.5,1.84,2026-03-03 06:07:41
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.08,5.07,-11.5,1.884,11.5,1.781,117.0,1.909,117.0,1.769,2026-03-03 06:07:41
Tsuen Wan,Well Born,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/tsuen-wan-vs-well-born/1624794366/,1.059,6.71,-14.0,1.9,14.0,1.84,117.5,1.892,117.5,1.84,2026-03-03 07:14:02
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.08,5.07,-11.5,1.884,11.5,1.781,117.0,1.909,117.0,1.769,2026-03-03 07:14:02
Tsuen Wan,Well Born,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/tsuen-wan-vs-well-born/1624794366/,1.059,6.71,-14.0,1.9,14.0,1.84,117.5,1.892,117.5,1.84,2026-03-03 09:29:43
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.096,5.47,-11.5,1.925,11.5,1.819,117.0,1.943,117.0,1.806,2026-03-03 09:29:43
Tsuen Wan,Well Born,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/tsuen-wan-vs-well-born/1624794366/,1.059,6.71,-14.0,1.9,14.0,1.84,117.5,1.892,117.5,1.84,2026-03-03 10:08:35
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.086,5.73,-11.5,1.806,11.5,1.943,117.0,1.925,117.0,1.813,2026-03-03 10:08:35
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.086,5.73,-11.5,1.806,11.5,1.943,117.0,1.925,117.0,1.813,2026-03-03 11:03:53
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.085,5.77,-11.5,1.787,11.5,1.961,117.0,1.925,117.0,1.819,2026-03-03 11:42:18
Kwan On,Seven Up,https://www.pinnacle.com/en/basketball/hong-kong-division-1-women/kwan-on-vs-seven-up/1624794392/,1.085,5.770,-11.5,1.787,+11.5,1.952,117,1.934,117,1.806,2026-03-03 12:04:16
