Market,Selection,Odds,matchup,timestamp
Handicap – Game,Wellman Fukien +26.0,1.543,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 154.5,1.684,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 154.5,2.01,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 155,1.724,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 155,1.952,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 155.5,1.769,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 155.5,1.9,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 156,1.819,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 156,1.847,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 156.5,1.869,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 157,1.925,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 157,1.746,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 157.5,1.99,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 157.5,1.699,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 158,2.04,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 158,1.657,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 158.5,2.1,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 158.5,1.621,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 159,2.15,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 159,1.588,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 154,2.06,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Over 154,1.649,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 156.5,1.793,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +21.0,2.24,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -21.0,1.526,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -26.0,2.2,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +25.5,1.588,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -25.5,2.13,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +25.0,1.636,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -25.0,2.05,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -24.5,1.97,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +24.0,1.763,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -24.0,1.9,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +23.5,1.847,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +24.5,1.694,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -23.5,1.819,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +21.5,2.16,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -22.0,1.617,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +22.0,2.08,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -22.5,1.675,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -21.5,1.568,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Tycoon -23.0,1.74,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +23.0,1.925,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Handicap – Game,Wellman Fukien +22.5,2.0,Wellman Fukien vs Tycoon,2025-09-17 12:08:56
Total – Game,Under 159,1.884,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Under 157,2.1,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Over 157.5,1.653,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Under 157.5,2.05,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Over 158,1.694,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Under 158,1.99,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Over 158.5,1.735,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Under 158.5,1.943,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Over 159,1.781,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Over 159.5,1.833,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Under 162,1.617,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
Total – Game,Over 160,1.892,Hong Kong Eastern Long Lions vs Winling,2025-10-14 03:48:35
