team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Wellman Fukien,Tycoon,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/wellman-fukien-vs-tycoon/1615469024/,,,23.5,1.847,-23.5,1.819,156.5,1.869,156.5,1.793,2025-09-17 11:43:44
Wellman Fukien,Tycoon,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/wellman-fukien-vs-tycoon/1615469024/,,,23.5,1.847,-23.5,1.819,156.5,1.869,156.5,1.793,2025-09-17 11:48:43
Wellman Fukien,Tycoon,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/wellman-fukien-vs-tycoon/1615469024/,,,23.5,1.847,-23.5,1.819,156.5,1.869,156.5,1.793,2025-09-17 12:00:33
Wellman Fukien,Tycoon,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/wellman-fukien-vs-tycoon/1615469024/,,,23.5,1.847,-23.5,1.819,156.5,1.869,156.5,1.793,2025-09-17 12:08:56
Hong Kong Eastern Long Lions,Winling,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/hong-kong-eastern-long-lions-vs-winling/1617101299/,1.259,3.15,-6.5,1.769,6.5,1.9,159.5,1.833,159.5,1.833,2025-10-14 03:12:07
Hong Kong Eastern Long Lions,Winling,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/hong-kong-eastern-long-lions-vs-winling/1617101299/,1.259,3.15,-6.5,1.769,6.5,1.9,159.5,1.833,159.5,1.833,2025-10-14 03:27:02
Hong Kong Eastern Long Lions,Winling,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/hong-kong-eastern-long-lions-vs-winling/1617101299/,1.259,3.15,-6.5,1.769,6.5,1.9,159.5,1.833,159.5,1.833,2025-10-14 03:48:35
Hong Kong Eastern Long Lions,Winling,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/hong-kong-eastern-long-lions-vs-winling/1617101299/,1.259,3.15,-6.5,1.769,6.5,1.9,159.5,1.833,159.5,1.833,2025-10-14 04:01:46
Hong Kong Eastern Long Lions,Winling,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/hong-kong-eastern-long-lions-vs-winling/1617101299/,1.259,3.15,-6.5,1.769,6.5,1.9,159.5,1.833,159.5,1.833,2025-10-14 06:45:26
Hong Kong Eastern Long Lions,Winling,https://www.pinnacle.com/en/basketball/hong-kong-silver-shield-cup/hong-kong-eastern-long-lions-vs-winling/1617101299/,1.259,3.15,-6.5,1.769,6.5,1.9,159.5,1.833,159.5,1.833,2025-10-14 07:02:35
