Market,Selection,Odds,matchup,timestamp
Money Line – Game,SZTE-Szedeak,1.684,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 162.5,2.21,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 163,1.649,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 163,2.15,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 163.5,1.684,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 163.5,2.09,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 164,1.724,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 164,2.04,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 164.5,1.769,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 165,1.819,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 162.5,1.613,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 165,1.917,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 165.5,1.862,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 166,1.925,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 166,1.813,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 166.5,1.98,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 166.5,1.769,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 167,2.03,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 167,1.724,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 167.5,2.09,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 167.5,1.689,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Over 165.5,1.877,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +5.0,1.537,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 164.5,1.98,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +4.5,1.578,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -5.0,2.33,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak +1.5,1.621,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK -1.5,2.17,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak +1.0,1.649,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK -1.0,2.12,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -1.0,1.724,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +1.0,2.01,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -1.5,1.769,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +1.5,1.961,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -2.0,1.833,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Money Line – Game,Kaposvari KK,2.1,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -2.5,1.909,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +2.0,1.9,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +4.0,1.625,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -4.0,2.16,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +3.5,1.684,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -4.5,2.24,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +3.0,1.751,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -3.0,1.99,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,Kaposvari KK +2.5,1.833,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Handicap – Game,SZTE-Szedeak -3.5,2.08,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:02:15
Total – Game,Under 164.5,1.98,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 163,1.649,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 163,2.15,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 163.5,1.684,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 163.5,2.09,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 164,1.724,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 162.5,2.21,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 164,2.04,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 164.5,1.769,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 165,1.819,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 166,1.813,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 165.5,1.877,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 165.5,1.862,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 166,1.925,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 166.5,1.98,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 166.5,1.769,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 167,2.03,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 167,1.724,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 167.5,2.09,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Over 162.5,1.613,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 165,1.917,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK +5.0,1.537,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Total – Game,Under 167.5,1.689,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK +4.5,1.578,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Money Line – Game,SZTE-Szedeak,1.684,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Money Line – Game,Kaposvari KK,2.1,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak +1.5,1.621,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK -1.5,2.17,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak +1.0,1.649,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK -1.0,2.12,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK +1.0,2.01,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak -1.5,1.769,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK +1.5,1.961,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak -2.0,1.833,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak -1.0,1.724,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak -2.5,1.909,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK +2.0,1.9,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK +4.0,1.625,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak -4.0,2.16,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,Kaposvari KK +3.5,1.684,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
Handicap – Game,SZTE-Szedeak -4.5,2.24,SZTE-Szedeak vs Kaposvari KK,2025-10-02 15:12:46
