team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
SZTE-Szedeak,Kaposvari KK,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/szte-szedeak-vs-kaposvari-kk/1616579552/,1.684,2.1,-2.5,1.909,2.5,1.833,165.0,1.819,165.0,1.917,2025-10-02 15:02:15
SZTE-Szedeak,Kaposvari KK,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/szte-szedeak-vs-kaposvari-kk/1616579552/,1.684,2.1,-2.5,1.909,2.5,1.833,165.0,1.819,165.0,1.917,2025-10-02 15:12:46
SZTE-Szedeak,Kaposvari KK,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/szte-szedeak-vs-kaposvari-kk/1616579552/,1.684,2.1,-2.5,1.909,2.5,1.833,166.0,1.884,166.0,1.854,2025-10-02 15:31:07
SZTE-Szedeak,Kaposvari KK,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/szte-szedeak-vs-kaposvari-kk/1616579552/,1.819,1.925,-1.5,1.892,1.5,1.847,166.0,1.884,166.0,1.854,2025-10-02 15:42:54
SZTE-Szedeak,Kaposvari KK,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/szte-szedeak-vs-kaposvari-kk/1616579552/,1.806,1.934,-1.5,1.884,1.5,1.854,166.0,1.892,166.0,1.847,2025-10-02 16:00:28
Zalakeramia ZTE KK,Soproni KC,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/zalakeramia-zte-kk-vs-soproni-kc/1617083702/,1.877,1.787,1.0,1.84,-1.0,1.826,165.5,1.8,165.5,1.869,2025-10-09 03:10:17
Debreceni EAC,Szolnoki Olaj,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/debreceni-eac-vs-szolnoki-olaj/1619688212/,3.71,1.218,8.0,1.884,-8.0,1.854,161.5,1.892,161.5,1.847,2025-11-20 17:04:05
Budapesti Honved SE,NKA Universitas Pecs,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/budapesti-honved-se-vs-nka-universitas-pecs/1621019332/,1.297,3.18,-6.5,1.925,6.5,1.819,159.5,1.84,159.5,1.9,2025-12-11 17:20:33
Budapesti Honved SE,NKA Universitas Pecs,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/budapesti-honved-se-vs-nka-universitas-pecs/1621019332/,1.294,3.19,-6.5,1.925,6.5,1.819,159.5,1.84,159.5,1.892,2025-12-11 18:02:28
Kaposvari KK,SZTE-Szedeak,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/kaposvari-kk-vs-szte-szedeak/1621841204/,1.102,4.14,-11.0,1.763,11.0,1.833,168.0,1.724,168.0,1.884,2026-01-02 15:36:09
Kaposvari KK,SZTE-Szedeak,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/kaposvari-kk-vs-szte-szedeak/1621841204/,1.102,4.14,-11.0,1.763,11.0,1.833,168.0,1.724,168.0,1.884,2026-01-02 15:54:16
Kaposvari KK,SZTE-Szedeak,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/kaposvari-kk-vs-szte-szedeak/1621841204/,1.072,4.6,-11.0,1.763,11.0,1.833,168.0,1.724,168.0,1.877,2026-01-02 16:39:54
SZTE-Szedeak,Szolnoki Olaj,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/szte-szedeak-vs-szolnoki-olaj/1623818380/,7.79,1.041,16.0,1.847,-16.0,1.884,163.0,1.909,163.0,1.833,2026-02-10 17:02:51
Debreceni EAC,Kaposvari KK,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/debreceni-eac-vs-kaposvari-kk/1629274975/,2.14,1.598,2.5,1.884,-2.5,1.775,169.5,1.884,169.5,1.781,2026-04-27 01:18:10
Debreceni EAC,Kaposvari KK,https://www.pinnacle.com/en/basketball/hungary-nemzeti-bajnoksag-ia/debreceni-eac-vs-kaposvari-kk/1629274975/,2.170,1.636,+2.5,1.925,-2.5,1.819,167,1.854,167,1.884,2026-04-27 15:14:09
