Market,Selection,Odds,matchup,timestamp
Handicap – Game,Bkg-Prima +42.5,1.602,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 148.5,1.653,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 149,1.694,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 149,2.08,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 149.5,1.735,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 149.5,2.03,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 150,1.781,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 150,1.97,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 150.5,1.833,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 150.5,1.909,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 151,1.884,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 151,1.854,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 151.5,1.934,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 151.5,1.806,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 152,1.99,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 152,1.757,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 152.5,2.04,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 152.5,1.719,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 153,2.1,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 153,1.684,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 148,2.2,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Over 148,1.621,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Total – Game,Under 148.5,2.14,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Handicap – Game,Bkg-Prima +37.5,2.34,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Handicap – Game,NKA Universitas Pecs -42.5,2.2,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
Handicap – Game,Bkg-Prima +42.0,1.649,Bkg-Prima vs NKA Universitas Pecs,2025-10-05 16:32:18
