team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Keflavik,Por P.,https://www.pinnacle.com/en/basketball/iceland-cup/keflavik-vs-por-p/1617606864/,1.082,5.86,-12.5,1.9,12.5,1.833,176.0,1.862,176.0,1.877,2025-10-20 16:02:36
UMF Skallagrimur Borganes,Breidablik,https://www.pinnacle.com/en/basketball/iceland-cup/umf-skallagrimur-borganes-vs-breidablik/1617372531/,4.85,1.125,10.5,1.892,-10.5,1.847,182.0,1.9,182.0,1.84,2025-10-20 16:02:36
Sindri,IR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-cup/sindri-vs-ir-reykjavik/1617490486/,8.16,1.036,16.0,1.9,-16.0,1.84,188.5,1.847,188.5,1.892,2025-10-20 16:02:36
Fjolnir,Thor Akureyri,https://www.pinnacle.com/en/basketball/iceland-cup/fjolnir-vs-thor-akureyri/1617375806/,1.042,7.71,-15.5,1.793,15.5,1.952,186.5,1.806,186.5,1.934,2025-10-20 16:02:36
Fylkir,KR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-cup/fylkir-vs-kr-reykjavik/1617374784/,,,38.5,1.869,-38.5,1.869,187.5,1.869,187.5,1.869,2025-10-20 16:02:36
Alftanes,UMF Njardvik,https://www.pinnacle.com/en/basketball/iceland-cup/alftanes-vs-umf-njardvik/1617374785/,1.406,2.71,-5.0,1.833,5.0,1.9,182.5,1.869,182.5,1.869,2025-10-20 16:02:36
IF Hamar,Selfoss,https://www.pinnacle.com/en/basketball/iceland-cup/if-hamar-vs-selfoss/1617374789/,1.952,1.787,1.5,1.869,-1.5,1.869,177.5,1.892,177.5,1.847,2025-10-20 16:02:36
IF Hamar,Selfoss,https://www.pinnacle.com/en/basketball/iceland-cup/if-hamar-vs-selfoss/1617374789/,1.952,1.787,1.5,1.869,-1.5,1.869,177.5,1.892,177.5,1.847,2025-10-20 16:38:12
Keflavik,Por P.,https://www.pinnacle.com/en/basketball/iceland-cup/keflavik-vs-por-p/1617606864/,1.082,5.86,-12.5,1.9,12.5,1.833,176.0,1.862,176.0,1.877,2025-10-20 16:38:12
UMF Skallagrimur Borganes,Breidablik,https://www.pinnacle.com/en/basketball/iceland-cup/umf-skallagrimur-borganes-vs-breidablik/1617372531/,4.71,1.133,10.5,1.833,-10.5,1.9,182.0,1.9,182.0,1.84,2025-10-20 16:38:12
Alftanes,UMF Njardvik,https://www.pinnacle.com/en/basketball/iceland-cup/alftanes-vs-umf-njardvik/1617374785/,1.406,2.71,-5.0,1.833,5.0,1.9,182.5,1.869,182.5,1.869,2025-10-20 16:38:12
Sindri,IR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-cup/sindri-vs-ir-reykjavik/1617490486/,8.16,1.036,16.0,1.9,-16.0,1.84,188.5,1.847,188.5,1.892,2025-10-20 16:38:12
Fylkir,KR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-cup/fylkir-vs-kr-reykjavik/1617374784/,,,38.5,1.869,-38.5,1.869,187.5,1.869,187.5,1.869,2025-10-20 16:38:12
Fjolnir,Thor Akureyri,https://www.pinnacle.com/en/basketball/iceland-cup/fjolnir-vs-thor-akureyri/1617375806/,1.044,7.53,-15.5,1.854,15.5,1.884,186.5,1.813,186.5,1.925,2025-10-20 16:38:12
Keflavik,Por P.,https://www.pinnacle.com/en/basketball/iceland-cup/keflavik-vs-por-p/1617606864/,1.082,5.86,-12.5,1.9,12.5,1.833,176.0,1.862,176.0,1.877,2025-10-20 16:47:26
IF Hamar,Selfoss,https://www.pinnacle.com/en/basketball/iceland-cup/if-hamar-vs-selfoss/1617374789/,1.952,1.787,1.5,1.869,-1.5,1.869,177.5,1.892,177.5,1.847,2025-10-20 16:47:26
UMF Skallagrimur Borganes,Breidablik,https://www.pinnacle.com/en/basketball/iceland-cup/umf-skallagrimur-borganes-vs-breidablik/1617372531/,,,,,,,,,,,2025-10-20 16:47:26
Fjolnir,Thor Akureyri,https://www.pinnacle.com/en/basketball/iceland-cup/fjolnir-vs-thor-akureyri/1617375806/,1.044,7.53,-15.5,1.854,15.5,1.884,186.5,1.813,186.5,1.925,2025-10-20 16:47:26
Alftanes,UMF Njardvik,https://www.pinnacle.com/en/basketball/iceland-cup/alftanes-vs-umf-njardvik/1617374785/,1.406,2.71,-5.0,1.833,5.0,1.9,182.5,1.869,182.5,1.869,2025-10-20 16:47:26
Sindri,IR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-cup/sindri-vs-ir-reykjavik/1617490486/,8.16,1.036,16.0,1.9,-16.0,1.84,188.5,1.847,188.5,1.892,2025-10-20 16:47:26
Fylkir,KR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-cup/fylkir-vs-kr-reykjavik/1617374784/,,,38.5,1.869,-38.5,1.869,187.5,1.869,187.5,1.869,2025-10-20 16:47:26
Sindri,IR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-cup/sindri-vs-ir-reykjavik/1617490486/,8.16,1.036,16.0,1.9,-16.0,1.84,188.5,1.847,188.5,1.892,2025-10-20 16:58:46
Keflavik,Por P.,https://www.pinnacle.com/en/basketball/iceland-cup/keflavik-vs-por-p/1617606864/,1.082,5.86,-12.5,1.9,12.5,1.833,176.0,1.862,176.0,1.877,2025-10-20 16:58:46
Fjolnir,Thor Akureyri,https://www.pinnacle.com/en/basketball/iceland-cup/fjolnir-vs-thor-akureyri/1617375806/,1.044,7.53,-15.5,1.854,15.5,1.884,186.5,1.813,186.5,1.925,2025-10-20 16:58:46
UMF Skallagrimur Borganes,Breidablik,https://www.pinnacle.com/en/basketball/iceland-cup/umf-skallagrimur-borganes-vs-breidablik/1617372531/,3.96,1.192,7.0,1.884,-7.0,1.854,182.0,1.925,182.0,1.819,2025-10-20 16:58:46
