Market,Selection,Odds,matchup,timestamp
Money Line – Game,Selfoss,1.02,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 149,2.08,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 149.5,1.729,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 149.5,2.03,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 150,1.769,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 150,1.98,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 150.5,1.819,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 150.5,1.925,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 151,1.869,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 151.5,1.925,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 149,1.694,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 151.5,1.819,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 152,1.769,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 152.5,2.04,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 152.5,1.724,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 153,2.1,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 153,1.68,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 153.5,2.16,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 153.5,1.645,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 154,2.21,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 154,1.609,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 152,1.98,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +23.0,1.591,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Under 151,1.869,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +22.5,1.636,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -23.0,2.22,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -18.0,1.54,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +18.0,2.32,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -18.5,1.581,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +18.5,2.24,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -19.0,1.628,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +19.0,2.15,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -19.5,1.689,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +19.5,2.07,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -20.0,1.751,Selfoss vs Snaefell,2025-10-22 18:49:36
Money Line – Game,Snaefell,10.04,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -20.5,1.833,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +20.0,1.99,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +22.0,1.689,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -22.0,2.06,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +21.5,1.751,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -22.5,2.14,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +21.0,1.826,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -21.0,1.909,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Snaefell +20.5,1.909,Selfoss vs Snaefell,2025-10-22 18:49:36
Handicap – Game,Selfoss -21.5,1.99,Selfoss vs Snaefell,2025-10-22 18:49:36
Total – Game,Over 129.5,1.833,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 127.5,1.689,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 127.5,2.09,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 128,1.729,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 128,2.03,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 128.5,1.769,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 127,2.14,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 128.5,1.98,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 129,1.819,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 129.5,1.833,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 131,2.04,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 130,1.813,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 130.5,1.98,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 130.5,1.763,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 131,1.724,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 131.5,2.1,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 131.5,1.684,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 132,2.15,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 132,1.649,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 127,1.653,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Over 130,1.925,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -7.0,1.561,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Total – Game,Under 129,1.925,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -7.5,1.606,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Money Line – Game,Stjarnan II,1.142,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +12.0,1.568,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -12.0,2.26,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +11.5,1.613,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -11.5,2.18,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +11.0,1.662,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -11.0,2.1,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +10.5,1.724,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -10.5,2.02,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +10.0,1.793,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Money Line – Game,UMF Njardvik,4.07,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +7.0,2.27,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +9.5,1.84,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -9.5,1.826,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,UMF Njardvik +9.0,1.952,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
Handicap – Game,Stjarnan II -9.0,1.787,UMF Njardvik vs Stjarnan II,2025-11-17 03:52:32
