team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Alftanes,Armann,https://www.pinnacle.com/en/basketball/iceland-premier-league/alftanes-vs-armann/1616754356/,1.05,7.2,-14.5,1.833,14.5,1.909,182.5,1.793,182.5,1.952,2025-10-02 15:02:20
Keflavik,IR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-premier-league/keflavik-vs-ir-reykjavik/1616579597/,1.183,4.05,-11.5,1.877,11.5,1.862,182.5,1.854,182.5,1.884,2025-10-02 15:02:20
KR Reykjavik,Stjarnan,https://www.pinnacle.com/en/basketball/iceland-premier-league/kr-reykjavik-vs-stjarnan/1616580272/,2.51,1.478,4.5,1.892,-4.5,1.847,185.0,1.877,185.0,1.862,2025-10-02 15:02:20
Akranes IA,Thor Thorlakshofn,https://www.pinnacle.com/en/basketball/iceland-premier-league/akranes-ia-vs-thor-thorlakshofn/1616754357/,3.62,1.23,8.0,1.854,-8.0,1.884,192.5,1.952,192.5,1.793,2025-10-02 15:02:20
Alftanes,Armann,https://www.pinnacle.com/en/basketball/iceland-premier-league/alftanes-vs-armann/1616754356/,1.05,7.2,-14.5,1.833,14.5,1.909,182.5,1.793,182.5,1.952,2025-10-02 15:12:51
Keflavik,IR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-premier-league/keflavik-vs-ir-reykjavik/1616579597/,1.183,4.05,-11.5,1.877,11.5,1.862,182.5,1.854,182.5,1.884,2025-10-02 15:12:51
Akranes IA,Thor Thorlakshofn,https://www.pinnacle.com/en/basketball/iceland-premier-league/akranes-ia-vs-thor-thorlakshofn/1616754357/,3.62,1.23,8.0,1.854,-8.0,1.884,192.5,1.952,192.5,1.793,2025-10-02 15:12:51
KR Reykjavik,Stjarnan,https://www.pinnacle.com/en/basketball/iceland-premier-league/kr-reykjavik-vs-stjarnan/1616580272/,2.51,1.478,4.5,1.892,-4.5,1.847,185.0,1.877,185.0,1.862,2025-10-02 15:12:51
Keflavik,IR Reykjavik,https://www.pinnacle.com/en/basketball/iceland-premier-league/keflavik-vs-ir-reykjavik/1616579597/,1.183,4.05,-11.5,1.877,11.5,1.862,182.5,1.854,182.5,1.884,2025-10-02 15:31:26
Akranes IA,Thor Thorlakshofn,https://www.pinnacle.com/en/basketball/iceland-premier-league/akranes-ia-vs-thor-thorlakshofn/1616754357/,3.62,1.23,8.0,1.854,-8.0,1.884,192.5,1.952,192.5,1.793,2025-10-02 15:31:26
Alftanes,Armann,https://www.pinnacle.com/en/basketball/iceland-premier-league/alftanes-vs-armann/1616754356/,1.05,7.2,-14.5,1.833,14.5,1.909,182.5,1.793,182.5,1.952,2025-10-02 15:31:26
KR Reykjavik,Stjarnan,https://www.pinnacle.com/en/basketball/iceland-premier-league/kr-reykjavik-vs-stjarnan/1616580272/,2.51,1.478,4.5,1.892,-4.5,1.847,185.0,1.877,185.0,1.862,2025-10-02 15:31:26
Alftanes,Armann,https://www.pinnacle.com/en/basketball/iceland-premier-league/alftanes-vs-armann/1616754356/,1.05,7.2,-14.5,1.833,14.5,1.909,182.5,1.793,182.5,1.952,2025-10-02 15:43:00
Akranes IA,Thor Thorlakshofn,https://www.pinnacle.com/en/basketball/iceland-premier-league/akranes-ia-vs-thor-thorlakshofn/1616754357/,3.61,1.231,8.0,1.847,-8.0,1.892,189.5,1.806,189.5,1.934,2025-10-02 15:43:00
KR Reykjavik,Stjarnan,https://www.pinnacle.com/en/basketball/iceland-premier-league/kr-reykjavik-vs-stjarnan/1616580272/,2.51,1.478,4.5,1.892,-4.5,1.847,185.0,1.877,185.0,1.862,2025-10-02 15:43:00
