Market,Selection,Odds,matchup,timestamp
Money Line – Game,Al Fatat,7.07,Al Fatat vs Fuheis,2025-09-15 23:27:02
Handicap – Game,GS Cosider -8.5,2.09,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,Al Ula +8.5,1.613,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,GS Cosider -9.0,2.18,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,Al Ula +9.0,1.558,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,GS Cosider -9.5,2.26,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,Al Ula +9.5,1.515,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,GS Cosider -10.0,2.35,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,Al Ula +10.0,1.476,Al Ula vs GS Cosider,2025-09-15 23:27:02
Money Line – Game,GS Cosider,1.274,Al Ula vs GS Cosider,2025-09-15 23:27:02
Money Line – Game,Al Ula,3.07,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 153,1.613,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 153,2.11,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 152.5,1.649,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 152.5,2.06,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 152,1.684,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 152,2.0,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 151.5,1.729,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 148,2.1,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 148.5,1.657,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 148.5,2.04,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 149,1.694,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 149,1.99,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 149.5,1.74,Sharjah vs Al Qurain,2025-09-15 23:27:02
Handicap – Game,GS Cosider -8.0,2.01,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 149.5,1.934,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 150,1.884,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 150.5,1.84,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 150.5,1.826,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 151,1.892,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Under 151,1.775,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 151.5,1.952,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 150,1.787,Sharjah vs Al Qurain,2025-09-15 23:27:02
Total – Game,Over 148,1.621,Sharjah vs Al Qurain,2025-09-15 23:27:02
Handicap – Game,Al Ula +7.5,1.751,Al Ula vs GS Cosider,2025-09-15 23:27:02
Handicap – Game,Al Ula +7.0,1.826,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 165,1.558,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Over 165,2.21,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 164.5,1.591,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Over 164.5,2.15,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 164,1.628,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Over 164,2.09,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 163.5,1.666,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Over 163.5,2.03,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 163,1.709,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Over 163,1.97,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 162.5,1.757,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Over 162.5,1.917,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 162,1.813,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Over 162,1.854,Al Ula vs GS Cosider,2025-09-15 23:27:02
Total – Game,Under 161.5,1.862,Al Ula vs GS Cosider,2025-09-15 23:27:02
