Market,Selection,Odds,matchup,timestamp
Money Line – Game,Mehrparsa SC,2.04,Mehrparsa SC vs Niroo Zamini,2025-12-02 02:23:40
Money Line – Game,Niroo Zamini,1.602,Mehrparsa SC vs Niroo Zamini,2025-12-02 02:23:40
Handicap – Game,Mehrparsa SC +2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 02:23:40
Handicap – Game,Niroo Zamini -2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 02:23:40
Total – Game,Over 144.5,1.806,Mehrparsa SC vs Niroo Zamini,2025-12-02 02:23:40
Total – Game,Under 144.5,1.793,Mehrparsa SC vs Niroo Zamini,2025-12-02 02:23:40
Money Line – Game,Mehrparsa SC,2.04,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:28:30
Money Line – Game,Niroo Zamini,1.602,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:28:30
Handicap – Game,Mehrparsa SC +2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:28:30
Handicap – Game,Niroo Zamini -2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:28:30
Total – Game,Over 144.5,1.806,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:28:30
Total – Game,Under 144.5,1.793,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:28:30
Money Line – Game,Mehrparsa SC,2.04,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:57:12
Money Line – Game,Niroo Zamini,1.602,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:57:12
Handicap – Game,Mehrparsa SC +2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:57:12
Handicap – Game,Niroo Zamini -2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:57:12
Total – Game,Over 144.5,1.806,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:57:12
Total – Game,Under 144.5,1.793,Mehrparsa SC vs Niroo Zamini,2025-12-02 04:57:12
Money Line – Game,Mehrparsa SC,2.04,Mehrparsa SC vs Niroo Zamini,2025-12-02 07:32:10
Money Line – Game,Niroo Zamini,1.602,Mehrparsa SC vs Niroo Zamini,2025-12-02 07:32:10
Handicap – Game,Mehrparsa SC +2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 07:32:10
Handicap – Game,Niroo Zamini -2.5,1.8,Mehrparsa SC vs Niroo Zamini,2025-12-02 07:32:10
Total – Game,Over 144.5,1.806,Mehrparsa SC vs Niroo Zamini,2025-12-02 07:32:10
Total – Game,Under 144.5,1.793,Mehrparsa SC vs Niroo Zamini,2025-12-02 07:32:10
Money Line – Game,Mehrparsa SC,2.08,Mehrparsa SC vs Niroo Zamini,2025-12-02 08:12:54
Money Line – Game,Niroo Zamini,1.632,Mehrparsa SC vs Niroo Zamini,2025-12-02 08:12:54
Handicap – Game,Mehrparsa SC +2.5,1.833,Mehrparsa SC vs Niroo Zamini,2025-12-02 08:12:54
Handicap – Game,Niroo Zamini -2.5,1.833,Mehrparsa SC vs Niroo Zamini,2025-12-02 08:12:54
Total – Game,Over 144.5,1.84,Mehrparsa SC vs Niroo Zamini,2025-12-02 08:12:54
Total – Game,Under 144.5,1.826,Mehrparsa SC vs Niroo Zamini,2025-12-02 08:12:54
Money Line – Game,Multicafe Mashhad,1.909,Multicafe Mashhad vs Gheharmanan Javid Zanjan,2025-12-02 08:45:16
Money Line – Game,Gheharmanan Javid Zanjan,1.704,Multicafe Mashhad vs Gheharmanan Javid Zanjan,2025-12-02 08:45:16
Handicap – Game,Multicafe Mashhad +1.5,1.819,Multicafe Mashhad vs Gheharmanan Javid Zanjan,2025-12-02 08:45:16
Handicap – Game,Gheharmanan Javid Zanjan -1.5,1.781,Multicafe Mashhad vs Gheharmanan Javid Zanjan,2025-12-02 08:45:16
Total – Game,Over 143.5,1.806,Multicafe Mashhad vs Gheharmanan Javid Zanjan,2025-12-02 08:45:16
Total – Game,Under 143.5,1.793,Multicafe Mashhad vs Gheharmanan Javid Zanjan,2025-12-02 08:45:16
Money Line – Game,Golnoor Shahr Qods,3.01,Golnoor Shahr Qods vs Mohkamkar Isfahan,2025-12-02 08:45:16
Money Line – Game,Mohkamkar Isfahan,1.244,Golnoor Shahr Qods vs Mohkamkar Isfahan,2025-12-02 08:45:16
