Market,Selection,Odds,matchup,timestamp
Money Line – Game,Tabiat,1.148,Tabiat vs Golnoor Esfahan,2025-10-01 23:02:27
Money Line – Game,Golnoor Esfahan,3.64,Tabiat vs Golnoor Esfahan,2025-10-01 23:02:27
Handicap – Game,Tabiat -8.5,1.763,Tabiat vs Golnoor Esfahan,2025-10-01 23:02:27
Handicap – Game,Golnoor Esfahan +8.5,1.84,Tabiat vs Golnoor Esfahan,2025-10-01 23:02:27
Total – Game,Over 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:02:27
Total – Game,Under 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:02:27
Total – Game,Under 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:32:58
Handicap – Game,Golnoor Esfahan +8.5,1.84,Tabiat vs Golnoor Esfahan,2025-10-01 23:32:58
Total – Game,Over 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:32:58
Money Line – Game,Golnoor Esfahan,3.64,Tabiat vs Golnoor Esfahan,2025-10-01 23:32:58
Money Line – Game,Tabiat,1.148,Tabiat vs Golnoor Esfahan,2025-10-01 23:32:58
Handicap – Game,Tabiat -8.5,1.763,Tabiat vs Golnoor Esfahan,2025-10-01 23:32:58
Money Line – Game,Tabiat,1.148,Tabiat vs Golnoor Esfahan,2025-10-01 23:42:55
Money Line – Game,Golnoor Esfahan,3.64,Tabiat vs Golnoor Esfahan,2025-10-01 23:42:55
Handicap – Game,Tabiat -8.5,1.763,Tabiat vs Golnoor Esfahan,2025-10-01 23:42:55
Handicap – Game,Golnoor Esfahan +8.5,1.84,Tabiat vs Golnoor Esfahan,2025-10-01 23:42:55
Total – Game,Over 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:42:55
Total – Game,Under 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:42:55
Total – Game,Over 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:46:58
Total – Game,Under 158.5,1.8,Tabiat vs Golnoor Esfahan,2025-10-01 23:46:58
Handicap – Game,Golnoor Esfahan +8.5,1.84,Tabiat vs Golnoor Esfahan,2025-10-01 23:46:58
Money Line – Game,Tabiat,1.148,Tabiat vs Golnoor Esfahan,2025-10-01 23:46:58
Money Line – Game,Golnoor Esfahan,3.64,Tabiat vs Golnoor Esfahan,2025-10-01 23:46:58
Handicap – Game,Tabiat -8.5,1.763,Tabiat vs Golnoor Esfahan,2025-10-01 23:46:58
Money Line – Game,Padafand Raad Havaei Dezful,1.675,Padafand Raad Havaei Dezful vs Payesh Part Shahrod,2025-10-15 23:57:10
Money Line – Game,Payesh Part Shahrod,1.943,Padafand Raad Havaei Dezful vs Payesh Part Shahrod,2025-10-15 23:57:10
Handicap – Game,Padafand Raad Havaei Dezful -2.0,1.775,Padafand Raad Havaei Dezful vs Payesh Part Shahrod,2025-10-15 23:57:10
Handicap – Game,Payesh Part Shahrod +2.0,1.819,Padafand Raad Havaei Dezful vs Payesh Part Shahrod,2025-10-15 23:57:10
Total – Game,Over 161.5,1.806,Padafand Raad Havaei Dezful vs Payesh Part Shahrod,2025-10-15 23:57:10
Total – Game,Under 161.5,1.793,Padafand Raad Havaei Dezful vs Payesh Part Shahrod,2025-10-15 23:57:10
Total – Game,Over 153.5,1.806,Golnoor Esfahan vs Naft Abadan,2025-10-19 22:59:33
Total – Game,Under 162.5,1.8,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 22:59:33
Total – Game,Over 162.5,1.8,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 22:59:33
Handicap – Game,Shahrdari Gorgan -4.0,1.787,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 22:59:33
Handicap – Game,Kalleh Mazandaran +4.0,1.813,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 22:59:33
Money Line – Game,Shahrdari Gorgan,1.444,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 22:59:33
Money Line – Game,Kalleh Mazandaran,2.34,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 22:59:33
Handicap – Game,Naft Abadan -10.5,1.806,Golnoor Esfahan vs Naft Abadan,2025-10-19 22:59:33
Total – Game,Under 153.5,1.793,Golnoor Esfahan vs Naft Abadan,2025-10-19 22:59:33
Money Line – Game,Naft Abadan,1.087,Golnoor Esfahan vs Naft Abadan,2025-10-19 22:59:33
Money Line – Game,Golnoor Esfahan,4.36,Golnoor Esfahan vs Naft Abadan,2025-10-19 22:59:33
Handicap – Game,Golnoor Esfahan +10.5,1.793,Golnoor Esfahan vs Naft Abadan,2025-10-19 22:59:33
Total – Game,Under 159.5,1.854,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 22:59:33
Total – Game,Over 159.5,1.746,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 22:59:33
Handicap – Game,Mahgol Alborz +12.0,1.826,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 22:59:33
Handicap – Game,Esteghlal Tehran -12.0,1.775,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 22:59:33
Money Line – Game,Mahgol Alborz,4.5,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 22:59:33
Money Line – Game,Esteghlal Tehran,1.077,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 22:59:33
Total – Game,Under 162.5,1.8,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:07:11
Total – Game,Over 162.5,1.8,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:07:11
Handicap – Game,Shahrdari Gorgan -4.0,1.787,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:07:11
Handicap – Game,Kalleh Mazandaran +4.0,1.813,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:07:11
Money Line – Game,Shahrdari Gorgan,1.444,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:07:11
Money Line – Game,Kalleh Mazandaran,2.34,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:07:11
Total – Game,Under 153.5,1.793,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:07:11
Total – Game,Over 153.5,1.806,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:07:11
Handicap – Game,Naft Abadan -10.5,1.806,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:07:11
Handicap – Game,Golnoor Esfahan +10.5,1.793,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:07:11
Money Line – Game,Naft Abadan,1.087,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:07:11
Money Line – Game,Golnoor Esfahan,4.36,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:07:11
Total – Game,Over 162.5,1.806,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:38:09
Total – Game,Under 162.5,1.793,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:38:09
Handicap – Game,Shahrdari Gorgan -3.0,1.806,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:38:09
Handicap – Game,Kalleh Mazandaran +3.0,1.793,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:38:09
Money Line – Game,Shahrdari Gorgan,1.543,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:38:09
Money Line – Game,Kalleh Mazandaran,2.14,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:38:09
Total – Game,Under 153.5,1.793,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:38:09
Total – Game,Over 153.5,1.806,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:38:09
Handicap – Game,Naft Abadan -10.5,1.806,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:38:09
Money Line – Game,Mahgol Alborz,4.5,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 23:38:09
Money Line – Game,Naft Abadan,1.087,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:38:09
Money Line – Game,Golnoor Esfahan,4.36,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:38:09
Total – Game,Under 159.5,1.854,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 23:38:09
Total – Game,Over 159.5,1.746,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 23:38:09
Handicap – Game,Mahgol Alborz +12.0,1.826,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 23:38:09
Handicap – Game,Esteghlal Tehran -12.0,1.775,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 23:38:09
Money Line – Game,Esteghlal Tehran,1.077,Esteghlal Tehran vs Mahgol Alborz,2025-10-19 23:38:09
Handicap – Game,Golnoor Esfahan +10.5,1.793,Golnoor Esfahan vs Naft Abadan,2025-10-19 23:38:09
Total – Game,Over 162.5,1.806,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:58:13
Money Line – Game,Kalleh Mazandaran,2.14,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:58:13
Money Line – Game,Shahrdari Gorgan,1.543,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:58:13
Handicap – Game,Kalleh Mazandaran +3.0,1.793,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:58:13
Handicap – Game,Shahrdari Gorgan -3.0,1.806,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:58:13
Total – Game,Under 162.5,1.793,Kalleh Mazandaran vs Shahrdari Gorgan,2025-10-19 23:58:13
