team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Elitzur Kiryat Atta,Maccabi Tel-Aviv,https://www.pinnacle.com/en/basketball/israel-cup/elitzur-kiryat-atta-vs-maccabi-tel-aviv/1623068375/,8.34,1.034,18.0,1.787,-18.0,1.952,177.5,1.943,177.5,1.8,2026-02-01 18:32:03
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.74,1.934,-2.0,1.854,2.0,1.813,172.0,1.813,172.0,1.854,2026-02-16 01:52:17
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.74,1.934,-2.0,1.854,2.0,1.813,172.0,1.813,172.0,1.854,2026-02-16 04:23:54
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.74,1.934,-2.0,1.854,2.0,1.813,172.0,1.813,172.0,1.854,2026-02-16 06:02:41
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.74,1.934,-2.0,1.854,2.0,1.813,172.0,1.813,172.0,1.854,2026-02-16 07:00:42
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.763,1.909,-2.0,1.877,2.0,1.793,172.0,1.813,172.0,1.854,2026-02-16 08:00:18
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.763,1.909,-2.0,1.877,2.0,1.793,172.0,1.813,172.0,1.854,2026-02-16 09:33:11
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.763,1.909,-2.0,1.877,2.0,1.793,172.0,1.813,172.0,1.854,2026-02-16 10:30:50
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.763,1.909,-2.0,1.877,2.0,1.793,172.0,1.813,172.0,1.854,2026-02-16 12:00:31
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.8,1.943,-2.0,1.917,2.0,1.826,172.0,1.847,172.0,1.892,2026-02-16 13:02:47
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.781,1.97,-2.0,1.892,2.0,1.847,172.0,1.847,172.0,1.892,2026-02-16 14:02:06
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.806,1.934,-2.0,1.925,2.0,1.813,172.0,1.847,172.0,1.892,2026-02-16 15:50:09
Hapoel Haemek,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-cup/hapoel-haemek-vs-bnei-herzliya/1624107297/,1.806,1.934,-2.0,1.925,+2.0,1.813,172,1.847,172,1.892,2026-02-16 16:20:32
