Market,Selection,Odds,matchup,timestamp
Money Line – Game,Maccabi Raanana,3.11,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 162,2.1,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 162.5,1.657,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 162.5,2.05,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 163,1.694,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 163,1.99,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 163.5,1.735,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 163.5,1.934,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 164,1.787,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 164.5,1.84,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 162,1.621,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 164.5,1.826,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 165,1.775,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 165.5,1.943,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 165.5,1.729,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 166,2.0,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 166,1.689,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 166.5,2.06,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 166.5,1.649,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 167,2.11,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 167,1.617,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Over 165,1.892,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -4.0,1.537,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 164,1.884,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -4.5,1.578,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +4.0,2.22,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +9.0,1.531,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -9.0,2.23,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +8.5,1.574,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -8.5,2.15,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +8.0,1.625,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -8.0,2.07,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +7.5,1.684,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -7.5,1.99,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +7.0,1.751,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Money Line – Game,Bnei Herzliya,1.265,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +6.5,1.833,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -7.0,1.917,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -5.0,1.628,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +5.0,2.06,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -5.5,1.684,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +4.5,2.14,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -6.0,1.757,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +6.0,1.909,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Bnei Herzliya -6.5,1.833,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Handicap – Game,Maccabi Raanana +5.5,1.99,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:02:18
Total – Game,Under 164,1.877,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Over 162.5,1.662,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Under 162.5,2.04,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Over 163,1.699,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Under 163,1.98,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Over 163.5,1.746,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Under 162,2.09,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Under 163.5,1.934,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Over 164,1.793,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
Total – Game,Under 164.5,1.819,Maccabi Raanana vs Bnei Herzliya,2025-09-10 19:25:11
