Market,Selection,Odds,matchup,timestamp
Money Line – Game,Migdal Haemek,1.42,Migdal Haemek vs Maccabi Haifa,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +2.5,2.19,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -3.0,1.657,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +3.0,2.11,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -3.5,1.719,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +3.5,2.03,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -4.0,1.787,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +4.0,1.952,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -4.5,1.833,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +4.5,1.833,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -5.0,1.952,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +5.0,1.787,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -5.5,2.03,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +5.5,1.719,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -6.0,2.11,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +6.0,1.657,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Ironi Nahariya -6.5,2.19,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
Handicap – Game,Hapoel Haifa BC +6.5,1.609,Hapoel Haifa BC vs Ironi Nahariya,2025-10-23 23:44:46
