team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Migdal Haemek,Maccabi Haifa,https://www.pinnacle.com/en/basketball/israel-national-league/migdal-haemek-vs-maccabi-haifa/1617623223/,1.42,2.52,-4.5,1.833,4.5,1.833,169.5,1.833,169.5,1.833,2025-10-23 23:44:46
Hapoel Haifa BC,Ironi Nahariya,https://www.pinnacle.com/en/basketball/israel-national-league/hapoel-haifa-bc-vs-ironi-nahariya/1617628738/,2.52,1.42,4.5,1.833,-4.5,1.833,163.5,1.833,163.5,1.833,2025-10-23 23:44:46
Migdal Haemek,Maccabi Haifa,https://www.pinnacle.com/en/basketball/israel-national-league/migdal-haemek-vs-maccabi-haifa/1617623223/,1.42,2.52,-4.5,1.833,4.5,1.833,169.5,1.833,169.5,1.833,2025-10-23 23:50:35
Hapoel Haifa BC,Ironi Nahariya,https://www.pinnacle.com/en/basketball/israel-national-league/hapoel-haifa-bc-vs-ironi-nahariya/1617628738/,2.52,1.42,4.5,1.833,-4.5,1.833,163.5,1.833,163.5,1.833,2025-10-23 23:50:35
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 11:45:50
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 11:58:14
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 12:09:28
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 12:59:09
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 13:07:06
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 13:42:29
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 14:00:41
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.75,1.174,8.5,1.833,-8.5,1.833,163.5,1.833,163.5,1.833,2025-10-27 14:10:09
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.91,1.197,8.5,1.869,-8.5,1.869,163.5,1.869,163.5,1.869,2025-10-27 14:32:00
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.91,1.197,8.5,1.869,-8.5,1.869,163.5,1.869,163.5,1.869,2025-10-27 14:48:24
Maccabi Kiryat Gat,Hapoel Eilat,https://www.pinnacle.com/en/basketball/israel-national-league/maccabi-kiryat-gat-vs-hapoel-eilat/1617944230/,3.91,1.197,8.5,1.869,-8.5,1.869,163.5,1.869,163.5,1.869,2025-10-27 14:55:24
