team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 22:49:35
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 22:57:56
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 23:04:57
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 23:24:26
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 23:31:02
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 23:42:41
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 23:48:23
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-12 23:56:35
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 00:02:58
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 02:01:57
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 02:08:02
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 03:19:10
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 03:26:35
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 03:54:18
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 04:33:46
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 04:40:04
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 05:28:08
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 05:34:39
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 05:46:51
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.689,2.15,-2.5,1.9,2.5,1.884,160.5,1.833,160.5,1.952,2025-10-13 06:00:52
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 06:43:21
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 06:50:08
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 07:31:03
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 07:45:15
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 07:51:00
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 09:01:53
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 09:35:29
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 09:45:00
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 09:56:47
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 10:05:13
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 10:31:44
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 10:38:09
Maccabi Raanana,Eliztur Ironi Netanya,https://www.pinnacle.com/en/basketball/israel-premier-league/maccabi-raanana-vs-eliztur-ironi-netanya/1617040687/,1.704,2.17,-2.5,1.917,2.5,1.9,160.5,1.847,160.5,1.97,2025-10-13 10:50:57
Elitzur Kiryat Atta,Hapoel Galil Elion,https://www.pinnacle.com/en/basketball/israel-premier-league/elitzur-kiryat-atta-vs-hapoel-galil-elion/1617346138/,1.724,2.13,-3.0,2.02,3.0,1.813,163.0,1.884,163.0,1.934,2025-10-19 17:02:47
Elitzur Kiryat Atta,Hapoel Galil Elion,https://www.pinnacle.com/en/basketball/israel-premier-league/elitzur-kiryat-atta-vs-hapoel-galil-elion/1617346138/,1.724,2.13,-3.0,2.02,3.0,1.813,163.0,1.884,163.0,1.934,2025-10-19 17:28:14
Hapoel Gilboa Galil,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-premier-league/hapoel-gilboa-galil-vs-bnei-herzliya/1617374712/,1.609,2.28,-3.5,1.934,3.5,1.847,166.0,1.909,166.0,1.877,2025-10-19 23:07:40
Hapoel Gilboa Galil,Bnei Herzliya,https://www.pinnacle.com/en/basketball/israel-premier-league/hapoel-gilboa-galil-vs-bnei-herzliya/1617374712/,1.609,2.28,-3.5,1.934,3.5,1.847,166.0,1.909,166.0,1.877,2025-10-19 23:27:08
