team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 09:00:27
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 09:06:26
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 09:33:36
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 09:38:51
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 09:56:45
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 10:01:38
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 10:30:09
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 10:34:59
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 10:49:18
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 10:54:52
Elektra Ramat Hasharon,Elitzur Holon,https://www.pinnacle.com/en/basketball/israel-premier-league-women/elektra-ramat-hasharon-vs-elitzur-holon/1616540387/,1.757,1.917,-1.5,1.833,1.5,1.833,147.5,1.84,147.5,1.826,2025-09-29 10:54:52
Elektra Ramat Hasharon,Elitzur Holon,https://www.pinnacle.com/en/basketball/israel-premier-league-women/elektra-ramat-hasharon-vs-elitzur-holon/1616540387/,1.869,1.793,1.0,1.833,-1.0,1.833,147.5,1.833,147.5,1.833,2025-09-29 11:23:11
Hapoel Ramat Gan/Givataiym,Hapoel Rishon LeZion,https://www.pinnacle.com/en/basketball/israel-premier-league-women/hapoel-ramat-gangivataiym-vs-hapoel-rishon-lezion/1616031478/,1.793,1.877,-1.0,1.833,1.0,1.833,138.0,1.84,138.0,1.826,2025-09-29 11:23:11
Elektra Ramat Hasharon,Elitzur Holon,https://www.pinnacle.com/en/basketball/israel-premier-league-women/elektra-ramat-hasharon-vs-elitzur-holon/1616540387/,,,,,,,,,,,2025-09-29 11:29:21
