Market,Selection,Odds,matchup,timestamp
Money Line – Game,New Basket Brindisi,1.704,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:41:33
Money Line – Game,Rinascita Basket Rimini,1.98,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:41:33
Handicap – Game,New Basket Brindisi -2.0,1.854,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:41:33
Handicap – Game,Rinascita Basket Rimini +2.0,1.806,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:41:33
Total – Game,Over 154,1.84,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:41:33
Total – Game,Under 154,1.826,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:41:33
Money Line – Game,New Basket Brindisi,1.704,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:51:37
Money Line – Game,Rinascita Basket Rimini,1.980,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:51:37
Handicap – Game,New Basket Brindisi -2.0,1.854,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:51:37
Handicap – Game,Rinascita Basket Rimini +2.0,1.806,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:51:37
Total – Game,Over 154,1.840,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:51:37
Total – Game,Under 154,1.826,New Basket Brindisi vs Rinascita Basket Rimini,2026-03-13 19:51:37
