Market,Selection,Odds,matchup,timestamp
Money Line – Game,Virtus Bologna,1.161,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 18:09:50
Money Line – Game,Gevi Napoli Basket,4.92,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 18:09:50
Handicap – Game,Virtus Bologna -10.5,1.917,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 18:09:50
Handicap – Game,Gevi Napoli Basket +10.5,1.9,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 18:09:50
Total – Game,Over 168.5,1.934,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 18:09:50
Total – Game,Under 168.5,1.884,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 18:09:50
Money Line – Game,Virtus Bologna,1.161,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 19:29:55
Money Line – Game,Gevi Napoli Basket,4.920,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 19:29:55
Handicap – Game,Virtus Bologna -10.5,1.917,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 19:29:55
Handicap – Game,Gevi Napoli Basket +10.5,1.900,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 19:29:55
Total – Game,Over 168.5,1.934,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 19:29:55
Total – Game,Under 168.5,1.884,Virtus Bologna vs Gevi Napoli Basket,2026-02-19 19:29:55
