Market,Selection,Odds,matchup,timestamp
Handicap – Game,PF Schio -34.0,1.862,PF Schio vs Dinamo Sassari,2026-01-05 15:40:25
Handicap – Game,Dinamo Sassari +34.0,1.806,PF Schio vs Dinamo Sassari,2026-01-05 15:40:25
Total – Game,Over 145,1.833,PF Schio vs Dinamo Sassari,2026-01-05 15:40:25
Total – Game,Under 145,1.833,PF Schio vs Dinamo Sassari,2026-01-05 15:40:25
Handicap – Game,PF Schio -34.0,1.862,PF Schio vs Dinamo Sassari,2026-01-05 15:55:00
Handicap – Game,Dinamo Sassari +34.0,1.806,PF Schio vs Dinamo Sassari,2026-01-05 15:55:00
Total – Game,Over 145,1.833,PF Schio vs Dinamo Sassari,2026-01-05 15:55:00
Total – Game,Under 145,1.833,PF Schio vs Dinamo Sassari,2026-01-05 15:55:00
Handicap – Game,PF Schio -34.0,1.862,PF Schio vs Dinamo Sassari,2026-01-05 16:16:56
Handicap – Game,Dinamo Sassari +34.0,1.806,PF Schio vs Dinamo Sassari,2026-01-05 16:16:56
Total – Game,Over 145,1.833,PF Schio vs Dinamo Sassari,2026-01-05 16:16:56
Total – Game,Under 145,1.833,PF Schio vs Dinamo Sassari,2026-01-05 16:16:56
Money Line – Game,BCC Derthona Basket,3.97,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 16:16:56
Money Line – Game,Reyer Venezia Mestre,1.151,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 16:16:56
Handicap – Game,BCC Derthona Basket +9.5,1.8,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 16:16:56
Handicap – Game,Reyer Venezia Mestre -9.5,1.862,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 16:16:56
Total – Game,Over 135.5,1.84,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 16:16:56
Total – Game,Under 135.5,1.826,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 16:16:56
Handicap – Game,PF Schio -34.0,1.909,PF Schio vs Dinamo Sassari,2026-01-05 16:42:42
Handicap – Game,Dinamo Sassari +34.0,1.763,PF Schio vs Dinamo Sassari,2026-01-05 16:42:42
Total – Game,Over 145,1.847,PF Schio vs Dinamo Sassari,2026-01-05 16:42:42
Total – Game,Under 145,1.819,PF Schio vs Dinamo Sassari,2026-01-05 16:42:42
Handicap – Game,PF Schio -34.0,1.909,PF Schio vs Dinamo Sassari,2026-01-05 17:05:04
Handicap – Game,Dinamo Sassari +34.0,1.763,PF Schio vs Dinamo Sassari,2026-01-05 17:05:04
Total – Game,Over 145,1.847,PF Schio vs Dinamo Sassari,2026-01-05 17:05:04
Total – Game,Under 145,1.819,PF Schio vs Dinamo Sassari,2026-01-05 17:05:04
Money Line – Game,BCC Derthona Basket,3.97,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 17:05:04
Money Line – Game,Reyer Venezia Mestre,1.151,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 17:05:04
Handicap – Game,BCC Derthona Basket +9.5,1.8,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 17:05:04
Handicap – Game,Reyer Venezia Mestre -9.5,1.862,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 17:05:04
Total – Game,Over 135.5,1.84,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 17:05:04
Total – Game,Under 135.5,1.826,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 17:05:04
Money Line – Game,BCC Derthona Basket,3.2,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 19:44:46
Money Line – Game,Reyer Venezia Mestre,1.25,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 19:44:46
Handicap – Game,BCC Derthona Basket +7.0,1.84,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 19:44:46
Handicap – Game,Reyer Venezia Mestre -7.0,1.826,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 19:44:46
Total – Game,Over 135.5,1.869,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 19:44:46
Total – Game,Under 135.5,1.8,BCC Derthona Basket vs Reyer Venezia Mestre,2026-01-05 19:44:46
Money Line – Game,PF Schio,1.019,PF Schio vs BCC Derthona Basket,2026-01-06 17:52:06
Money Line – Game,BCC Derthona Basket,7.7,PF Schio vs BCC Derthona Basket,2026-01-06 17:52:06
Handicap – Game,PF Schio -18.5,1.854,PF Schio vs BCC Derthona Basket,2026-01-06 17:52:06
Handicap – Game,BCC Derthona Basket +18.5,1.813,PF Schio vs BCC Derthona Basket,2026-01-06 17:52:06
Total – Game,Over 139.5,1.854,PF Schio vs BCC Derthona Basket,2026-01-06 17:52:06
Total – Game,Under 139.5,1.806,PF Schio vs BCC Derthona Basket,2026-01-06 17:52:06
Money Line – Game,PF Schio,1.023,PF Schio vs BCC Derthona Basket,2026-01-06 18:56:39
Money Line – Game,BCC Derthona Basket,7.32,PF Schio vs BCC Derthona Basket,2026-01-06 18:56:39
Handicap – Game,PF Schio -16.5,1.781,PF Schio vs BCC Derthona Basket,2026-01-06 18:56:39
Handicap – Game,BCC Derthona Basket +16.5,1.884,PF Schio vs BCC Derthona Basket,2026-01-06 18:56:39
Total – Game,Over 140.5,1.813,PF Schio vs BCC Derthona Basket,2026-01-06 18:56:39
Total – Game,Under 140.5,1.854,PF Schio vs BCC Derthona Basket,2026-01-06 18:56:39
Money Line – Game,PF Schio,1.023,PF Schio vs BCC Derthona Basket,2026-01-06 19:12:27
Money Line – Game,BCC Derthona Basket,7.320,PF Schio vs BCC Derthona Basket,2026-01-06 19:12:27
Handicap – Game,PF Schio -16.5,1.781,PF Schio vs BCC Derthona Basket,2026-01-06 19:12:27
Handicap – Game,BCC Derthona Basket +16.5,1.884,PF Schio vs BCC Derthona Basket,2026-01-06 19:12:27
Total – Game,Over 140.5,1.813,PF Schio vs BCC Derthona Basket,2026-01-06 19:12:27
Total – Game,Under 140.5,1.854,PF Schio vs BCC Derthona Basket,2026-01-06 19:12:27
