team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Roseto,Geas San Sesto Giovanni,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/roseto-vs-geas-san-sesto-giovanni/1617192635/,2.97,1.342,5.5,1.877,-5.5,1.862,137.5,1.9,137.5,1.833,2025-10-12 18:34:53
Magnolia Basket,Castelnuovo Scrivia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/magnolia-basket-vs-castelnuovo-scrivia/1617575699/,1.022,9.62,-19.5,1.862,19.5,1.877,138.0,1.862,138.0,1.877,2025-10-19 17:03:12
Magnolia Basket,Castelnuovo Scrivia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/magnolia-basket-vs-castelnuovo-scrivia/1617575699/,1.022,9.62,-19.5,1.862,19.5,1.877,138.0,1.862,138.0,1.877,2025-10-19 17:28:23
Magnolia Basket,Castelnuovo Scrivia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/magnolia-basket-vs-castelnuovo-scrivia/1617575699/,1.022,9.62,-19.5,1.862,19.5,1.877,138.0,1.862,138.0,1.877,2025-10-19 17:45:08
Magnolia Basket,Castelnuovo Scrivia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/magnolia-basket-vs-castelnuovo-scrivia/1617575699/,1.022,9.62,-19.5,1.862,19.5,1.877,138.0,1.862,138.0,1.877,2025-10-19 17:57:51
Magnolia Basket,Castelnuovo Scrivia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/magnolia-basket-vs-castelnuovo-scrivia/1617575699/,1.022,9.62,-19.5,1.862,19.5,1.877,138.0,1.862,138.0,1.877,2025-10-19 18:05:18
Magnolia Basket,Castelnuovo Scrivia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/magnolia-basket-vs-castelnuovo-scrivia/1617575699/,1.021,9.77,-19.5,1.833,19.5,1.909,138.0,1.862,138.0,1.877,2025-10-19 18:36:45
Broni,Reyer Venezia Mestre,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/broni-vs-reyer-venezia-mestre/1620564535/,10.14,1.019,21.5,1.892,-21.5,1.847,139.0,1.862,139.0,1.877,2025-12-03 19:05:48
Brixia Basket,Battipaglia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/brixia-basket-vs-battipaglia/1620565432/,1.495,2.46,-4.5,1.862,4.5,1.877,137.0,1.9,137.0,1.84,2025-12-03 19:05:48
Magnolia Basket,Polisportiva A Galli San Giovanni Valdarno,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/magnolia-basket-vs-polisportiva-a-galli-san-giovanni-valdarno/1621139977/,1.084,5.8,-12.0,1.869,12.0,1.869,129.0,1.934,129.0,1.813,2025-12-14 19:36:53
PF Schio,ASD San Martino di Lupari,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/pf-schio-vs-asd-san-martino-di-lupari/1621671938/,,,-32.0,1.847,32.0,1.892,153.0,1.847,153.0,1.892,2025-12-29 17:17:25
PF Schio,ASD San Martino di Lupari,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/pf-schio-vs-asd-san-martino-di-lupari/1621671938/,,,-32.0,1.847,32.0,1.892,153.0,1.847,153.0,1.892,2025-12-29 17:36:51
PF Schio,ASD San Martino di Lupari,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/pf-schio-vs-asd-san-martino-di-lupari/1621671938/,,,-32.0,1.892,32.0,1.847,153.0,1.943,153.0,1.8,2025-12-29 17:53:18
PF Schio,ASD San Martino di Lupari,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/pf-schio-vs-asd-san-martino-di-lupari/1621671938/,,,-28.5,1.787,28.5,1.961,147.5,1.819,147.5,1.917,2025-12-29 18:58:01
Reyer Venezia Mestre,Castelnuovo Scrivia,https://www.pinnacle.com/en/basketball/italy-lega-a1-women/reyer-venezia-mestre-vs-castelnuovo-scrivia/1622446124/,1.037,8.02,-16.0,1.854,16.0,1.884,140.0,1.862,140.0,1.877,2026-01-18 17:52:03
