team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Urania Milano,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-serie-a2/urania-milano-vs-rinascita-basket-rimini/1615569963/,2.29,1.628,3.0,1.925,-3.0,1.892,156.0,1.877,156.0,1.934,2025-09-20 16:30:38
Juvi Cremona Ferraroni,Pallacanestro 2.015 Forli,https://www.pinnacle.com/en/basketball/italy-serie-a2/juvi-cremona-ferraroni-vs-pallacanestro-2015-forli/1615569964/,2.06,1.781,2.0,1.884,-2.0,1.934,162.0,1.925,162.0,1.892,2025-09-20 16:30:38
Urania Milano,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-serie-a2/urania-milano-vs-rinascita-basket-rimini/1615569963/,2.29,1.628,3.0,1.925,-3.0,1.892,156.0,1.877,156.0,1.934,2025-09-20 16:49:30
Juvi Cremona Ferraroni,Pallacanestro 2.015 Forli,https://www.pinnacle.com/en/basketball/italy-serie-a2/juvi-cremona-ferraroni-vs-pallacanestro-2015-forli/1615569964/,2.06,1.781,2.0,1.884,-2.0,1.934,162.0,1.925,162.0,1.892,2025-09-20 16:49:30
Urania Milano,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-serie-a2/urania-milano-vs-rinascita-basket-rimini/1615569963/,2.29,1.628,3.0,1.925,-3.0,1.892,156.0,1.877,156.0,1.934,2025-09-20 17:00:57
Juvi Cremona Ferraroni,Pallacanestro 2.015 Forli,https://www.pinnacle.com/en/basketball/italy-serie-a2/juvi-cremona-ferraroni-vs-pallacanestro-2015-forli/1615569964/,2.06,1.781,2.0,1.884,-2.0,1.934,162.0,1.925,162.0,1.892,2025-09-20 17:00:57
Urania Milano,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-serie-a2/urania-milano-vs-rinascita-basket-rimini/1615569963/,2.29,1.628,3.0,1.925,-3.0,1.892,156.0,1.877,156.0,1.934,2025-09-20 17:23:29
Juvi Cremona Ferraroni,Pallacanestro 2.015 Forli,https://www.pinnacle.com/en/basketball/italy-serie-a2/juvi-cremona-ferraroni-vs-pallacanestro-2015-forli/1615569964/,2.06,1.781,2.0,1.884,-2.0,1.934,162.0,1.925,162.0,1.892,2025-09-20 17:23:29
Urania Milano,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-serie-a2/urania-milano-vs-rinascita-basket-rimini/1615569963/,2.29,1.628,3.0,1.925,-3.0,1.892,156.0,1.877,156.0,1.934,2025-09-20 17:43:04
Juvi Cremona Ferraroni,Pallacanestro 2.015 Forli,https://www.pinnacle.com/en/basketball/italy-serie-a2/juvi-cremona-ferraroni-vs-pallacanestro-2015-forli/1615569964/,2.06,1.781,2.0,1.884,-2.0,1.934,162.0,1.925,162.0,1.892,2025-09-20 17:43:04
Juvi Cremona Ferraroni,Pallacanestro 2.015 Forli,https://www.pinnacle.com/en/basketball/italy-serie-a2/juvi-cremona-ferraroni-vs-pallacanestro-2015-forli/1615569964/,2.06,1.781,2.0,1.884,-2.0,1.934,162.0,1.925,162.0,1.892,2025-09-20 17:47:28
Urania Milano,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-serie-a2/urania-milano-vs-rinascita-basket-rimini/1615569963/,2.29,1.628,3.0,1.925,-3.0,1.892,156.0,1.877,156.0,1.934,2025-09-20 17:47:28
Pallacanestro Roseto,Fortitudo Bologna,https://www.pinnacle.com/en/basketball/italy-serie-a2/pallacanestro-roseto-vs-fortitudo-bologna/1615926563/,2.32,1.613,3.5,1.869,-3.5,1.952,149.5,1.869,149.5,1.952,2025-09-21 16:30:35
Pallacanestro Roseto,Fortitudo Bologna,https://www.pinnacle.com/en/basketball/italy-serie-a2/pallacanestro-roseto-vs-fortitudo-bologna/1615926563/,2.32,1.613,3.5,1.869,-3.5,1.952,149.5,1.869,149.5,1.952,2025-09-21 16:46:54
Pallacanestro Roseto,Fortitudo Bologna,https://www.pinnacle.com/en/basketball/italy-serie-a2/pallacanestro-roseto-vs-fortitudo-bologna/1615926563/,2.32,1.613,3.5,1.869,-3.5,1.952,149.5,1.869,149.5,1.952,2025-09-21 16:50:59
Pallacanestro Roseto,Fortitudo Bologna,https://www.pinnacle.com/en/basketball/italy-serie-a2/pallacanestro-roseto-vs-fortitudo-bologna/1615926563/,2.32,1.613,3.5,1.869,-3.5,1.952,149.5,1.869,149.5,1.952,2025-09-21 17:00:30
Pallacanestro Roseto,Fortitudo Bologna,https://www.pinnacle.com/en/basketball/italy-serie-a2/pallacanestro-roseto-vs-fortitudo-bologna/1615926563/,2.32,1.613,3.5,1.869,-3.5,1.952,149.5,1.961,149.5,1.854,2025-09-21 17:06:56
Pallacanestro Roseto,Fortitudo Bologna,https://www.pinnacle.com/en/basketball/italy-serie-a2/pallacanestro-roseto-vs-fortitudo-bologna/1615926563/,2.32,1.613,3.5,1.869,-3.5,1.952,149.5,1.961,149.5,1.854,2025-09-21 17:24:10
Pallacanestro Roseto,Fortitudo Bologna,https://www.pinnacle.com/en/basketball/italy-serie-a2/pallacanestro-roseto-vs-fortitudo-bologna/1615926563/,2.32,1.613,3.5,1.869,-3.5,1.952,149.5,1.961,149.5,1.854,2025-09-21 17:29:03
Real Sebastiani Rieti,Del.Fes Avellino,https://www.pinnacle.com/en/basketball/italy-serie-a2/real-sebastiani-rieti-vs-delfes-avellino/1615945478/,1.724,2.14,-2.5,1.943,2.5,1.877,156.5,1.917,156.5,1.9,2025-09-24 01:59:24
