Market,Selection,Odds,matchup,timestamp
Money Line – Game,ASD Basket Costa,1.109,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Money Line – Game,Virtus Cagliari,4.51,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -8.5,1.549,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +8.5,2.2,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -9.0,1.591,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +9.0,2.12,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -9.5,1.641,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +9.5,2.04,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -10.0,1.704,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +10.0,1.97,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -10.5,1.769,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +10.5,1.892,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -11.0,1.854,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +11.0,1.813,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -11.5,1.934,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +11.5,1.735,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -12.0,2.01,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +12.0,1.666,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -12.5,2.09,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +12.5,1.609,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -13.0,2.17,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +13.0,1.561,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,ASD Basket Costa -13.5,2.25,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Handicap – Game,Virtus Cagliari +13.5,1.52,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 126,1.606,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 126,2.13,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 126.5,1.641,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 126.5,2.07,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 127,1.675,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 127,2.02,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 127.5,1.719,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 127.5,1.961,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 128,1.763,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 128,1.909,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 128.5,1.819,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 128.5,1.847,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 129,1.869,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 129,1.793,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 129.5,1.925,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 129.5,1.746,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 130,1.98,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 130,1.704,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 130.5,2.03,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 130.5,1.666,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Over 131,2.08,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Total – Game,Under 131,1.632,ASD Basket Costa vs Virtus Cagliari,2025-11-25 05:48:13
Money Line – Game,ASD Basket Costa,1.109,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Money Line – Game,Virtus Cagliari,4.51,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -8.5,1.549,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +8.5,2.2,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -9.0,1.591,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +9.0,2.12,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -9.5,1.641,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +9.5,2.04,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -10.0,1.704,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +10.0,1.97,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -10.5,1.769,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +10.5,1.892,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -11.0,1.854,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +11.0,1.813,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -11.5,1.934,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +11.5,1.735,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -12.0,2.01,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +12.0,1.666,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -12.5,2.09,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +12.5,1.609,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -13.0,2.17,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +13.0,1.561,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,ASD Basket Costa -13.5,2.25,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Handicap – Game,Virtus Cagliari +13.5,1.52,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 126,1.606,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 126,2.13,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 126.5,1.641,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 126.5,2.07,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 127,1.675,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 127,2.02,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 127.5,1.719,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 127.5,1.961,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 128,1.763,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 128,1.909,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 128.5,1.819,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 128.5,1.847,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 129,1.869,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 129,1.793,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 129.5,1.925,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 129.5,1.746,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 130,1.98,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 130,1.704,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 130.5,2.03,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 130.5,1.666,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Over 131,2.08,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Total – Game,Under 131,1.632,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:02:25
Money Line – Game,ASD Basket Costa,1.109,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Money Line – Game,Virtus Cagliari,4.51,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -8.5,1.549,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +8.5,2.2,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -9.0,1.591,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +9.0,2.12,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -9.5,1.641,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +9.5,2.04,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -10.0,1.704,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +10.0,1.97,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -10.5,1.769,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +10.5,1.892,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -11.0,1.854,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +11.0,1.813,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -11.5,1.934,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +11.5,1.735,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -12.0,2.01,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +12.0,1.666,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,ASD Basket Costa -12.5,2.09,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
Handicap – Game,Virtus Cagliari +12.5,1.609,ASD Basket Costa vs Virtus Cagliari,2025-11-25 06:54:47
