Market,Selection,Odds,matchup,timestamp
Money Line – Game,Fortitudo Bologna,2.17,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 151.5,2.13,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 152,1.699,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 152,2.07,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 152.5,1.74,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 152.5,2.02,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 153,1.781,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 153,1.961,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 153.5,1.833,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 154,1.884,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 151.5,1.662,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 154,1.854,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 154.5,1.8,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 155,2.0,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 155,1.757,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 155.5,2.05,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 155.5,1.714,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 156,2.11,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 156,1.675,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 156.5,2.17,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 156.5,1.641,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Over 154.5,1.943,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Rinascita Basket Rimini +1.0,1.546,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Total – Game,Under 153.5,1.909,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Rinascita Basket Rimini -1.0,1.609,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Fortitudo Bologna -1.0,2.31,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Fortitudo Bologna +5.5,1.555,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Rinascita Basket Rimini -5.5,2.29,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Fortitudo Bologna +5.0,1.598,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Rinascita Basket Rimini -5.0,2.21,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Fortitudo Bologna +4.5,1.645,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Rinascita Basket Rimini -4.5,2.13,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
Handicap – Game,Fortitudo Bologna +4.0,1.704,Fortitudo Bologna vs Rinascita Basket Rimini,2025-09-12 16:46:34
