team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 16:39:40
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 16:46:34
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 16:57:54
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 17:10:19
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 17:20:28
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 17:28:00
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 17:36:30
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 17:42:34
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 17:50:06
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 17:55:17
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 18:03:27
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 18:22:22
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.17,1.636,3.0,1.854,-3.0,1.884,154,1.884,154,1.854,2025-09-12 18:28:37
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.08,1.699,2.0,1.909,-2.0,1.833,154,1.892,154,1.847,2025-09-12 18:40:05
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.08,1.699,2.0,1.909,-2.0,1.833,154,1.892,154,1.847,2025-09-12 18:44:26
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.08,1.699,2.0,1.909,-2.0,1.833,154,1.892,154,1.847,2025-09-12 18:51:12
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.08,1.699,2.0,1.909,-2.0,1.833,154,1.892,154,1.847,2025-09-12 18:55:15
Fortitudo Bologna,Rinascita Basket Rimini,https://www.pinnacle.com/en/basketball/italy-super-coppa-a2/fortitudo-bologna-vs-rinascita-basket-rimini/1615124455/,2.08,1.699,2.0,1.909,-2.0,1.833,154,1.892,154,1.847,2025-09-12 19:01:54
