Market,Selection,Odds,matchup,timestamp
Money Line – Game,Pelle Livorno,1.854,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 147,2.11,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 147.5,1.649,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 147.5,2.05,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 148,1.689,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 148,2.0,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 148.5,1.729,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 148.5,1.943,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 149,1.775,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 149.5,1.833,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 147,1.617,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 149.5,1.833,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 150,1.781,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 150.5,1.943,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 150.5,1.735,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 151,1.99,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 151,1.694,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 151.5,2.05,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 151.5,1.657,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 152,2.1,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 152,1.621,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 150,1.884,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini +3.0,1.51,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Under 149,1.892,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini +2.5,1.549,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno -3.0,2.27,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno +3.5,1.52,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini -3.5,2.25,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno +3.0,1.561,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini -3.0,2.17,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno +2.5,1.609,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini -2.5,2.09,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno +2.0,1.68,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini -2.0,2.0,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno +1.5,1.763,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Money Line – Game,Herons Basket Montecatini,1.813,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno +1.0,1.826,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini -1.5,1.9,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini +2.0,1.606,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno -2.0,2.1,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini +1.5,1.671,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno -2.5,2.19,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini +1.0,1.724,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno -1.0,1.943,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Herons Basket Montecatini -1.0,1.84,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Handicap – Game,Pelle Livorno -1.5,2.01,Pelle Livorno vs Herons Basket Montecatini,2025-09-13 15:28:55
Total – Game,Over 151.5,1.854,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 149.5,2.03,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 150,1.709,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 150,1.98,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 150.5,1.751,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 150.5,1.925,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 149.5,1.671,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 151,1.8,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 151,1.869,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 151.5,1.813,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 153,2.02,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 152,1.763,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 152.5,1.961,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 152.5,1.719,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 153,1.675,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 153.5,2.07,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 153.5,1.636,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 154,2.13,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 154,1.602,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 149,1.632,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 152,1.909,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -1.5,1.518,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Under 149,2.08,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -2.0,1.568,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +1.5,2.26,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Money Line – Game,Herons Basket Montecatini,1.602,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +6.5,1.534,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -6.5,2.22,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +6.0,1.578,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -6.0,2.14,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +5.5,1.625,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -5.5,2.07,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +5.0,1.684,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -5.0,1.99,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +4.5,1.751,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Money Line – Game,Treviglio Brianza,2.13,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +4.0,1.833,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -4.0,1.833,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +3.5,1.909,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -3.5,1.751,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +3.0,1.99,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -3.0,1.684,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +2.5,2.07,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -2.5,1.625,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Herons Basket Montecatini -4.5,1.909,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Handicap – Game,Treviglio Brianza +2.0,2.16,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 13:12:23
Total – Game,Over 151,1.8,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 150.5,1.925,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 150.5,1.751,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 149.5,1.671,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 150,1.709,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 149.5,2.03,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 151,1.869,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 149,2.08,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 150,1.98,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 151.5,1.854,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 152.5,1.961,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 152,1.909,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 152,1.763,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 152.5,1.719,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 153,2.02,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 153,1.675,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 153.5,2.07,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 153.5,1.636,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 154,2.13,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 149,1.632,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 154,1.602,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Under 151.5,1.813,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -1.5,1.507,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +3.5,1.925,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -2.0,1.558,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Money Line – Game,Treviglio Brianza,2.15,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Money Line – Game,Herons Basket Montecatini,1.591,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +6.5,1.543,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -6.5,2.21,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +6.0,1.588,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -6.0,2.13,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +5.5,1.636,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +1.5,2.27,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +5.0,1.694,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -5.0,1.98,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -5.5,2.05,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -4.5,1.9,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +4.0,1.847,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -4.0,1.819,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -3.5,1.74,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +3.0,2.0,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -3.0,1.675,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +2.5,2.08,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Herons Basket Montecatini -2.5,1.617,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +2.0,2.18,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Handicap – Game,Treviglio Brianza +4.5,1.763,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:03:08
Total – Game,Over 151.5,1.9,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:27:18
Money Line – Game,Treviglio Brianza,2.48,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:27:18
Money Line – Game,Herons Basket Montecatini,1.483,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:27:18
Handicap – Game,Treviglio Brianza +4.0,1.884,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:27:18
Handicap – Game,Herons Basket Montecatini -4.0,1.854,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:27:18
Total – Game,Under 151.5,1.84,Treviglio Brianza vs Herons Basket Montecatini,2025-09-14 15:27:18
