team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Gema Montecatini,Treviglio Brianza,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/gema-montecatini-vs-treviglio-brianza/1615281145/,1.103,4.62,-10.5,1.833,10.5,1.833,150.5,1.84,150.5,1.826,2025-09-13 14:49:58
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,2.08,1.632,2.5,1.833,-2.5,1.833,147.5,1.84,147.5,1.826,2025-09-13 14:49:58
Gema Montecatini,Treviglio Brianza,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/gema-montecatini-vs-treviglio-brianza/1615281145/,1.103,4.62,-10.5,1.833,10.5,1.833,150.5,1.847,150.5,1.819,2025-09-13 15:04:18
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,2.08,1.632,2.5,1.833,-2.5,1.833,147.5,1.84,147.5,1.826,2025-09-13 15:04:18
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,2.08,1.632,2.5,1.833,-2.5,1.833,147.5,1.84,147.5,1.826,2025-09-13 15:28:55
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.854,1.813,1.0,1.826,-1.0,1.84,149.5,1.833,149.5,1.833,2025-09-13 15:49:08
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.854,1.813,1.0,1.826,-1.0,1.84,149.5,1.833,149.5,1.833,2025-09-13 16:03:38
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.854,1.813,1.0,1.826,-1.0,1.84,149.5,1.833,149.5,1.833,2025-09-13 16:12:22
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.854,1.813,1.0,1.826,-1.0,1.84,149.5,1.833,149.5,1.833,2025-09-13 16:48:57
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.854,1.813,1.0,1.826,-1.0,1.84,149.5,1.833,149.5,1.833,2025-09-13 17:01:18
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.892,1.847,1.0,1.862,-1.0,1.877,149.5,1.869,149.5,1.869,2025-09-13 17:23:48
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.892,1.847,1.0,1.862,-1.0,1.877,149.5,1.869,149.5,1.869,2025-09-13 17:45:00
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.892,1.847,1.0,1.862,-1.0,1.877,149.5,1.869,149.5,1.869,2025-09-13 17:59:26
Pelle Livorno,Herons Basket Montecatini,https://www.pinnacle.com/en/basketball/italy-super-coppa-serie-b/pelle-livorno-vs-herons-basket-montecatini/1615281144/,1.892,1.847,1.0,1.862,-1.0,1.877,149.5,1.869,149.5,1.869,2025-09-13 18:33:02
