team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 22:45:27
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 22:57:00
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 23:02:32
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 23:25:20
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 23:33:03
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 23:43:00
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 23:47:03
Veltex Shizuoka,Rizing Fukuoka,https://www.pinnacle.com/en/basketball/japan-b2-league/veltex-shizuoka-vs-rizing-fukuoka/1616544363/,1.99,1.694,2.0,1.826,-2.0,1.84,153.5,1.869,153.5,1.8,2025-10-01 23:57:12
Yokohama Excellence,Kagoshima Rebnise,https://www.pinnacle.com/en/basketball/japan-b2-league/yokohama-excellence-vs-kagoshima-rebnise/1617194192/,1.392,2.61,-6.0,1.869,6.0,1.8,161.5,1.826,161.5,1.84,2025-10-12 22:49:45
Yokohama Excellence,Kagoshima Rebnise,https://www.pinnacle.com/en/basketball/japan-b2-league/yokohama-excellence-vs-kagoshima-rebnise/1617194192/,1.392,2.61,-6.0,1.869,6.0,1.8,161.5,1.826,161.5,1.84,2025-10-12 22:58:21
Yokohama Excellence,Kagoshima Rebnise,https://www.pinnacle.com/en/basketball/japan-b2-league/yokohama-excellence-vs-kagoshima-rebnise/1617194192/,1.392,2.61,-6.0,1.869,6.0,1.8,161.5,1.826,161.5,1.84,2025-10-12 23:05:22
Yokohama Excellence,Kagoshima Rebnise,https://www.pinnacle.com/en/basketball/japan-b2-league/yokohama-excellence-vs-kagoshima-rebnise/1617194192/,1.392,2.61,-6.0,1.869,6.0,1.8,161.5,1.826,161.5,1.84,2025-10-12 23:24:50
Yokohama Excellence,Kagoshima Rebnise,https://www.pinnacle.com/en/basketball/japan-b2-league/yokohama-excellence-vs-kagoshima-rebnise/1617194192/,1.393,2.6,-6.0,1.877,6.0,1.793,161.5,1.917,161.5,1.757,2025-10-12 23:31:11
