Market,Selection,Odds,matchup,timestamp
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:49:40
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:49:40
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:49:40
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:49:40
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:49:40
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:49:40
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:58:17
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:58:17
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:58:17
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:58:17
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:58:17
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 22:58:17
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:05:17
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:05:17
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:05:17
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:05:17
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:05:17
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:05:17
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:31:07
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:31:07
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:31:07
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:31:07
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:31:07
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:31:07
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:43:02
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:43:02
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:43:02
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:43:02
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:43:02
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:43:02
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:48:28
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:48:28
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:48:28
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:48:28
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:48:28
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:48:28
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:56:40
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:56:40
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:56:40
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:56:40
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:56:40
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-12 23:56:40
Money Line – Game,Shiga Lake Stars,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 00:03:03
Money Line – Game,Kyoto Hannaryz,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 00:03:03
Handicap – Game,Shiga Lake Stars +1.0,1.819,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 00:03:03
Handicap – Game,Kyoto Hannaryz -1.0,1.97,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 00:03:03
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 00:03:03
Total – Game,Under 165,1.862,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 00:03:03
Total – Game,Under 165,1.892,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 02:02:01
Total – Game,Over 165,1.925,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 02:02:01
Handicap – Game,Kyoto Hannaryz -1.0,1.99,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 02:02:01
Money Line – Game,Shiga Lake Stars,1.877,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 02:02:01
Money Line – Game,Kyoto Hannaryz,1.943,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 02:02:01
Handicap – Game,Shiga Lake Stars +1.0,1.833,Shiga Lake Stars vs Kyoto Hannaryz,2025-10-13 02:02:01
