team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 22:49:40
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 22:58:17
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 23:05:17
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 23:24:31
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 23:31:07
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 23:43:02
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 23:48:28
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-12 23:56:40
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.862,1.925,1.0,1.819,-1.0,1.97,165.0,1.925,165.0,1.862,2025-10-13 00:03:03
Shiga Lake Stars,Kyoto Hannaryz,https://www.pinnacle.com/en/basketball/japan-b-league/shiga-lake-stars-vs-kyoto-hannaryz/1617083786/,1.877,1.943,1.0,1.833,-1.0,1.99,165.0,1.925,165.0,1.892,2025-10-13 02:02:01
