Market,Selection,Odds,matchup,timestamp
Money Line – Game,Denso Iris,1.833,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:01:22
Money Line – Game,Fujitsu Red Wave,1.909,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:01:22
Handicap – Game,Denso Iris -1.0,1.862,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:01:22
Handicap – Game,Fujitsu Red Wave +1.0,1.877,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:01:22
Total – Game,Over 128.5,1.892,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:01:22
Total – Game,Under 128.5,1.847,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:01:22
Money Line – Game,Denso Iris,1.833,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:34:29
Money Line – Game,Fujitsu Red Wave,1.909,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:34:29
Handicap – Game,Denso Iris -1.0,1.862,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:34:29
Handicap – Game,Fujitsu Red Wave +1.0,1.877,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:34:29
Total – Game,Over 128.5,1.892,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:34:29
Total – Game,Under 128.5,1.847,Denso Iris vs Fujitsu Red Wave,2026-03-29 23:34:29
Money Line – Game,Toyota Antelopes,1.349,Toyota Antelopes vs Toyota Boshoku Sunshine Rabbits,2026-03-29 23:34:29
Money Line – Game,Toyota Boshoku Sunshine Rabbits,2.930,Toyota Antelopes vs Toyota Boshoku Sunshine Rabbits,2026-03-29 23:34:29
Handicap – Game,Toyota Antelopes -5.5,1.869,Toyota Antelopes vs Toyota Boshoku Sunshine Rabbits,2026-03-29 23:34:29
Handicap – Game,Toyota Boshoku Sunshine Rabbits +5.5,1.869,Toyota Antelopes vs Toyota Boshoku Sunshine Rabbits,2026-03-29 23:34:29
Total – Game,Over 128.5,1.869,Toyota Antelopes vs Toyota Boshoku Sunshine Rabbits,2026-03-29 23:34:29
Total – Game,Under 128.5,1.869,Toyota Antelopes vs Toyota Boshoku Sunshine Rabbits,2026-03-29 23:34:29
