team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.4,1.318,7.0,1.909,-7.0,1.892,124.0,1.917,124.0,1.884,2025-11-17 06:45:00
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.43,1.314,7.0,1.917,-7.0,1.884,124.0,1.925,124.0,1.877,2025-11-17 06:59:09
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.51,1.302,7.0,1.952,-7.0,1.854,124.0,1.925,124.0,1.877,2025-11-17 07:35:39
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.2,1.352,6.5,1.847,-6.5,1.952,124.0,1.961,124.0,1.84,2025-11-17 07:45:03
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.25,1.341,6.5,1.884,-6.5,1.917,124.0,1.97,124.0,1.833,2025-11-17 07:59:58
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.36,1.324,6.5,1.917,-6.5,1.884,122.5,1.826,122.5,1.98,2025-11-17 09:04:27
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.36,1.324,6.5,1.917,-6.5,1.884,122.5,1.826,122.5,1.98,2025-11-17 09:16:02
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.39,1.319,6.5,1.925,-6.5,1.877,122.5,1.833,122.5,1.97,2025-11-17 09:40:56
Bucheon Keb Hana Bank,Woori Wibee,https://www.pinnacle.com/en/basketball/korea-wkbl/bucheon-keb-hana-bank-vs-woori-wibee/1619685632/,3.45,1.318,6.5,1.934,-6.5,1.884,123.5,1.909,123.5,1.909,2025-11-17 09:59:42
Yongin Life Blue Minx,Bucheon Keb Hana Bank,https://www.pinnacle.com/en/basketball/korea-wkbl/yongin-life-blue-minx-vs-bucheon-keb-hana-bank/1619926388/,1.476,2.67,-4.5,1.869,4.5,1.934,123.0,1.9,123.0,1.9,2025-11-24 06:44:23
Yongin Life Blue Minx,Bucheon Keb Hana Bank,https://www.pinnacle.com/en/basketball/korea-wkbl/yongin-life-blue-minx-vs-bucheon-keb-hana-bank/1619926388/,1.444,2.78,-4.5,1.826,4.5,1.98,124.0,1.813,124.0,1.99,2025-11-24 07:48:56
Yongin Life Blue Minx,Bucheon Keb Hana Bank,https://www.pinnacle.com/en/basketball/korea-wkbl/yongin-life-blue-minx-vs-bucheon-keb-hana-bank/1619926388/,1.442,2.79,-4.5,1.819,4.5,1.99,124.0,1.806,124.0,2.01,2025-11-24 08:02:31
Woori Bank Woori Won,Busan BNK Sum,https://www.pinnacle.com/en/basketball/korea-wkbl/woori-bank-woori-won-vs-busan-bnk-sum/1620181295/,2.23,1.657,3.0,1.892,-3.0,1.909,120.5,1.925,120.5,1.877,2025-11-27 20:01:57
Woori Bank Woori Won,Busan BNK Sum,https://www.pinnacle.com/en/basketball/korea-wkbl/woori-bank-woori-won-vs-busan-bnk-sum/1620181295/,2.23,1.657,3.0,1.892,-3.0,1.909,120.5,1.925,120.5,1.877,2025-11-27 21:07:07
