team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Anyang Jungkwanjang Red Boosters,Mobis Phoebus,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-mobis-phoebus/1617535036/,1.54,2.51,-4.0,1.909,4.0,1.909,151.0,1.909,151.0,1.909,2025-10-18 22:33:09
Goyang Skygunners,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/goyang-skygunners-vs-jeonju-kcc-egis/1617534906/,2.15,1.719,2.5,1.892,-2.5,1.925,157.5,1.833,157.5,1.99,2025-10-18 22:33:09
Seoul SK Knights,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-basketball-league/seoul-sk-knights-vs-wonju-dongbu-promy/1617535076/,1.609,2.34,-4.0,1.98,4.0,1.84,154.5,1.917,154.5,1.9,2025-10-18 22:33:09
Anyang Jungkwanjang Red Boosters,Mobis Phoebus,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-mobis-phoebus/1617535036/,1.54,2.51,-4.0,1.909,4.0,1.909,151.0,1.909,151.0,1.909,2025-10-18 22:44:00
Goyang Skygunners,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/goyang-skygunners-vs-jeonju-kcc-egis/1617534906/,2.15,1.719,2.5,1.892,-2.5,1.925,157.5,1.833,157.5,1.99,2025-10-18 22:44:00
Seoul SK Knights,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-basketball-league/seoul-sk-knights-vs-wonju-dongbu-promy/1617535076/,1.609,2.34,-4.0,1.98,4.0,1.84,154.5,1.917,154.5,1.9,2025-10-18 22:44:00
Goyang Skygunners,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/goyang-skygunners-vs-jeonju-kcc-egis/1617534906/,2.15,1.719,2.5,1.892,-2.5,1.925,157.5,1.833,157.5,1.99,2025-10-18 22:59:33
Anyang Jungkwanjang Red Boosters,Mobis Phoebus,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-mobis-phoebus/1617535036/,1.54,2.51,-4.0,1.909,4.0,1.909,151.0,1.909,151.0,1.909,2025-10-18 22:59:33
Seoul SK Knights,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-basketball-league/seoul-sk-knights-vs-wonju-dongbu-promy/1617535076/,1.609,2.34,-4.0,1.98,4.0,1.84,154.5,1.917,154.5,1.9,2025-10-18 22:59:33
Goyang Skygunners,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/goyang-skygunners-vs-jeonju-kcc-egis/1617534906/,2.18,1.74,2.5,1.917,-2.5,1.952,157.5,1.854,157.5,2.02,2025-10-18 23:26:42
Anyang Jungkwanjang Red Boosters,Mobis Phoebus,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-mobis-phoebus/1617535036/,1.558,2.55,-4.0,1.934,4.0,1.934,151.0,1.934,151.0,1.934,2025-10-18 23:26:42
Seoul SK Knights,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-basketball-league/seoul-sk-knights-vs-wonju-dongbu-promy/1617535076/,1.609,2.34,-4.0,1.98,4.0,1.84,154.5,1.917,154.5,1.9,2025-10-18 23:26:42
Seoul SK Knights,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-basketball-league/seoul-sk-knights-vs-wonju-dongbu-promy/1617535076/,1.609,2.34,-4.0,1.98,4.0,1.84,154.5,1.917,154.5,1.9,2025-10-18 23:44:00
Anyang Jungkwanjang Red Boosters,Mobis Phoebus,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-mobis-phoebus/1617535036/,1.558,2.55,-4.0,1.934,4.0,1.934,151.0,1.934,151.0,1.934,2025-10-18 23:44:00
Goyang Skygunners,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/goyang-skygunners-vs-jeonju-kcc-egis/1617534906/,2.18,1.74,2.5,1.917,-2.5,1.952,157.5,1.854,157.5,2.02,2025-10-18 23:44:00
Anyang Jungkwanjang Red Boosters,Mobis Phoebus,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-mobis-phoebus/1617535036/,1.558,2.55,-4.0,1.934,4.0,1.934,151.0,1.934,151.0,1.934,2025-10-18 23:58:07
Goyang Skygunners,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/goyang-skygunners-vs-jeonju-kcc-egis/1617534906/,2.18,1.74,2.5,1.917,-2.5,1.952,157.5,1.854,157.5,2.02,2025-10-18 23:58:07
Seoul SK Knights,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-basketball-league/seoul-sk-knights-vs-wonju-dongbu-promy/1617535076/,1.609,2.34,-4.0,1.98,4.0,1.84,154.5,1.917,154.5,1.9,2025-10-18 23:58:07
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 18:43:07
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 18:48:46
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 19:05:06
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 19:27:47
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 19:45:57
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 19:57:13
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 20:04:42
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 20:32:02
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 20:37:48
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 21:02:21
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.662,2.25,-3.5,1.99,3.5,1.833,150.5,1.925,150.5,1.892,2025-10-20 21:08:10
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.653,2.26,-3.5,1.98,3.5,1.84,150.5,1.925,150.5,1.892,2025-10-20 21:44:44
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.653,2.26,-3.5,1.98,3.5,1.84,150.5,1.925,150.5,1.892,2025-10-20 21:52:19
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.653,2.26,-3.5,1.98,3.5,1.84,150.5,1.925,150.5,1.892,2025-10-20 22:45:16
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.653,2.26,-3.5,1.98,3.5,1.84,150.5,1.925,150.5,1.892,2025-10-20 22:57:20
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.641,2.28,-3.5,1.961,3.5,1.854,150.5,1.934,150.5,1.884,2025-10-20 23:23:53
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.641,2.28,-3.5,1.961,3.5,1.854,150.5,1.934,150.5,1.884,2025-10-20 23:42:27
Wonju Dongbu Promy,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-basketball-league/wonju-dongbu-promy-vs-suwon-kt-sonicboom/1617752849/,1.641,2.28,-3.5,1.961,3.5,1.854,150.5,1.934,150.5,1.884,2025-10-20 23:55:56
Anyang Jungkwanjang Red Boosters,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-jeonju-kcc-egis/1617851827/,1.662,2.25,-3.0,1.9,3.0,1.917,151.0,1.943,151.0,1.877,2025-10-21 20:32:54
Anyang Jungkwanjang Red Boosters,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-jeonju-kcc-egis/1617851827/,1.662,2.25,-3.0,1.9,3.0,1.917,151.0,1.943,151.0,1.877,2025-10-21 20:38:16
Anyang Jungkwanjang Red Boosters,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-jeonju-kcc-egis/1617851827/,1.662,2.25,-3.0,1.9,3.0,1.917,151.0,1.943,151.0,1.877,2025-10-21 20:50:53
Anyang Jungkwanjang Red Boosters,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-jeonju-kcc-egis/1617851827/,1.662,2.25,-3.0,1.9,3.0,1.917,151.0,1.943,151.0,1.877,2025-10-21 20:58:36
Anyang Jungkwanjang Red Boosters,Jeonju KCC Egis,https://www.pinnacle.com/en/basketball/korean-basketball-league/anyang-jungkwanjang-red-boosters-vs-jeonju-kcc-egis/1617851827/,1.662,2.25,-3.0,1.9,3.0,1.917,151.0,1.943,151.0,1.877,2025-10-21 21:28:44
