Market,Selection,Odds,matchup,timestamp
Money Line – Game,Seoul SK Knights,1.729,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:02:19
Money Line – Game,Goyang Skygunners,2.13,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:02:19
Handicap – Game,Seoul SK Knights -2.5,1.925,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:02:19
Handicap – Game,Goyang Skygunners +2.5,1.892,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:02:19
Total – Game,Over 158,1.99,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:02:19
Total – Game,Under 158,1.833,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:02:19
Money Line – Game,Seoul SK Knights,1.729,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:41:30
Money Line – Game,Goyang Skygunners,2.13,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:41:30
Handicap – Game,Seoul SK Knights -2.5,1.925,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:41:30
Handicap – Game,Goyang Skygunners +2.5,1.892,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:41:30
Total – Game,Over 158,1.99,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:41:30
Total – Game,Under 158,1.833,Seoul SK Knights vs Goyang Skygunners,2026-03-24 21:41:30
Money Line – Game,Seoul SK Knights,1.729,Seoul SK Knights vs Goyang Skygunners,2026-03-24 22:14:11
Money Line – Game,Goyang Skygunners,2.13,Seoul SK Knights vs Goyang Skygunners,2026-03-24 22:14:11
Handicap – Game,Seoul SK Knights -2.5,1.925,Seoul SK Knights vs Goyang Skygunners,2026-03-24 22:14:11
Handicap – Game,Goyang Skygunners +2.5,1.892,Seoul SK Knights vs Goyang Skygunners,2026-03-24 22:14:11
Total – Game,Over 158,1.99,Seoul SK Knights vs Goyang Skygunners,2026-03-24 22:14:11
Total – Game,Under 158,1.833,Seoul SK Knights vs Goyang Skygunners,2026-03-24 22:14:11
Money Line – Game,Seoul SK Knights,1.729,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:02:56
Money Line – Game,Goyang Skygunners,2.13,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:02:56
Handicap – Game,Seoul SK Knights -2.5,1.925,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:02:56
Handicap – Game,Goyang Skygunners +2.5,1.892,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:02:56
Total – Game,Over 158,1.99,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:02:56
Total – Game,Under 158,1.833,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:02:56
Money Line – Game,Seoul SK Knights,1.719,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:56:57
Money Line – Game,Goyang Skygunners,2.15,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:56:57
Handicap – Game,Seoul SK Knights -2.5,1.917,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:56:57
Handicap – Game,Goyang Skygunners +2.5,1.9,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:56:57
Total – Game,Over 158,1.98,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:56:57
Total – Game,Under 158,1.84,Seoul SK Knights vs Goyang Skygunners,2026-03-24 23:56:57
Money Line – Game,Daegu Kogas Pegasus,3.13,Daegu Kogas Pegasus vs Changwon LG Sakers,2026-03-25 23:54:18
Money Line – Game,Changwon LG Sakers,1.373,Daegu Kogas Pegasus vs Changwon LG Sakers,2026-03-25 23:54:18
Handicap – Game,Daegu Kogas Pegasus +6.0,1.934,Daegu Kogas Pegasus vs Changwon LG Sakers,2026-03-25 23:54:18
Handicap – Game,Changwon LG Sakers -6.0,1.884,Daegu Kogas Pegasus vs Changwon LG Sakers,2026-03-25 23:54:18
Total – Game,Over 148.5,1.909,Daegu Kogas Pegasus vs Changwon LG Sakers,2026-03-25 23:54:18
Total – Game,Under 148.5,1.909,Daegu Kogas Pegasus vs Changwon LG Sakers,2026-03-25 23:54:18
Money Line – Game,Busan KCC Egis,1.617,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:28:58
Money Line – Game,Suwon KT Sonicboom,2.33,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:28:58
Handicap – Game,Busan KCC Egis -3.5,1.9,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:28:58
Handicap – Game,Suwon KT Sonicboom +3.5,1.917,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:28:58
Total – Game,Over 173,1.98,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:28:58
Total – Game,Under 173,1.847,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:28:58
Money Line – Game,Busan KCC Egis,1.617,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:59:37
Money Line – Game,Suwon KT Sonicboom,2.33,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:59:37
Handicap – Game,Busan KCC Egis -3.5,1.9,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:59:37
Handicap – Game,Suwon KT Sonicboom +3.5,1.917,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:59:37
Total – Game,Over 173,1.98,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:59:37
Total – Game,Under 173,1.847,Busan KCC Egis vs Suwon KT Sonicboom,2026-03-26 23:59:37
Money Line – Game,Mobis Phoebus,2.54,Mobis Phoebus vs Seoul SK Knights,2026-03-27 23:44:42
Money Line – Game,Seoul SK Knights,1.561,Mobis Phoebus vs Seoul SK Knights,2026-03-27 23:44:42
Handicap – Game,Mobis Phoebus +4.5,1.862,Mobis Phoebus vs Seoul SK Knights,2026-03-27 23:44:42
Handicap – Game,Seoul SK Knights -4.5,2.02,Mobis Phoebus vs Seoul SK Knights,2026-03-27 23:44:42
Total – Game,Over 156,1.943,Mobis Phoebus vs Seoul SK Knights,2026-03-27 23:44:42
Total – Game,Under 156,1.925,Mobis Phoebus vs Seoul SK Knights,2026-03-27 23:44:42
Money Line – Game,Samsung Thunders,3.26,Samsung Thunders vs Anyang Jungkwanjang Red Boosters,2026-03-27 23:44:42
Money Line – Game,Anyang Jungkwanjang Red Boosters,1.348,Samsung Thunders vs Anyang Jungkwanjang Red Boosters,2026-03-27 23:44:42
Handicap – Game,Samsung Thunders +6.5,1.917,Samsung Thunders vs Anyang Jungkwanjang Red Boosters,2026-03-27 23:44:42
Handicap – Game,Anyang Jungkwanjang Red Boosters -6.5,1.9,Samsung Thunders vs Anyang Jungkwanjang Red Boosters,2026-03-27 23:44:42
Total – Game,Over 158.5,1.917,Samsung Thunders vs Anyang Jungkwanjang Red Boosters,2026-03-27 23:44:42
Total – Game,Under 158.5,1.9,Samsung Thunders vs Anyang Jungkwanjang Red Boosters,2026-03-27 23:44:42
Money Line – Game,Daegu Kogas Pegasus,2.62,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:25:12
Money Line – Game,Busan KCC Egis,1.502,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:25:12
Handicap – Game,Daegu Kogas Pegasus +4.5,1.909,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:25:12
Handicap – Game,Busan KCC Egis -4.5,1.909,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:25:12
Total – Game,Over 166.5,1.934,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:25:12
Total – Game,Under 166.5,1.884,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:25:12
Money Line – Game,Daegu Kogas Pegasus,2.57,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:59:04
Money Line – Game,Busan KCC Egis,1.518,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:59:04
Handicap – Game,Daegu Kogas Pegasus +4.5,1.892,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:59:04
Handicap – Game,Busan KCC Egis -4.5,1.925,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:59:04
Total – Game,Over 166.5,1.934,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:59:04
Total – Game,Under 166.5,1.884,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 22:59:04
Money Line – Game,Daegu Kogas Pegasus,2.62,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:28:28
Money Line – Game,Busan KCC Egis,1.534,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:28:28
Handicap – Game,Daegu Kogas Pegasus +4.5,1.917,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:28:28
Handicap – Game,Busan KCC Egis -4.5,1.952,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:28:28
Total – Game,Over 166.5,1.961,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:28:28
Total – Game,Under 166.5,1.909,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:28:28
Money Line – Game,Changwon LG Sakers,1.602,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:28:28
Money Line – Game,Seoul SK Knights,2.44,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:28:28
Handicap – Game,Changwon LG Sakers -3.5,1.909,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:28:28
Handicap – Game,Seoul SK Knights +3.5,1.961,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:28:28
Total – Game,Over 148.5,1.943,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:28:28
Total – Game,Under 148.5,1.925,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:28:28
Money Line – Game,Samsung Thunders,3.02,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:28:28
Money Line – Game,Suwon KT Sonicboom,1.395,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:28:28
Handicap – Game,Samsung Thunders +6.0,1.877,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:28:28
Handicap – Game,Suwon KT Sonicboom -6.0,1.943,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:28:28
Total – Game,Over 163.5,1.892,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:28:28
Total – Game,Under 163.5,1.925,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:28:28
Money Line – Game,Daegu Kogas Pegasus,2.62,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:56:58
Money Line – Game,Busan KCC Egis,1.534,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:56:58
Handicap – Game,Daegu Kogas Pegasus +4.5,1.917,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:56:58
Handicap – Game,Busan KCC Egis -4.5,1.952,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:56:58
Total – Game,Over 166.5,1.961,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:56:58
Total – Game,Under 166.5,1.909,Daegu Kogas Pegasus vs Busan KCC Egis,2026-03-28 23:56:58
Money Line – Game,Changwon LG Sakers,1.602,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:56:58
Money Line – Game,Seoul SK Knights,2.44,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:56:58
Handicap – Game,Changwon LG Sakers -3.5,1.909,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:56:58
Handicap – Game,Seoul SK Knights +3.5,1.961,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:56:58
Total – Game,Over 148.5,1.943,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:56:58
Total – Game,Under 148.5,1.925,Changwon LG Sakers vs Seoul SK Knights,2026-03-28 23:56:58
Money Line – Game,Samsung Thunders,3.02,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:56:58
Money Line – Game,Suwon KT Sonicboom,1.395,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:56:58
Handicap – Game,Samsung Thunders +6.0,1.877,Samsung Thunders vs Suwon KT Sonicboom,2026-03-28 23:56:58
