team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Seoul SK Knights,Goyang Skygunners,https://www.pinnacle.com/en/basketball/korean-kbl/seoul-sk-knights-vs-goyang-skygunners/1626788929/,1.729,2.13,-2.5,1.925,2.5,1.892,158.0,1.99,158.0,1.833,2026-03-24 21:02:19
Seoul SK Knights,Goyang Skygunners,https://www.pinnacle.com/en/basketball/korean-kbl/seoul-sk-knights-vs-goyang-skygunners/1626788929/,1.729,2.13,-2.5,1.925,2.5,1.892,158.0,1.99,158.0,1.833,2026-03-24 21:41:30
Seoul SK Knights,Goyang Skygunners,https://www.pinnacle.com/en/basketball/korean-kbl/seoul-sk-knights-vs-goyang-skygunners/1626788929/,1.729,2.13,-2.5,1.925,2.5,1.892,158.0,1.99,158.0,1.833,2026-03-24 22:14:11
Seoul SK Knights,Goyang Skygunners,https://www.pinnacle.com/en/basketball/korean-kbl/seoul-sk-knights-vs-goyang-skygunners/1626788929/,1.729,2.13,-2.5,1.925,2.5,1.892,158.0,1.99,158.0,1.833,2026-03-24 23:02:56
Seoul SK Knights,Goyang Skygunners,https://www.pinnacle.com/en/basketball/korean-kbl/seoul-sk-knights-vs-goyang-skygunners/1626788929/,1.719,2.15,-2.5,1.917,2.5,1.9,158.0,1.98,158.0,1.84,2026-03-24 23:37:39
Seoul SK Knights,Goyang Skygunners,https://www.pinnacle.com/en/basketball/korean-kbl/seoul-sk-knights-vs-goyang-skygunners/1626788929/,1.719,2.15,-2.5,1.917,2.5,1.9,158.0,1.98,158.0,1.84,2026-03-24 23:56:57
Daegu Kogas Pegasus,Changwon LG Sakers,https://www.pinnacle.com/en/basketball/korean-kbl/daegu-kogas-pegasus-vs-changwon-lg-sakers/1626813348/,3.13,1.373,6.0,1.934,-6.0,1.884,148.5,1.909,148.5,1.909,2026-03-25 23:54:18
Busan KCC Egis,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-suwon-kt-sonicboom/1626829276/,1.617,2.33,-3.5,1.9,3.5,1.917,173.0,1.98,173.0,1.847,2026-03-26 23:28:58
Busan KCC Egis,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-suwon-kt-sonicboom/1626829276/,1.617,2.33,-3.5,1.9,3.5,1.917,173.0,1.98,173.0,1.847,2026-03-26 23:59:37
Goyang Skygunners,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-kbl/goyang-skygunners-vs-wonju-dongbu-promy/1626864914/,1.471,2.83,-5.5,1.943,5.5,1.925,162.5,1.869,162.5,2.0,2026-03-27 23:44:42
Mobis Phoebus,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/mobis-phoebus-vs-seoul-sk-knights/1626851670/,2.54,1.561,4.5,1.862,-4.5,2.02,156.0,1.943,156.0,1.925,2026-03-27 23:44:42
Samsung Thunders,Anyang Jungkwanjang Red Boosters,https://www.pinnacle.com/en/basketball/korean-kbl/samsung-thunders-vs-anyang-jungkwanjang-red-boosters/1626863831/,3.19,1.362,6.5,1.9,-6.5,1.917,158.5,1.917,158.5,1.9,2026-03-27 23:44:42
Daegu Kogas Pegasus,Busan KCC Egis,https://www.pinnacle.com/en/basketball/korean-kbl/daegu-kogas-pegasus-vs-busan-kcc-egis/1626898499/,2.62,1.502,4.5,1.909,-4.5,1.909,166.5,1.934,166.5,1.884,2026-03-28 22:25:12
Daegu Kogas Pegasus,Busan KCC Egis,https://www.pinnacle.com/en/basketball/korean-kbl/daegu-kogas-pegasus-vs-busan-kcc-egis/1626898499/,2.57,1.518,4.5,1.892,-4.5,1.925,166.5,1.934,166.5,1.884,2026-03-28 22:59:04
Daegu Kogas Pegasus,Busan KCC Egis,https://www.pinnacle.com/en/basketball/korean-kbl/daegu-kogas-pegasus-vs-busan-kcc-egis/1626898499/,2.62,1.534,4.5,1.917,-4.5,1.952,166.5,1.961,166.5,1.909,2026-03-28 23:28:28
Changwon LG Sakers,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/changwon-lg-sakers-vs-seoul-sk-knights/1626908614/,1.602,2.44,-3.5,1.909,3.5,1.961,148.5,1.943,148.5,1.925,2026-03-28 23:28:28
Samsung Thunders,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-kbl/samsung-thunders-vs-suwon-kt-sonicboom/1626910938/,3.02,1.395,6.0,1.877,-6.0,1.943,163.5,1.892,163.5,1.925,2026-03-28 23:28:28
Daegu Kogas Pegasus,Busan KCC Egis,https://www.pinnacle.com/en/basketball/korean-kbl/daegu-kogas-pegasus-vs-busan-kcc-egis/1626898499/,2.62,1.534,4.5,1.917,-4.5,1.952,166.5,1.961,166.5,1.909,2026-03-28 23:56:58
Changwon LG Sakers,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/changwon-lg-sakers-vs-seoul-sk-knights/1626908614/,1.602,2.44,-3.5,1.909,3.5,1.961,148.5,1.943,148.5,1.925,2026-03-28 23:56:58
Samsung Thunders,Suwon KT Sonicboom,https://www.pinnacle.com/en/basketball/korean-kbl/samsung-thunders-vs-suwon-kt-sonicboom/1626910938/,3.02,1.395,6.0,1.877,-6.0,1.943,163.5,1.892,163.5,1.925,2026-03-28 23:56:58
Mobis Phoebus,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-kbl/mobis-phoebus-vs-wonju-dongbu-promy/1626958641/,2.17,1.709,3.0,1.826,-3.0,2.0,158.5,1.84,158.5,1.98,2026-03-29 21:30:18
Mobis Phoebus,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-kbl/mobis-phoebus-vs-wonju-dongbu-promy/1626958641/,2.17,1.709,3.0,1.826,-3.0,2.0,158.5,1.84,158.5,1.98,2026-03-29 21:58:35
Mobis Phoebus,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-kbl/mobis-phoebus-vs-wonju-dongbu-promy/1626958641/,2.17,1.709,3.0,1.826,-3.0,2.0,158.5,1.84,158.5,1.98,2026-03-29 22:27:27
Mobis Phoebus,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-kbl/mobis-phoebus-vs-wonju-dongbu-promy/1626958641/,2.17,1.709,3.0,1.826,-3.0,2.0,158.5,1.84,158.5,1.98,2026-03-29 23:01:09
Mobis Phoebus,Wonju Dongbu Promy,https://www.pinnacle.com/en/basketball/korean-kbl/mobis-phoebus-vs-wonju-dongbu-promy/1626958641/,2.17,1.709,3.0,1.826,-3.0,2.0,158.5,1.84,158.5,1.98,2026-03-29 23:33:49
Anyang Jungkwanjang Red Boosters,Changwon LG Sakers,https://www.pinnacle.com/en/basketball/korean-kbl/anyang-jungkwanjang-red-boosters-vs-changwon-lg-sakers/1627028745/,2.01,1.813,1.0,1.97,-1.0,1.847,146.0,1.917,146.0,1.9,2026-03-30 23:23:24
Anyang Jungkwanjang Red Boosters,Changwon LG Sakers,https://www.pinnacle.com/en/basketball/korean-kbl/anyang-jungkwanjang-red-boosters-vs-changwon-lg-sakers/1627028745/,2.01,1.813,1.0,1.97,-1.0,1.847,146.0,1.917,146.0,1.9,2026-03-31 00:00:54
Busan KCC Egis,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-seoul-sk-knights/1627085843/,1.925,1.892,1.0,1.892,-1.0,1.925,166.5,1.925,166.5,1.892,2026-03-31 19:45:16
Busan KCC Egis,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-seoul-sk-knights/1627085843/,1.925,1.892,1.0,1.892,-1.0,1.925,166.5,1.925,166.5,1.892,2026-03-31 21:06:00
Busan KCC Egis,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-seoul-sk-knights/1627085843/,1.925,1.892,1.0,1.892,-1.0,1.925,166.5,1.925,166.5,1.892,2026-03-31 21:59:15
Busan KCC Egis,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-seoul-sk-knights/1627085843/,1.925,1.892,1.0,1.892,-1.0,1.925,166.5,1.925,166.5,1.892,2026-03-31 22:33:42
Busan KCC Egis,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-seoul-sk-knights/1627085843/,1.925,1.892,1.0,1.892,-1.0,1.925,166.5,1.925,166.5,1.892,2026-03-31 23:03:43
Busan KCC Egis,Seoul SK Knights,https://www.pinnacle.com/en/basketball/korean-kbl/busan-kcc-egis-vs-seoul-sk-knights/1627085843/,1.925,1.892,1.0,1.892,-1.0,1.925,166.5,1.925,166.5,1.892,2026-03-31 23:42:27
