team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
KB Trepca,KB Peja,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-trepca-vs-kb-peja/1616763952/,1.294,2.97,-6.0,1.813,6.0,1.847,153.5,1.847,153.5,1.819,2025-10-05 16:32:40
KB Trepca,KB Peja,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-trepca-vs-kb-peja/1616763952/,1.294,2.97,-6.0,1.813,6.0,1.847,153.5,1.847,153.5,1.819,2025-10-05 16:41:34
KB Trepca,KB Peja,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-trepca-vs-kb-peja/1616763952/,1.294,2.97,-6.0,1.813,6.0,1.847,153.5,1.847,153.5,1.819,2025-10-05 16:49:26
KB Trepca,KB Peja,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-trepca-vs-kb-peja/1616763952/,1.294,2.97,-6.0,1.813,6.0,1.847,153.5,1.847,153.5,1.819,2025-10-05 17:03:05
KB Prishtina,Bora BC,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-prishtina-vs-bora-bc/1617762254/,1.216,3.41,-7.5,1.751,7.5,1.917,163.0,1.826,163.0,1.84,2025-10-20 16:04:01
KB Prishtina,Bora BC,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-prishtina-vs-bora-bc/1617762254/,1.216,3.41,-7.5,1.751,7.5,1.917,163.0,1.826,163.0,1.84,2025-10-20 16:39:05
KB Prishtina,Bora BC,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-prishtina-vs-bora-bc/1617762254/,1.216,3.41,-7.5,1.751,7.5,1.917,163.0,1.826,163.0,1.84,2025-10-20 16:48:20
KB Prishtina,Bora BC,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-prishtina-vs-bora-bc/1617762254/,1.216,3.41,-7.5,1.751,7.5,1.917,163.0,1.826,163.0,1.84,2025-10-20 17:00:18
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.51,2.2,-3.5,1.8,3.5,1.8,165.5,1.806,165.5,1.793,2025-11-10 08:43:42
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.51,2.2,-3.5,1.8,3.5,1.8,165.5,1.806,165.5,1.793,2025-11-10 08:50:29
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.51,2.2,-3.5,1.8,3.5,1.8,165.5,1.806,165.5,1.793,2025-11-10 09:03:59
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.51,2.2,-3.5,1.8,3.5,1.8,165.5,1.806,165.5,1.793,2025-11-10 09:14:04
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.51,2.2,-3.5,1.8,3.5,1.8,165.5,1.806,165.5,1.793,2025-11-10 09:39:43
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.421,2.4,-4.5,1.806,4.5,1.793,165.5,1.8,165.5,1.8,2025-11-10 10:00:30
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.421,2.4,-4.5,1.806,4.5,1.793,165.5,1.8,165.5,1.8,2025-11-10 10:56:10
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.421,2.4,-4.5,1.806,4.5,1.793,165.5,1.8,165.5,1.8,2025-11-10 11:03:03
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.45,2.45,-4.5,1.84,4.5,1.826,165.5,1.833,165.5,1.833,2025-11-10 11:56:31
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.45,2.45,-4.5,1.84,4.5,1.826,165.5,1.833,165.5,1.833,2025-11-10 13:21:43
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.45,2.45,-4.5,1.84,4.5,1.826,165.5,1.833,165.5,1.833,2025-11-10 13:43:10
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.45,2.44,-4.5,1.854,4.5,1.813,163.0,1.917,163.0,1.751,2025-11-10 14:02:45
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.45,2.44,-4.5,1.854,4.5,1.813,163.0,1.917,163.0,1.751,2025-11-10 14:11:06
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.45,2.44,-4.5,1.854,4.5,1.813,163.0,1.917,163.0,1.751,2025-11-10 14:33:34
Rahoveci,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-vellaznimi/1618848883/,1.45,2.44,-4.5,1.854,4.5,1.813,163.0,1.917,163.0,1.751,2025-11-10 14:51:29
Bashkimi,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/bashkimi-vs-vellaznimi/1620270023/,1.049,5.94,-13.5,1.847,13.5,1.819,168.5,1.84,168.5,1.826,2025-12-04 17:16:13
KB Peja,KB Trepca,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-peja-vs-kb-trepca/1620270022/,1.952,1.729,2.0,1.793,-2.0,1.877,160.0,1.833,160.0,1.826,2025-12-04 17:16:13
KB Peja,KB Trepca,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-peja-vs-kb-trepca/1620270022/,1.952,1.729,2.0,1.793,-2.0,1.877,161.5,1.847,161.5,1.819,2025-12-04 18:01:59
KB Prishtina,Rahoveci,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-prishtina-vs-rahoveci/1621026267/,1.252,3.18,-6.5,1.806,6.5,1.862,164.5,1.813,164.5,1.854,2025-12-11 17:21:27
KB Peja,Bora BC,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-peja-vs-bora-bc/1620732819/,1.237,3.27,-6.5,1.781,6.5,1.892,167.0,1.833,167.0,1.833,2025-12-11 17:21:27
Bashkimi,Rahoveci,https://www.pinnacle.com/en/basketball/kosovo-superliga/bashkimi-vs-rahoveci/1621983921/,1.082,5.02,-11.0,1.862,11.0,1.8,158.5,1.826,158.5,1.84,2026-01-18 17:52:24
Bashkimi,Rahoveci,https://www.pinnacle.com/en/basketball/kosovo-superliga/bashkimi-vs-rahoveci/1621983921/,1.082,5.02,-11.0,1.862,11.0,1.8,158.5,1.826,158.5,1.84,2026-01-18 18:17:30
KB Prishtina,Golden Eagle Ylli,https://www.pinnacle.com/en/basketball/kosovo-superliga/kb-prishtina-vs-golden-eagle-ylli/1624921485/,1.862,1.806,-1.0,1.9,1.0,1.769,157.5,1.917,157.5,1.757,2026-03-05 18:25:20
Bashkimi,Vellaznimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/bashkimi-vs-vellaznimi/1624921486/,1.133,4.17,-8.5,1.8,8.5,1.869,159.0,1.826,159.0,1.84,2026-03-05 18:25:20
Bora BC,KB Prishtina,https://www.pinnacle.com/en/basketball/kosovo-superliga/bora-bc-vs-kb-prishtina/1625656527/,1.492,2.34,-4.0,1.909,4.0,1.763,159.0,1.925,159.0,1.751,2026-03-08 19:02:26
Rahoveci,Bashkimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-bashkimi/1625656490/,3.45,1.173,8.0,1.869,-8.0,1.729,157.0,1.793,157.0,1.806,2026-03-09 02:09:23
Rahoveci,Bashkimi,https://www.pinnacle.com/en/basketball/kosovo-superliga/rahoveci-vs-bashkimi/1625656490/,2.23,1.497,2.5,1.84,-2.5,1.757,157.0,1.854,157.0,1.751,2026-03-09 07:43:08
