Market,Selection,Odds,matchup,timestamp
Money Line – Game,BK Ventspils,2.06,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Money Line – Game,VEF Riga,1.645,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +5.5,1.523,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -5.5,2.24,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +5.0,1.564,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -5.0,2.16,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +4.5,1.613,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -4.5,2.08,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +4.0,1.671,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -4.0,2.01,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +3.5,1.74,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -3.5,1.925,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +3.0,1.819,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -3.0,1.847,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +2.5,1.892,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -2.5,1.769,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +2.0,1.961,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -2.0,1.704,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +1.5,2.03,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -1.5,1.649,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils +1.0,2.08,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga -1.0,1.613,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,BK Ventspils -1.0,2.19,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Handicap – Game,VEF Riga +1.0,1.555,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 162,1.628,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 162,2.09,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 162.5,1.662,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 162.5,2.04,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 163,1.704,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 163,1.98,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 163.5,1.746,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 163.5,1.925,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 164,1.793,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 164,1.877,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 164.5,1.847,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 164.5,1.819,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 165,1.9,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 165,1.769,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 165.5,1.961,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 165.5,1.724,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 166,2.01,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 166,1.68,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 166.5,2.07,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 166.5,1.641,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Over 167,2.12,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Total – Game,Under 167,1.609,BK Ventspils vs VEF Riga,2026-04-27 01:18:23
Money Line – Game,BK Ventspils,2.29,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Money Line – Game,VEF Riga,1.574,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +6.0,1.568,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -6.0,2.26,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +5.5,1.609,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -5.5,2.18,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +5.0,1.662,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -5.0,2.1,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +4.5,1.719,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -4.5,2.03,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +4.0,1.787,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -4.0,1.943,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +3.5,1.869,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -3.5,1.869,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +3.0,1.952,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -3.0,1.787,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,BK Ventspils +2.5,2.03,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
Handicap – Game,VEF Riga -2.5,1.714,BK Ventspils vs VEF Riga,2026-04-27 15:14:30
