Market,Selection,Odds,matchup,timestamp
Money Line – Game,BC Jonava,2.41,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 171.5,2.11,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 172,1.649,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 172,2.06,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 172.5,1.684,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 172.5,2.0,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 173,1.729,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 173,1.952,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 173.5,1.775,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 173.5,1.892,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 174,1.826,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 174,1.84,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 174.5,1.884,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 174.5,1.787,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 175,1.934,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 175,1.74,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 175.5,1.99,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 175.5,1.699,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 176,2.04,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 176,1.657,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 171.5,1.613,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -1.0,1.495,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +1.0,2.3,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -1.5,1.523,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Money Line – Game,BC Siauliai,1.462,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +6.0,1.598,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -6.0,2.11,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +5.5,1.645,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -5.5,2.04,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +5.0,1.699,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -5.0,1.961,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +4.5,1.763,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -4.5,1.892,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Over 176.5,2.1,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +4.0,1.84,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +3.5,1.925,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -3.5,1.751,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +3.0,2.01,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -3.0,1.675,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +2.5,2.09,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -2.5,1.613,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +2.0,2.17,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -2.0,1.564,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Jonava +1.5,2.24,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Handicap – Game,BC Siauliai -4.0,1.819,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
Total – Game,Under 176.5,1.625,BC Jonava vs BC Siauliai,2025-10-09 03:10:35
