Market,Selection,Odds,matchup,timestamp
Money Line – Game,BC Lietkabelis Panevezys,1.358,BC Lietkabelis Panevezys vs Jonava,2025-09-23 06:49:46
Money Line – Game,Jonava,2.9,BC Lietkabelis Panevezys vs Jonava,2025-09-23 06:49:46
Handicap – Game,BC Lietkabelis Panevezys -6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 06:49:46
Handicap – Game,Jonava +6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 06:49:46
Total – Game,Over 169.5,1.877,BC Lietkabelis Panevezys vs Jonava,2025-09-23 06:49:46
Total – Game,Under 169.5,1.862,BC Lietkabelis Panevezys vs Jonava,2025-09-23 06:49:46
Money Line – Game,BC Lietkabelis Panevezys,1.358,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:00:45
Money Line – Game,Jonava,2.9,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:00:45
Handicap – Game,BC Lietkabelis Panevezys -6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:00:45
Handicap – Game,Jonava +6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:00:45
Total – Game,Over 169.5,1.877,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:00:45
Total – Game,Under 169.5,1.862,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:00:45
Total – Game,Under 169.5,1.862,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:07:13
Total – Game,Over 169.5,1.877,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:07:13
Handicap – Game,Jonava +6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:07:13
Money Line – Game,Jonava,2.9,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:07:13
Money Line – Game,BC Lietkabelis Panevezys,1.358,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:07:13
Handicap – Game,BC Lietkabelis Panevezys -6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:07:13
Total – Game,Under 169.5,1.862,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:37:29
Money Line – Game,BC Lietkabelis Panevezys,1.358,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:37:29
Money Line – Game,Jonava,2.9,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:37:29
Handicap – Game,BC Lietkabelis Panevezys -6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:37:29
Handicap – Game,Jonava +6.5,1.869,BC Lietkabelis Panevezys vs Jonava,2025-09-23 07:37:29
