team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.251,3.47,-7.5,1.862,7.5,1.877,169.5,1.869,169.5,1.869,2025-09-23 06:49:46
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.358,2.9,-6.5,1.869,6.5,1.869,169.5,1.877,169.5,1.862,2025-09-23 07:00:45
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.358,2.9,-6.5,1.869,6.5,1.869,169.5,1.877,169.5,1.862,2025-09-23 07:07:13
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.358,2.9,-6.5,1.869,6.5,1.869,169.5,1.877,169.5,1.862,2025-09-23 07:31:30
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.358,2.9,-6.5,1.869,6.5,1.869,169.5,1.877,169.5,1.862,2025-09-23 07:37:29
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.358,2.9,-6.5,1.869,6.5,1.869,169.5,1.877,169.5,1.862,2025-09-23 07:48:14
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.358,2.9,-6.5,1.869,6.5,1.869,169.5,1.877,169.5,1.862,2025-09-23 07:58:09
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.303,3.15,-7.5,1.854,7.5,1.884,169.5,1.819,169.5,1.925,2025-09-23 08:04:45
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.303,3.15,-7.5,1.854,7.5,1.884,169.5,1.819,169.5,1.925,2025-09-23 08:39:14
BC Lietkabelis Panevezys,Jonava,https://www.pinnacle.com/en/basketball/lithuania-lietuvos-krepsinio-lyga/bc-lietkabelis-panevezys-vs-jonava/1615850266/,1.303,3.15,-7.5,1.854,7.5,1.884,169.5,1.819,169.5,1.925,2025-09-23 08:47:39
