team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-26 22:45:38
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-26 22:51:21
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-26 23:43:44
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-26 23:56:33
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-27 00:05:07
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-27 03:41:40
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-27 03:56:23
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-27 04:23:56
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.854,25.0,1.813,143.5,1.793,143.5,1.877,2025-10-27 04:30:38
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-25.0,1.781,25.0,1.892,143.5,1.769,143.5,1.9,2025-10-27 04:56:33
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,,,,,,,,,2025-10-27 05:07:39
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-33.5,1.9,33.5,1.769,147.5,1.84,147.5,1.819,2025-10-27 05:30:38
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-33.5,1.9,33.5,1.775,147.5,1.847,147.5,1.819,2025-10-27 05:49:27
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-33.5,1.869,33.5,1.793,147.5,1.84,147.5,1.826,2025-10-27 06:01:44
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-33.5,1.869,33.5,1.793,147.5,1.84,147.5,1.826,2025-10-27 06:09:33
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-33.5,1.869,33.5,1.793,147.5,1.84,147.5,1.826,2025-10-27 06:48:55
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-33.5,1.869,33.5,1.793,147.5,1.84,147.5,1.826,2025-10-27 07:04:36
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-33.5,1.869,33.5,1.793,147.5,1.84,147.5,1.826,2025-10-27 07:12:39
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.862,32.5,1.806,147.5,1.877,147.5,1.793,2025-10-27 07:35:39
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.862,32.5,1.806,147.5,1.877,147.5,1.793,2025-10-27 07:41:51
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.862,32.5,1.806,147.5,1.877,147.5,1.793,2025-10-27 07:59:18
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.862,32.5,1.806,147.5,1.877,147.5,1.793,2025-10-27 08:06:09
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.862,32.5,1.806,147.5,1.877,147.5,1.793,2025-10-27 08:39:33
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.862,32.5,1.806,147.5,1.877,147.5,1.793,2025-10-27 08:47:52
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.862,32.5,1.806,147.5,1.877,147.5,1.793,2025-10-27 09:03:13
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.806,32.5,1.862,147.5,1.854,147.5,1.813,2025-10-27 09:40:13
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.806,32.5,1.862,147.5,1.854,147.5,1.813,2025-10-27 09:53:55
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.806,32.5,1.862,147.5,1.854,147.5,1.813,2025-10-27 10:34:31
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.826,32.5,1.917,147.5,1.884,147.5,1.854,2025-10-27 11:46:44
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.826,32.5,1.917,147.5,1.884,147.5,1.854,2025-10-27 11:59:51
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.826,32.5,1.917,147.5,1.884,147.5,1.854,2025-10-27 12:10:56
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.793,32.5,1.952,147.5,1.884,147.5,1.854,2025-10-27 13:00:04
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.793,32.5,1.952,147.5,1.884,147.5,1.854,2025-10-27 13:07:49
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.793,32.5,1.952,147.5,1.884,147.5,1.854,2025-10-27 13:43:56
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.793,32.5,1.952,147.5,1.884,147.5,1.854,2025-10-27 14:01:24
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.793,32.5,1.952,147.5,1.884,147.5,1.854,2025-10-27 14:10:55
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.793,32.5,1.952,147.5,1.884,147.5,1.854,2025-10-27 14:32:59
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.833,32.5,1.909,147.5,1.9,147.5,1.84,2025-10-27 14:49:15
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-32.5,1.833,32.5,1.909,147.5,1.9,147.5,1.84,2025-10-27 14:56:02
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-34.5,1.806,34.5,1.934,147.5,1.793,147.5,1.952,2025-10-27 15:05:44
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-35.5,1.8,35.5,1.943,150.0,1.9,150.0,1.833,2025-10-27 15:33:41
LCC,MKK Panevezys,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/lcc-vs-mkk-panevezys/1617895351/,,,-35.5,1.84,35.5,1.9,150.0,1.917,150.0,1.819,2025-10-27 15:50:40
MKK Panevezys,LCC,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/mkk-panevezys-vs-lcc/1621784547/,,,,,,,,,,,2026-01-05 15:55:31
Alytaus,BC Siaulliai,https://www.pinnacle.com/en/basketball/lithuania-lmkl-women/alytaus-vs-bc-siaulliai/1624367446/,,,31.5,1.813,-31.5,1.854,145.5,1.813,145.5,1.854,2026-02-24 02:33:54
