team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Racing FC Union Luxembourg,Basket Esch,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/racing-fc-union-luxembourg-vs-basket-esch/1615824348/,5.55,1.093,11.5,1.862,-11.5,1.877,163.5,1.884,163.5,1.854,2025-09-20 16:31:25
Musel Pikes,Walferdange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/musel-pikes-vs-walferdange/1615468540/,2.61,1.438,4.5,1.9,-4.5,1.84,167.5,1.869,167.5,1.869,2025-09-20 16:31:25
Mambra Mamer,Etzella Ettelbruck,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/mambra-mamer-vs-etzella-ettelbruck/1615468541/,7.07,1.052,14.5,1.854,-14.5,1.884,174.5,1.884,174.5,1.854,2025-09-20 16:31:25
Larochette,Bertrange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/larochette-vs-bertrange/1615468951/,1.5,2.45,-4.0,1.892,4.0,1.847,166.0,1.869,166.0,1.869,2025-09-20 16:31:25
T71 Dudelange,Contern,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/t71-dudelange-vs-contern/1615468845/,1.244,3.51,-7.5,1.847,7.5,1.892,160.0,1.877,160.0,1.862,2025-09-20 16:31:25
Musel Pikes,Walferdange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/musel-pikes-vs-walferdange/1615468540/,2.61,1.438,4.5,1.9,-4.5,1.84,167.5,1.869,167.5,1.869,2025-09-20 16:50:16
Mambra Mamer,Etzella Ettelbruck,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/mambra-mamer-vs-etzella-ettelbruck/1615468541/,7.07,1.052,14.5,1.854,-14.5,1.884,174.5,1.884,174.5,1.854,2025-09-20 16:50:16
Larochette,Bertrange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/larochette-vs-bertrange/1615468951/,1.5,2.45,-4.0,1.892,4.0,1.847,166.0,1.869,166.0,1.869,2025-09-20 16:50:16
T71 Dudelange,Contern,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/t71-dudelange-vs-contern/1615468845/,1.244,3.51,-7.5,1.847,7.5,1.892,160.0,1.877,160.0,1.862,2025-09-20 16:50:16
T71 Dudelange,Contern,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/t71-dudelange-vs-contern/1615468845/,1.244,3.51,-7.5,1.847,7.5,1.892,160.0,1.877,160.0,1.862,2025-09-20 17:01:44
Larochette,Bertrange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/larochette-vs-bertrange/1615468951/,1.5,2.45,-4.0,1.892,4.0,1.847,166.0,1.869,166.0,1.869,2025-09-20 17:01:44
Mambra Mamer,Etzella Ettelbruck,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/mambra-mamer-vs-etzella-ettelbruck/1615468541/,7.07,1.052,14.5,1.854,-14.5,1.884,174.5,1.884,174.5,1.854,2025-09-20 17:01:44
Musel Pikes,Walferdange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/musel-pikes-vs-walferdange/1615468540/,2.61,1.438,4.5,1.9,-4.5,1.84,167.5,1.877,167.5,1.862,2025-09-20 17:01:44
Mambra Mamer,Etzella Ettelbruck,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/mambra-mamer-vs-etzella-ettelbruck/1615468541/,7.07,1.052,14.5,1.854,-14.5,1.884,174.5,1.884,174.5,1.854,2025-09-20 17:24:00
Larochette,Bertrange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/larochette-vs-bertrange/1615468951/,1.5,2.45,-4.0,1.892,4.0,1.847,166.0,1.869,166.0,1.869,2025-09-20 17:24:00
T71 Dudelange,Contern,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/t71-dudelange-vs-contern/1615468845/,1.244,3.51,-7.5,1.847,7.5,1.892,160.0,1.877,160.0,1.862,2025-09-20 17:24:00
Mambra Mamer,Etzella Ettelbruck,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/mambra-mamer-vs-etzella-ettelbruck/1615468541/,7.68,1.042,15.5,1.909,-15.5,1.833,174.5,1.869,174.5,1.869,2025-09-20 17:43:20
Larochette,Bertrange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/larochette-vs-bertrange/1615468951/,1.5,2.45,-4.0,1.892,4.0,1.847,166.0,1.869,166.0,1.869,2025-09-20 17:43:20
T71 Dudelange,Contern,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/t71-dudelange-vs-contern/1615468845/,1.244,3.51,-7.5,1.847,7.5,1.892,160.0,1.877,160.0,1.862,2025-09-20 17:43:20
Mambra Mamer,Etzella Ettelbruck,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/mambra-mamer-vs-etzella-ettelbruck/1615468541/,7.68,1.042,15.5,1.909,-15.5,1.833,174.5,1.869,174.5,1.869,2025-09-20 17:47:43
Larochette,Bertrange,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/larochette-vs-bertrange/1615468951/,1.5,2.45,-4.0,1.892,4.0,1.847,166.0,1.869,166.0,1.869,2025-09-20 17:47:43
T71 Dudelange,Contern,https://www.pinnacle.com/en/basketball/luxembourg-nationale-1/t71-dudelange-vs-contern/1615468845/,1.244,3.51,-7.5,1.847,7.5,1.892,160.0,1.877,160.0,1.862,2025-09-20 17:47:43
