Market,Selection,Odds,matchup,timestamp
Money Line – Game,Caballeros de Culiacan,1.512,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Money Line – Game,Venados de Mazatlan,2.42,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -1.5,1.581,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +1.5,2.14,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -2.0,1.621,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +2.0,2.07,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -2.5,1.666,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +2.5,2.0,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -3.0,1.729,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +3.0,1.934,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -3.5,1.8,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +3.5,1.862,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -4.0,1.925,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +4.0,1.819,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -4.5,1.97,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +4.5,1.709,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -5.0,2.05,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +5.0,1.641,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -5.5,2.13,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +5.5,1.584,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -6.0,2.21,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +6.0,1.54,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Caballeros de Culiacan -6.5,2.3,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Handicap – Game,Venados de Mazatlan +6.5,1.497,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 170.5,1.606,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 170.5,2.13,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 171,1.641,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 171,2.07,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 171.5,1.675,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 171.5,2.02,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 172,1.719,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 172,1.961,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 172.5,1.763,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 172.5,1.909,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 173,1.854,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 173,1.884,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 173.5,1.869,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 173.5,1.793,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 174,1.925,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 174,1.746,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 174.5,1.98,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 174.5,1.704,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 175,2.03,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 175,1.666,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Over 175.5,2.08,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Total – Game,Under 175.5,1.632,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:03:32
Money Line – Game,Caballeros de Culiacan,1.512,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:22:49
Money Line – Game,Venados de Mazatlan,2.42,Caballeros de Culiacan vs Venados de Mazatlan,2026-02-22 21:22:49
