team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Caballeros de Culiacan,Venados de Mazatlan,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-venados-de-mazatlan/1624301656/,1.512,2.42,-4.0,1.925,4.0,1.819,173.0,1.854,173.0,1.884,2026-02-22 21:03:32
Caballeros de Culiacan,Venados de Mazatlan,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-venados-de-mazatlan/1624301656/,1.512,2.42,-4.0,1.925,4.0,1.819,173.0,1.854,173.0,1.884,2026-02-22 21:22:49
Caballeros de Culiacan,Venados de Mazatlan,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-venados-de-mazatlan/1624301656/,1.512,2.42,-4.0,1.925,4.0,1.819,173.0,1.854,173.0,1.884,2026-02-22 21:55:30
Caballeros de Culiacan,Venados de Mazatlan,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-venados-de-mazatlan/1624301656/,1.512,2.42,-4.0,1.925,4.0,1.819,173.0,1.854,173.0,1.884,2026-02-22 22:31:15
Caballeros de Culiacan,Venados de Mazatlan,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-venados-de-mazatlan/1624301656/,1.512,2.42,-4.0,1.925,4.0,1.819,173.0,1.854,173.0,1.884,2026-02-22 22:57:45
Caballeros de Culiacan,Angeles CD Mexico,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-angeles-cd-mexico/1624859945/,2.13,1.662,2.5,1.854,-2.5,1.884,188.0,1.952,188.0,1.793,2026-03-01 22:21:13
Caballeros de Culiacan,Angeles CD Mexico,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-angeles-cd-mexico/1624859945/,2.13,1.662,2.5,1.854,-2.5,1.884,188.0,1.952,188.0,1.793,2026-03-01 22:52:06
Caballeros de Culiacan,Angeles CD Mexico,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-angeles-cd-mexico/1624859945/,2.13,1.662,2.5,1.854,-2.5,1.884,188.0,1.952,188.0,1.793,2026-03-01 23:20:31
Caballeros de Culiacan,Angeles CD Mexico,https://www.pinnacle.com/en/basketball/mexico-cibacopa/caballeros-de-culiacan-vs-angeles-cd-mexico/1624859945/,2.13,1.662,2.5,1.854,-2.5,1.884,188.0,1.952,188.0,1.793,2026-03-02 00:02:08
Astros de Jalisco,Ostioneros de Guaymas,https://www.pinnacle.com/en/basketball/mexico-cibacopa/astros-de-jalisco-vs-ostioneros-de-guaymas/1624979682/,1.112,5.09,-11.5,1.9,11.5,1.833,177.5,1.862,177.5,1.877,2026-03-03 01:32:27
