Market,Selection,Odds,matchup,timestamp
Money Line – Game,Apaches de Chichuahua,3.000,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Money Line – Game,Dorados de Chihuahua,1.334,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +8.5,1.529,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -8.5,2.340,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +8.0,1.571,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -8.0,2.260,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +7.5,1.617,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -7.5,2.170,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +7.0,1.675,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -7.0,2.090,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +6.5,1.740,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -6.5,2.010,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +6.0,1.819,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -6.0,1.925,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +5.5,1.892,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -5.5,1.840,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +5.0,1.970,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -5.0,1.763,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +4.5,2.040,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -4.5,1.699,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +4.0,2.120,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -4.0,1.649,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Apaches de Chichuahua +3.5,2.200,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Handicap – Game,Dorados de Chihuahua -3.5,1.602,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 198,1.671,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 198,2.120,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 198.5,1.704,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 198.5,2.060,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 199,1.746,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 199,2.010,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 199.5,1.787,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 199.5,1.952,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 200,1.840,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 200,1.900,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 200.5,1.892,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 200.5,1.847,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 201,1.952,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 201,1.793,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 201.5,2.010,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 201.5,1.746,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 202,2.060,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 202,1.704,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 202.5,2.120,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 202.5,1.666,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Over 203,2.180,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
Total – Game,Under 203,1.632,Apaches de Chichuahua vs Dorados de Chihuahua,2026-03-31 00:01:46
