team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Anahuac Xalapa,TEC MTY Toluca,https://www.pinnacle.com/en/basketball/mexico-liga-abe/anahuac-xalapa-vs-tec-mty-toluca/1617314298/,2.52,1.421,4.5,1.833,-4.5,1.833,150.5,1.833,150.5,1.833,2025-10-18 22:32:10
Anahuac Xalapa,TEC MTY Toluca,https://www.pinnacle.com/en/basketball/mexico-liga-abe/anahuac-xalapa-vs-tec-mty-toluca/1617314298/,2.52,1.421,4.5,1.833,-4.5,1.833,150.5,1.833,150.5,1.833,2025-10-18 22:43:05
Anahuac Xalapa,TEC MTY Toluca,https://www.pinnacle.com/en/basketball/mexico-liga-abe/anahuac-xalapa-vs-tec-mty-toluca/1617314298/,2.52,1.421,4.5,1.833,-4.5,1.833,150.5,1.833,150.5,1.833,2025-10-18 22:57:09
UACH,CETYS Mexicali,https://www.pinnacle.com/en/basketball/mexico-liga-abe/uach-vs-cetys-mexicali/1617657139/,1.757,1.917,-1.5,1.833,1.5,1.833,144.5,1.84,144.5,1.826,2025-10-24 19:25:40
UACH,CETYS Mexicali,https://www.pinnacle.com/en/basketball/mexico-liga-abe/uach-vs-cetys-mexicali/1617657139/,1.757,1.917,-1.5,1.833,1.5,1.833,144.5,1.84,144.5,1.826,2025-10-24 19:34:21
UACH,CETYS Mexicali,https://www.pinnacle.com/en/basketball/mexico-liga-abe/uach-vs-cetys-mexicali/1617657139/,1.757,1.917,-1.5,1.833,1.5,1.833,144.5,1.84,144.5,1.826,2025-10-24 20:01:08
TEC MTY Puebla,ANAHUAC Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe/tec-mty-puebla-vs-anahuac-queretaro/1617794736/,1.602,2.04,-2.5,1.8,2.5,1.8,156.5,1.806,156.5,1.793,2025-10-25 19:45:00
TEC MTY Santa Fe,TEC MTY Hidalgo,https://www.pinnacle.com/en/basketball/mexico-liga-abe/tec-mty-santa-fe-vs-tec-mty-hidalgo/1617794302/,,,-26.5,1.787,26.5,1.813,163.5,1.793,163.5,1.806,2025-10-25 19:45:00
Anahuac Xalapa,Americana Del Noreste,https://www.pinnacle.com/en/basketball/mexico-liga-abe/anahuac-xalapa-vs-americana-del-noreste/1617814208/,1.063,4.78,-11.5,1.8,11.5,1.8,149.5,1.806,149.5,1.793,2025-10-25 19:45:00
Anahuac Xalapa,Americana Del Noreste,https://www.pinnacle.com/en/basketball/mexico-liga-abe/anahuac-xalapa-vs-americana-del-noreste/1617814208/,1.063,4.78,-11.5,1.8,11.5,1.8,149.5,1.806,149.5,1.793,2025-10-25 19:56:36
TEC MTY Puebla,ANAHUAC Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe/tec-mty-puebla-vs-anahuac-queretaro/1617794736/,1.602,2.04,-2.5,1.8,2.5,1.8,156.5,1.806,156.5,1.793,2025-10-25 19:56:36
TEC MTY Santa Fe,TEC MTY Hidalgo,https://www.pinnacle.com/en/basketball/mexico-liga-abe/tec-mty-santa-fe-vs-tec-mty-hidalgo/1617794302/,,,-26.5,1.787,26.5,1.813,163.5,1.793,163.5,1.806,2025-10-25 19:56:36
TEC MTY Santa Fe,TEC MTY Hidalgo,https://www.pinnacle.com/en/basketball/mexico-liga-abe/tec-mty-santa-fe-vs-tec-mty-hidalgo/1617794302/,,,-26.5,1.787,26.5,1.813,163.5,1.793,163.5,1.806,2025-10-25 20:04:30
