team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.248,2.99,-6.5,1.8,6.5,1.8,108.5,1.8,108.5,1.8,2025-09-25 01:58:18
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.248,2.99,-6.5,1.8,6.5,1.8,108.5,1.8,108.5,1.8,2025-09-25 02:10:42
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 03:12:19
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 03:22:27
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 04:08:34
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 04:41:17
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 05:00:22
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 05:11:23
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 06:04:46
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 06:16:01
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 06:45:11
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 07:06:01
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 07:06:01
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 07:15:39
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 07:15:39
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 07:34:47
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 07:34:47
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 07:49:46
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 07:49:46
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 08:02:05
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 08:02:05
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 08:12:03
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 08:12:03
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 09:52:14
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 09:52:14
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 10:06:28
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 10:06:28
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 10:37:46
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 10:37:46
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 10:53:17
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 10:53:17
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 11:02:05
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 11:02:05
Tec Monterrey Hidalgo,Universidad Interamericana,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/tec-monterrey-hidalgo-vs-universidad-interamericana/1616109565/,1.416,2.41,-5.0,1.826,5.0,1.775,108.5,1.806,108.5,1.793,2025-09-25 11:29:21
Ceu Monterrey,Uvm Queretaro,https://www.pinnacle.com/en/basketball/mexico-liga-abe-women/ceu-monterrey-vs-uvm-queretaro/1616190298/,1.173,3.44,-8.0,1.781,8.0,1.819,108.5,1.8,108.5,1.8,2025-09-25 11:29:21
