Market,Selection,Odds,matchup,timestamp
Money Line – Game,Dorados de Chihuahua,1.342,Dorados de Chihuahua vs Halcones de Xalapa,2025-09-20 23:11:50
Handicap – Game,El Calor de Cancun -4.5,2.03,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,Gambusinos de Fresnillo +4.5,1.714,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,El Calor de Cancun -5.0,2.11,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,Gambusinos de Fresnillo +5.0,1.653,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,El Calor de Cancun -5.5,2.19,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,Gambusinos de Fresnillo +5.5,1.606,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,El Calor de Cancun -6.0,2.27,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,Gambusinos de Fresnillo +6.0,1.561,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Money Line – Game,El Calor de Cancun,1.561,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Money Line – Game,Gambusinos de Fresnillo,2.31,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 183,1.645,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 183,2.16,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 182.5,1.68,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 182.5,2.1,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 182,1.719,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 182,2.05,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 181.5,1.763,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 178,2.14,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 178.5,1.694,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 178.5,2.08,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 179,1.729,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 179,2.03,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 179.5,1.775,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Handicap – Game,Gambusinos de Fresnillo +4.0,1.781,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 179.5,1.97,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 180,1.917,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 180.5,1.877,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 180.5,1.862,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 181,1.934,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Under 181,1.806,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 181.5,1.99,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 180,1.826,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Total – Game,Over 178,1.657,Diablos Rojos vs Correcaminos UAT Victoria,2025-09-20 23:11:50
Handicap – Game,El Calor de Cancun -4.0,1.952,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Handicap – Game,El Calor de Cancun -3.5,1.877,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 171.5,1.645,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Over 171.5,2.15,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 171,1.68,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Over 171,2.1,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 170.5,1.719,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Over 170.5,2.04,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 170,1.763,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 169.5,1.813,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Over 169.5,1.934,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Under 169,1.862,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
Total – Game,Over 169,1.877,Gambusinos de Fresnillo vs El Calor de Cancun,2025-09-20 23:11:50
