team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Dragonas,Toritas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/dragonas-vs-toritas/1623418815/,1.571,2.19,-3.0,1.8,3.0,1.862,130.0,1.84,130.0,1.826,2026-02-01 18:32:50
Toritas,Mieleras,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/toritas-vs-mieleras/1623687887/,,,28.0,1.806,-28.0,1.862,139.5,1.793,139.5,1.869,2026-02-08 18:31:40
Mineras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mineras-vs-dragonas/1623838096/,1.132,4.19,-10.0,1.806,10.0,1.862,137.5,1.806,137.5,1.862,2026-02-08 18:31:40
Toritas,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/toritas-vs-dragonas/1625701224/,2.65,1.377,4.5,1.892,-4.5,1.775,136.5,1.819,136.5,1.847,2026-03-08 19:02:47
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1625779750/,1.142,4.07,-9.5,1.806,9.5,1.862,137.0,1.892,137.0,1.775,2026-03-15 17:58:16
Mineras,Toritas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mineras-vs-toritas/1626282616/,,,-25.5,1.869,25.5,1.793,132.0,1.833,132.0,1.833,2026-03-15 17:58:16
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1625779750/,1.142,4.07,-9.5,1.806,9.5,1.862,137.0,1.892,137.0,1.775,2026-03-15 18:48:03
Mineras,Toritas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mineras-vs-toritas/1626282616/,,,-25.5,1.869,25.5,1.793,132.0,1.833,132.0,1.833,2026-03-15 18:48:03
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1626545833/,1.048,5.11,-13.0,1.877,13.0,1.724,135.5,1.775,135.5,1.826,2026-03-23 17:13:52
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1626545833/,1.048,5.11,-13.0,1.877,13.0,1.724,135.5,1.775,135.5,1.826,2026-03-23 18:08:15
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1626545833/,1.06,5.57,-13.0,1.909,13.0,1.757,135.5,1.806,135.5,1.862,2026-03-23 19:27:00
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1626545833/,1.06,5.57,-13.0,1.909,13.0,1.757,135.5,1.806,135.5,1.862,2026-03-23 20:40:18
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1626545833/,1.06,5.57,-13.0,1.909,13.0,1.757,135.5,1.806,135.5,1.862,2026-03-23 21:24:04
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1626545833/,1.06,5.57,-13.0,1.909,13.0,1.757,135.5,1.806,135.5,1.862,2026-03-23 22:06:30
Mieleras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-dragonas/1626545833/,1.06,5.57,-13.0,1.909,13.0,1.757,135.5,1.806,135.5,1.862,2026-03-23 22:28:22
Mieleras,Toritas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-toritas/1626854033/,,,-24.5,1.781,24.5,1.813,123.5,1.806,123.5,1.793,2026-03-24 21:01:46
Mieleras,Toritas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-toritas/1626854033/,,,-24.5,1.781,24.5,1.813,123.5,1.806,123.5,1.793,2026-03-24 21:40:43
Mieleras,Toritas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mieleras-vs-toritas/1626854033/,,,-24.5,1.781,24.5,1.813,123.5,1.806,123.5,1.793,2026-03-24 22:13:39
Mineras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mineras-vs-dragonas/1626854034/,1.05,5.09,-12.5,1.8,12.5,1.8,143.5,1.806,143.5,1.793,2026-03-24 23:03:28
Mineras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mineras-vs-dragonas/1626854034/,1.061,5.55,-12.5,1.833,12.5,1.833,143.5,1.84,143.5,1.826,2026-03-24 23:38:50
Mineras,Dragonas,https://www.pinnacle.com/en/basketball/mexico-lmbpf-women/mineras-vs-dragonas/1626854034/,1.061,5.550,-12.5,1.833,+12.5,1.833,143.5,1.840,143.5,1.826,2026-03-24 23:57:39
