team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
FUS Rabat,AS Sale,https://www.pinnacle.com/en/basketball/morocco-basketball-league/fus-rabat-vs-as-sale/1620116338/,1.84,1.826,1.5,1.763,-1.5,1.909,148.5,1.84,148.5,1.826,2025-11-24 07:49:00
FUS Rabat,AS Sale,https://www.pinnacle.com/en/basketball/morocco-basketball-league/fus-rabat-vs-as-sale/1620116338/,1.84,1.826,1.5,1.763,-1.5,1.909,148.5,1.84,148.5,1.826,2025-11-24 08:02:35
FUS Rabat,AS Sale,https://www.pinnacle.com/en/basketball/morocco-basketball-league/fus-rabat-vs-as-sale/1620116338/,1.877,1.862,1.5,1.8,-1.5,1.943,148.5,1.877,148.5,1.862,2025-11-24 17:50:15
FUS Rabat,AS Sale,https://www.pinnacle.com/en/basketball/morocco-basketball-league/fus-rabat-vs-as-sale/1620116338/,1.877,1.862,1.5,1.8,-1.5,1.943,148.5,1.877,148.5,1.862,2025-11-24 18:03:27
FUS Rabat,AS Sale,https://www.pinnacle.com/en/basketball/morocco-basketball-league/fus-rabat-vs-as-sale/1620116338/,1.877,1.862,1.5,1.8,-1.5,1.943,148.5,1.877,148.5,1.862,2025-11-24 18:46:45
AS Sale,KAC Marrakech,https://www.pinnacle.com/en/basketball/morocco-basketball-league/as-sale-vs-kac-marrakech/1623440400/,1.049,5.94,-13.5,1.833,13.5,1.833,153.5,1.84,153.5,1.826,2026-02-02 07:46:50
AS Sale,KAC Marrakech,https://www.pinnacle.com/en/basketball/morocco-basketball-league/as-sale-vs-kac-marrakech/1623440400/,1.046,6.09,-13.5,1.757,13.5,1.917,153.5,1.826,153.5,1.84,2026-02-02 11:13:39
AS Sale,KAC Marrakech,https://www.pinnacle.com/en/basketball/morocco-basketball-league/as-sale-vs-kac-marrakech/1623440400/,1.046,6.09,-13.5,1.757,13.5,1.917,153.5,1.826,153.5,1.84,2026-02-02 11:57:53
AS Sale,KAC Marrakech,https://www.pinnacle.com/en/basketball/morocco-basketball-league/as-sale-vs-kac-marrakech/1623440400/,1.058,6.77,-13.5,1.793,13.5,1.952,153.5,1.862,153.5,1.877,2026-02-02 12:49:13
AS Sale,KAC Marrakech,https://www.pinnacle.com/en/basketball/morocco-basketball-league/as-sale-vs-kac-marrakech/1623440400/,1.058,6.77,-13.5,1.793,13.5,1.952,153.5,1.862,153.5,1.877,2026-02-02 13:58:30
AS Sale,KAC Marrakech,https://www.pinnacle.com/en/basketball/morocco-basketball-league/as-sale-vs-kac-marrakech/1623440400/,1.058,6.77,-13.5,1.793,13.5,1.952,153.5,1.862,153.5,1.877,2026-02-02 14:46:46
AS Sale,KAC Marrakech,https://www.pinnacle.com/en/basketball/morocco-basketball-league/as-sale-vs-kac-marrakech/1623440400/,1.058,6.77,-13.5,1.793,13.5,1.952,153.5,1.862,153.5,1.877,2026-02-02 16:05:10
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.072,5.26,-12.5,1.806,12.5,1.862,157.0,1.854,157.0,1.806,2026-02-16 01:53:10
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.072,5.26,-12.5,1.806,12.5,1.862,157.0,1.854,157.0,1.806,2026-02-16 04:25:32
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.07,5.3,-12.5,1.775,12.5,1.892,158.5,1.862,158.5,1.806,2026-02-16 06:03:52
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.056,5.71,-12.5,1.775,12.5,1.892,158.0,1.84,158.0,1.826,2026-02-16 07:01:19
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.057,5.69,-12.5,1.787,12.5,1.884,157.5,1.892,157.5,1.775,2026-02-16 08:01:26
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.056,5.7,-12.5,1.781,12.5,1.892,158.0,1.862,158.0,1.806,2026-02-16 09:34:21
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.055,5.72,-12.5,1.757,12.5,1.909,159.5,1.869,159.5,1.793,2026-02-16 10:32:27
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.056,5.7,-12.5,1.781,12.5,1.892,158.0,1.826,158.0,1.84,2026-02-16 12:01:53
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.056,5.7,-12.5,1.781,12.5,1.892,158.0,1.826,158.0,1.84,2026-02-16 13:03:56
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.07,6.26,-12.5,1.819,12.5,1.925,158.0,1.862,158.0,1.877,2026-02-16 14:03:30
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.076,6.06,-12.5,1.869,12.5,1.869,154.0,1.909,154.0,1.833,2026-02-16 15:51:11
MTB Majd,ASE Amal Essaouira,https://www.pinnacle.com/en/basketball/morocco-basketball-league/mtb-majd-vs-ase-amal-essaouira/1624277201/,1.076,6.06,-12.5,1.869,12.5,1.869,154.0,1.909,154.0,1.833,2026-02-16 16:21:03
