team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 20:30:05
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 20:30:05
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 20:46:33
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 20:46:33
Georgia State,Eastern Michigan,https://www.pinnacle.com/en/basketball/ncaa/georgia-state-vs-eastern-michigan/1618438228/,,,3.5,1.854,-3.5,2.0,152.0,1.98,152.0,1.84,2025-11-02 20:46:33
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 20:58:11
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 20:58:11
Georgia State,Eastern Michigan,https://www.pinnacle.com/en/basketball/ncaa/georgia-state-vs-eastern-michigan/1618438228/,,,3.5,1.854,-3.5,2.0,152.0,1.98,152.0,1.84,2025-11-02 20:58:11
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 21:05:34
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 21:05:34
Georgia State,Eastern Michigan,https://www.pinnacle.com/en/basketball/ncaa/georgia-state-vs-eastern-michigan/1618438228/,,,3.5,1.854,-3.5,2.0,152.0,1.98,152.0,1.84,2025-11-02 21:05:34
Southern Miss,Buffalo,https://www.pinnacle.com/en/basketball/ncaa/southern-miss-vs-buffalo/1618439473/,,,-1.5,2.02,1.5,1.84,154.0,1.909,154.0,1.909,2025-11-02 21:05:34
IU Indianapolis,Ohio State,https://www.pinnacle.com/en/basketball/ncaa/iu-indianapolis-vs-ohio-state/1618439475/,,,30.0,1.98,-30.0,1.869,159.0,1.877,159.0,1.934,2025-11-02 21:05:34
Quinnipiac,St. John's,https://www.pinnacle.com/en/basketball/ncaa/quinnipiac-vs-st-johns/1618439474/,,,25.0,1.98,-25.0,1.877,157.5,1.961,157.5,1.862,2025-11-02 21:05:34
IU Indianapolis,Ohio State,https://www.pinnacle.com/en/basketball/ncaa/iu-indianapolis-vs-ohio-state/1618439475/,,,30.0,1.98,-30.0,1.869,159.0,1.877,159.0,1.934,2025-11-02 21:23:47
Quinnipiac,St. John's,https://www.pinnacle.com/en/basketball/ncaa/quinnipiac-vs-st-johns/1618439474/,,,25.0,1.98,-25.0,1.877,157.5,1.961,157.5,1.862,2025-11-02 21:23:47
Southern Miss,Buffalo,https://www.pinnacle.com/en/basketball/ncaa/southern-miss-vs-buffalo/1618439473/,,,-1.5,2.02,1.5,1.84,154.0,1.909,154.0,1.909,2025-11-02 21:23:47
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 21:23:47
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 21:23:47
Georgia State,Eastern Michigan,https://www.pinnacle.com/en/basketball/ncaa/georgia-state-vs-eastern-michigan/1618438228/,,,3.5,1.854,-3.5,2.0,152.0,1.98,152.0,1.84,2025-11-02 21:23:47
IU Indianapolis,Ohio State,https://www.pinnacle.com/en/basketball/ncaa/iu-indianapolis-vs-ohio-state/1618439475/,,,30.0,1.98,-30.0,1.869,159.0,1.877,159.0,1.934,2025-11-02 21:32:30
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 21:32:30
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 21:32:30
Georgia State,Eastern Michigan,https://www.pinnacle.com/en/basketball/ncaa/georgia-state-vs-eastern-michigan/1618438228/,,,3.5,1.854,-3.5,2.0,152.0,1.98,152.0,1.84,2025-11-02 21:32:30
Southern Miss,Buffalo,https://www.pinnacle.com/en/basketball/ncaa/southern-miss-vs-buffalo/1618439473/,,,-1.5,2.02,1.5,1.84,154.0,1.909,154.0,1.909,2025-11-02 21:32:30
Quinnipiac,St. John's,https://www.pinnacle.com/en/basketball/ncaa/quinnipiac-vs-st-johns/1618439474/,,,25.0,1.98,-25.0,1.877,157.5,1.961,157.5,1.862,2025-11-02 21:32:30
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 21:43:27
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 21:43:27
Georgia State,Eastern Michigan,https://www.pinnacle.com/en/basketball/ncaa/georgia-state-vs-eastern-michigan/1618438228/,,,3.5,1.854,-3.5,2.0,152.0,1.98,152.0,1.84,2025-11-02 21:43:27
Southern Miss,Buffalo,https://www.pinnacle.com/en/basketball/ncaa/southern-miss-vs-buffalo/1618439473/,,,-1.5,2.02,1.5,1.84,154.0,1.909,154.0,1.909,2025-11-02 21:43:27
Quinnipiac,St. John's,https://www.pinnacle.com/en/basketball/ncaa/quinnipiac-vs-st-johns/1618439474/,,,25.0,1.98,-25.0,1.877,157.5,1.961,157.5,1.862,2025-11-02 21:43:27
IU Indianapolis,Ohio State,https://www.pinnacle.com/en/basketball/ncaa/iu-indianapolis-vs-ohio-state/1618439475/,,,30.0,1.98,-30.0,1.869,159.0,1.877,159.0,1.934,2025-11-02 21:43:27
IU Indianapolis,Ohio State,https://www.pinnacle.com/en/basketball/ncaa/iu-indianapolis-vs-ohio-state/1618439475/,,,30.0,1.98,-30.0,1.869,159.0,1.877,159.0,1.934,2025-11-02 21:58:01
Quinnipiac,St. John's,https://www.pinnacle.com/en/basketball/ncaa/quinnipiac-vs-st-johns/1618439474/,,,25.0,1.98,-25.0,1.877,157.5,1.961,157.5,1.862,2025-11-02 21:58:01
Southern Miss,Buffalo,https://www.pinnacle.com/en/basketball/ncaa/southern-miss-vs-buffalo/1618439473/,,,-1.5,2.02,1.5,1.84,154.0,1.909,154.0,1.909,2025-11-02 21:58:01
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 21:58:01
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.884,-9.0,1.97,146.0,1.98,146.0,1.84,2025-11-02 21:58:01
Georgia State,Eastern Michigan,https://www.pinnacle.com/en/basketball/ncaa/georgia-state-vs-eastern-michigan/1618438228/,,,3.5,1.854,-3.5,2.0,152.0,1.98,152.0,1.84,2025-11-02 21:58:01
Bradley,St. Bonaventure,https://www.pinnacle.com/en/basketball/ncaa/bradley-vs-st-bonaventure/1618434406/,,,-2.0,1.884,2.0,1.961,140.0,1.909,140.0,1.909,2025-11-02 22:11:31
Northern Arizona,Drake,https://www.pinnacle.com/en/basketball/ncaa/northern-arizona-vs-drake/1618437044/,,,9.0,1.869,-9.0,1.99,143.5,1.892,143.5,1.925,2025-11-02 22:11:31
