Market,Selection,Odds,matchup,timestamp
Money Line – Game,Donar Groningen,1.952,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Money Line – Game,Heroes Den Bosch,1.793,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen +4.0,1.574,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch -4.0,2.250,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen +3.5,1.617,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch -3.5,2.170,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen +3.0,1.671,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch -3.0,2.090,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen +2.5,1.729,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch -2.5,2.010,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen +2.0,1.793,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch -2.0,1.943,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen +1.5,1.869,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch -1.5,1.869,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen +1.0,1.917,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch -1.0,1.813,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen -1.0,2.030,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch +1.0,1.719,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen -1.5,2.080,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch +1.5,1.675,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen -2.0,2.150,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch +2.0,1.628,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Donar Groningen -2.5,2.220,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Handicap – Game,Heroes Den Bosch +2.5,1.588,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 163,1.617,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 163,2.210,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 163.5,1.649,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 163.5,2.150,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 164,1.684,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 164,2.090,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 164.5,1.729,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 164.5,2.030,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 165,1.775,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 165,1.970,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 165.5,1.826,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 165.5,1.917,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 166,1.877,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 166,1.862,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 166.5,1.934,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 166.5,1.813,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 167,1.980,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 167,1.769,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 167.5,2.040,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 167.5,1.724,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Over 168,2.090,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
Total – Game,Under 168,1.689,Donar Groningen vs Heroes Den Bosch,2026-02-17 17:48:21
