Market,Selection,Odds,matchup,timestamp
Money Line – Game,Leiden,2.52,Leiden vs Den Helder,2025-10-01 17:25:41
Handicap – Game,CBV Binnenland +20.5,2.12,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,Landslake Lions -20.5,1.653,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,CBV Binnenland +20.0,2.2,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,Landslake Lions -20.0,1.598,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,CBV Binnenland +19.5,2.29,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,Landslake Lions -19.5,1.552,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,CBV Binnenland +19.0,2.38,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,Landslake Lions -19.0,1.512,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Money Line – Game,CBV Binnenland,10.44,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Money Line – Game,Landslake Lions,1.017,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 144,1.636,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 144,2.17,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 143.5,1.675,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 143.5,2.11,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 143,1.714,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 143,2.06,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 142.5,1.751,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 139,2.13,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 139.5,1.699,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 139.5,2.07,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 140,1.74,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 140,2.02,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 140.5,1.781,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Handicap – Game,CBV Binnenland +21.0,2.03,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 140.5,1.961,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 141,1.909,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 141.5,1.884,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 141.5,1.854,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 142,1.943,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Under 142,1.8,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 142.5,2.0,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 141,1.833,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Total – Game,Over 139,1.662,Grasshoppers vs Triple Threat,2025-10-01 17:25:41
Handicap – Game,Landslake Lions -21.5,1.793,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Handicap – Game,Landslake Lions -22.0,1.869,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 140,1.649,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Over 140,2.15,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 139.5,1.684,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Over 139.5,2.1,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 139,1.719,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Over 139,2.04,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 138.5,1.763,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Over 138.5,1.99,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 138,1.813,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Over 138,1.934,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 137.5,1.862,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Over 137.5,1.877,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Under 137,1.917,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
Total – Game,Over 137,1.819,Landslake Lions vs CBV Binnenland,2025-10-01 17:25:41
