team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Leiden,Den Helder,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/leiden-vs-den-helder/1616508067/,2.52,1.471,5.0,1.826,-5.0,1.917,139.0,1.869,139.0,1.869,2025-10-01 17:25:41
Grasshoppers,Triple Threat,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/grasshoppers-vs-triple-threat/1616508068/,1.199,3.89,-8.5,1.862,8.5,1.877,141.5,1.884,141.5,1.854,2025-10-01 17:25:41
Landslake Lions,CBV Binnenland,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landslake-lions-vs-cbv-binnenland/1616508069/,1.017,10.44,-21.5,1.793,21.5,1.952,137.5,1.877,137.5,1.862,2025-10-01 17:25:41
Leiden,Den Helder,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/leiden-vs-den-helder/1616508067/,2.52,1.471,5.0,1.826,-5.0,1.917,139.0,1.869,139.0,1.869,2025-10-01 17:33:29
Grasshoppers,Triple Threat,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/grasshoppers-vs-triple-threat/1616508068/,1.199,3.89,-8.5,1.862,8.5,1.877,141.5,1.884,141.5,1.854,2025-10-01 17:33:29
Landslake Lions,CBV Binnenland,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landslake-lions-vs-cbv-binnenland/1616508069/,1.017,10.44,-21.5,1.793,21.5,1.952,137.5,1.877,137.5,1.862,2025-10-01 17:33:29
Grasshoppers,Triple Threat,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/grasshoppers-vs-triple-threat/1616508068/,1.199,3.89,-8.5,1.862,8.5,1.877,141.5,1.884,141.5,1.854,2025-10-01 17:46:51
Landslake Lions,CBV Binnenland,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landslake-lions-vs-cbv-binnenland/1616508069/,1.017,10.44,-21.5,1.793,21.5,1.952,137.5,1.877,137.5,1.862,2025-10-01 17:46:51
Leiden,Den Helder,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/leiden-vs-den-helder/1616508067/,2.52,1.471,5.0,1.826,-5.0,1.917,139.0,1.869,139.0,1.869,2025-10-01 17:46:51
Leiden,Den Helder,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/leiden-vs-den-helder/1616508067/,2.68,1.418,5.0,1.826,-5.0,1.917,139.0,1.869,139.0,1.869,2025-10-01 17:59:41
Grasshoppers,Triple Threat,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/grasshoppers-vs-triple-threat/1616508068/,1.199,3.89,-8.5,1.862,8.5,1.877,141.5,1.884,141.5,1.854,2025-10-01 17:59:41
Landslake Lions,CBV Binnenland,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landslake-lions-vs-cbv-binnenland/1616508069/,1.017,10.44,-21.5,1.793,21.5,1.952,137.5,1.877,137.5,1.862,2025-10-01 17:59:41
Grasshoppers,Triple Threat,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/grasshoppers-vs-triple-threat/1616508068/,1.199,3.89,-8.5,1.862,8.5,1.877,141.5,1.884,141.5,1.854,2025-10-01 18:07:14
Landslake Lions,CBV Binnenland,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landslake-lions-vs-cbv-binnenland/1616508069/,1.017,10.44,-21.5,1.793,21.5,1.952,137.5,1.877,137.5,1.862,2025-10-01 18:07:14
Landstede Hammers,Jolly Jumpers Tubbergen,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landstede-hammers-vs-jolly-jumpers-tubbergen/1616540393/,,,36.5,1.8,-36.5,1.943,147.5,1.877,147.5,1.862,2025-10-02 15:04:42
Limburg,QSTA United,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/limburg-vs-qsta-united/1616544321/,1.211,3.78,-9.0,1.84,9.0,1.9,143.0,1.9,143.0,1.84,2025-10-02 15:04:42
Landstede Hammers,Jolly Jumpers Tubbergen,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landstede-hammers-vs-jolly-jumpers-tubbergen/1616540393/,,,36.5,1.8,-36.5,1.943,147.5,1.877,147.5,1.862,2025-10-02 15:14:08
Limburg,QSTA United,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/limburg-vs-qsta-united/1616544321/,1.211,3.78,-9.0,1.84,9.0,1.9,143.0,1.9,143.0,1.84,2025-10-02 15:14:08
Limburg,QSTA United,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/limburg-vs-qsta-united/1616544321/,1.211,3.78,-9.0,1.84,9.0,1.9,143.0,1.9,143.0,1.84,2025-10-02 15:33:09
Landstede Hammers,Jolly Jumpers Tubbergen,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landstede-hammers-vs-jolly-jumpers-tubbergen/1616540393/,,,36.5,1.8,-36.5,1.943,147.5,1.877,147.5,1.862,2025-10-02 15:33:09
Limburg,QSTA United,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/limburg-vs-qsta-united/1616544321/,1.211,3.78,-9.0,1.84,9.0,1.9,143.0,1.9,143.0,1.84,2025-10-02 15:44:39
Landstede Hammers,Jolly Jumpers Tubbergen,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landstede-hammers-vs-jolly-jumpers-tubbergen/1616540393/,,,36.5,1.8,-36.5,1.943,147.5,1.877,147.5,1.862,2025-10-02 15:44:39
Limburg,QSTA United,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/limburg-vs-qsta-united/1616544321/,1.211,3.78,-9.0,1.84,9.0,1.9,143.0,1.9,143.0,1.84,2025-10-02 16:02:40
Landstede Hammers,Jolly Jumpers Tubbergen,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landstede-hammers-vs-jolly-jumpers-tubbergen/1616540393/,,,36.5,1.8,-36.5,1.943,147.5,1.877,147.5,1.862,2025-10-02 16:02:40
Limburg,QSTA United,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/limburg-vs-qsta-united/1616544321/,1.211,3.78,-9.0,1.84,9.0,1.9,143.0,1.9,143.0,1.84,2025-10-02 16:59:44
Landstede Hammers,Jolly Jumpers Tubbergen,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/landstede-hammers-vs-jolly-jumpers-tubbergen/1616540393/,,,35.0,1.909,-35.0,1.826,145.0,1.892,145.0,1.847,2025-10-02 16:59:44
Limburg,QSTA United,https://www.pinnacle.com/en/basketball/netherlands-eredivisie-women/limburg-vs-qsta-united/1616544321/,1.18,4.08,-9.0,1.847,9.0,1.892,143.0,1.9,143.0,1.833,2025-10-02 17:22:49
